Season,Champion(s),Record,Coach,Selector(s)
1944,Ohio State,9–0,Carroll Widdoes,NCF
1944,Ohio State,9–0,Carroll Widdoes, SR
1945,Alabama,10–0,Frank Thomas,NCF
1945,Army,9–0,Earl Blaik,AP
1945,Army,9–0,Earl Blaik, B(QPRS)
1945,Army,9–0,Earl Blaik, BR
1945,Army,9–0,Earl Blaik, BS
1945,Army,9–0,Earl Blaik, CFRA
1945,Army,9–0,Earl Blaik, DeS
1945,Army,9–0,Earl Blaik, DuS
1945,Army,9–0,Earl Blaik, HAF
1945,Army,9–0,Earl Blaik, HS
1945,Army,9–0,Earl Blaik, L
1945,Army,9–0,Earl Blaik, NCF
1945,Army,9–0,Earl Blaik, PS
1945,Army,9–0,Earl Blaik, SR
1945,Army,9–0,Earl Blaik, WS
1945,Oklahoma A&M,9–0,Jim Lookabaugh,BRC
1946,Army,9–0–1,Earl Blaik,BR
1946,Army,9–0–1,Earl Blaik, BS
1946,Army,9–0–1,Earl Blaik, CFRA
1946,Army,9–0–1,Earl Blaik, HAF
1946,Army,9–0–1,Earl Blaik, HS
1946,Army,9–0–1,Earl Blaik, PS
1946,Georgia,11–0,Wally Butts,WS
1946,Notre Dame,8–0–1,Frank Leahy,AP
1946,Notre Dame,8–0–1,Frank Leahy, B(QPRS)
1946,Notre Dame,8–0–1,Frank Leahy, BS
1946,Notre Dame,8–0–1,Frank Leahy, DeS
1946,Notre Dame,8–0–1,Frank Leahy, DuS
1946,Notre Dame,8–0–1,Frank Leahy, HAF
1946,Notre Dame,8–0–1,Frank Leahy, L
1946,Notre Dame,8–0–1,Frank Leahy, NCF
1946,Notre Dame,8–0–1,Frank Leahy, PS
1946,Notre Dame,8–0–1,Frank Leahy, SR
1947,Michigan,10–0,Fritz Crisler,B(QPRS)
1947,Michigan,10–0,Fritz Crisler, BR
1947,Michigan,10–0,Fritz Crisler, BS
1947,Michigan,10–0,Fritz Crisler, CFRA
1947,Michigan,10–0,Fritz Crisler, DeS
1947,Michigan,10–0,Fritz Crisler, DuS
1947,Michigan,10–0,Fritz Crisler, HAF
1947,Michigan,10–0,Fritz Crisler, HS
1947,Michigan,10–0,Fritz Crisler, L
1947,Michigan,10–0,Fritz Crisler, NCF
1947,Michigan,10–0,Fritz Crisler, PS
1947,Michigan,10–0,Fritz Crisler, SR
1947,Notre Dame,9–0,Frank Leahy,AP
1947,Notre Dame,9–0,Frank Leahy, HAF
1947,Notre Dame,9–0,Frank Leahy, WS
1948,Michigan,9–0,Bennie Oosterbaan,AP
1948,Michigan,9–0,Bennie Oosterbaan, B(QPRS)
1948,Michigan,9–0,Bennie Oosterbaan, BR
1948,Michigan,9–0,Bennie Oosterbaan, BS
1948,Michigan,9–0,Bennie Oosterbaan, CFRA
1948,Michigan,9–0,Bennie Oosterbaan, DeS
1948,Michigan,9–0,Bennie Oosterbaan, DuS
1948,Michigan,9–0,Bennie Oosterbaan, HAF
1948,Michigan,9–0,Bennie Oosterbaan, HS
1948,Michigan,9–0,Bennie Oosterbaan, L
1948,Michigan,9–0,Bennie Oosterbaan, NCF
1948,Michigan,9–0,Bennie Oosterbaan, PS
1948,Michigan,9–0,Bennie Oosterbaan, SR
1948,Michigan,9–0,Bennie Oosterbaan, WS
1949,Notre Dame,10–0,Frank Leahy,AP
1949,Notre Dame,10–0,Frank Leahy, B(QPRS)
1949,Notre Dame,10–0,Frank Leahy, BR
1949,Notre Dame,10–0,Frank Leahy, BS
1949,Notre Dame,10–0,Frank Leahy, DeS
1949,Notre Dame,10–0,Frank Leahy, DuS
1949,Notre Dame,10–0,Frank Leahy, HAF
1949,Notre Dame,10–0,Frank Leahy, HS
1949,Notre Dame,10–0,Frank Leahy, L
1949,Notre Dame,10–0,Frank Leahy, NCF
1949,Notre Dame,10–0,Frank Leahy, PS
1949,Notre Dame,10–0,Frank Leahy, SR
1949,Notre Dame,10–0,Frank Leahy, WS
1949,Oklahoma,11–0,Bud Wilkinson,CFRA
1950,Kentucky,11–1,"Paul ""Bear"" Bryant",SR
1950,Oklahoma,10–1,Bud Wilkinson,AP
1950,Oklahoma,10–1,Bud Wilkinson, B(QPRS)
1950,Oklahoma,10–1,Bud Wilkinson, HAF
1950,Oklahoma,10–1,Bud Wilkinson, L
1950,Oklahoma,10–1,Bud Wilkinson, UP
1950,Oklahoma,10–1,Bud Wilkinson, WS
1950,Princeton,9–0,Charley Caldwell,BS
1950,Princeton,9–0,Charley Caldwell, PS
1950,Tennessee,11–1,Robert Neyland,BR
1950,Tennessee,11–1,Robert Neyland, CFRA
1950,Tennessee,11–1,Robert Neyland, DeS
1950,Tennessee,11–1,Robert Neyland, DuS
1950,Tennessee,11–1,Robert Neyland, NCF
1950,Tennessee,11–1,Robert Neyland, SR
1951,Georgia Tech,11–0–1,Bobby Dodd,B(QPRS)
1951,Georgia Tech,11–0–1,Bobby Dodd, BS
1951,Illinois,9–0–1,Ray Eliot,BS
1951,Maryland,10–0,Jim Tatum,CFRA
1951,Maryland,10–0,Jim Tatum, DeS
1951,Maryland,10–0,Jim Tatum, DuS
1951,Maryland,10–0,Jim Tatum, NCF
1951,Maryland,10–0,Jim Tatum, SR
1951,Michigan State,9–0,Biggie Munn,BR
1951,Michigan State,9–0,Biggie Munn, HAF
1951,Michigan State,9–0,Biggie Munn, PS
1951,Tennessee,10–1,Robert Neyland,AP
1951,Tennessee,10–1,Robert Neyland, L
1951,Tennessee,10–1,Robert Neyland, UP
1951,Tennessee,10–1,Robert Neyland, WS
1952,Georgia Tech,12–0,Bobby Dodd,B(QPRS)
1952,Georgia Tech,12–0,Bobby Dodd, BR
1952,Georgia Tech,12–0,Bobby Dodd, INS
1952,Georgia Tech,12–0,Bobby Dodd, PS
1952,Georgia Tech,12–0,Bobby Dodd, SR
1952,Michigan State,9–0,Biggie Munn,AP
1952,Michigan State,9–0,Biggie Munn, BS
1952,Michigan State,9–0,Biggie Munn, CFRA
1952,Michigan State,9–0,Biggie Munn, DeS
1952,Michigan State,9–0,Biggie Munn, DuS
1952,Michigan State,9–0,Biggie Munn, HAF
1952,Michigan State,9–0,Biggie Munn, L
1952,Michigan State,9–0,Biggie Munn, NCF
1952,Michigan State,9–0,Biggie Munn, SR
1952,Michigan State,9–0,Biggie Munn, UP
1952,Michigan State,9–0,Biggie Munn, WS
1953,Maryland,10–1,Jim Tatum,AP
1953,Maryland,10–1,Jim Tatum, INS
1953,Maryland,10–1,Jim Tatum, UP
1953,Notre Dame,9–0–1,Frank Leahy,BR
1953,Notre Dame,9–0–1,Frank Leahy, BS
1953,Notre Dame,9–0–1,Frank Leahy, DeS
1953,Notre Dame,9–0–1,Frank Leahy, DuS
1953,Notre Dame,9–0–1,Frank Leahy, HAF
1953,Notre Dame,9–0–1,Frank Leahy, L
1953,Notre Dame,9–0–1,Frank Leahy, NCF
1953,Notre Dame,9–0–1,Frank Leahy, PS
1953,Notre Dame,9–0–1,Frank Leahy, SR
1953,Notre Dame,9–0–1,Frank Leahy, WS
1953,Oklahoma,9–1–1,Bud Wilkinson,B(QPRS)
1953,Oklahoma,9–1–1,Bud Wilkinson, CFRA
1954,Ohio State,10–0,Woody Hayes,AP
1954,Ohio State,10–0,Woody Hayes, B(QPRS)
1954,Ohio State,10–0,Woody Hayes, BR
1954,Ohio State,10–0,Woody Hayes, BS
1954,Ohio State,10–0,Woody Hayes, CFRA
1954,Ohio State,10–0,Woody Hayes, DeS
1954,Ohio State,10–0,Woody Hayes, HAF
1954,Ohio State,10–0,Woody Hayes, INS
1954,Ohio State,10–0,Woody Hayes, NCF
1954,Ohio State,10–0,Woody Hayes, PS
1954,Ohio State,10–0,Woody Hayes, SR
1954,Ohio State,10–0,Woody Hayes, WS
1954,UCLA,9–0,Henry Sanders,CFRA
1954,UCLA,9–0,Henry Sanders, DuS
1954,UCLA,9–0,Henry Sanders, FWAA
1954,UCLA,9–0,Henry Sanders, HAF
1954,UCLA,9–0,Henry Sanders, L
1954,UCLA,9–0,Henry Sanders, NCF
1954,UCLA,9–0,Henry Sanders, UP
1955,Michigan State,9–1,Duffy Daugherty,BS
1955,Oklahoma,11–0,Bud Wilkinson,AP
1955,Oklahoma,11–0,Bud Wilkinson, B(QPRS)
1955,Oklahoma,11–0,Bud Wilkinson, BR
1955,Oklahoma,11–0,Bud Wilkinson, CFRA
1955,Oklahoma,11–0,Bud Wilkinson, DeS
1955,Oklahoma,11–0,Bud Wilkinson, DuS
1955,Oklahoma,11–0,Bud Wilkinson, FWAA
1955,Oklahoma,11–0,Bud Wilkinson, HAF
1955,Oklahoma,11–0,Bud Wilkinson, INS
1955,Oklahoma,11–0,Bud Wilkinson, L
1955,Oklahoma,11–0,Bud Wilkinson, NCF
1955,Oklahoma,11–0,Bud Wilkinson, PS
1955,Oklahoma,11–0,Bud Wilkinson, SR
1955,Oklahoma,11–0,Bud Wilkinson, UP
1955,Oklahoma,11–0,Bud Wilkinson, WS
1956,Georgia Tech,10–1,Bobby Dodd,B(QPRS)
1956,Georgia Tech,10–1,Bobby Dodd, SR
1956,Iowa,9–1,Forest Evashevski,CFRA
1956,Oklahoma,10–0,Bud Wilkinson,AP
1956,Oklahoma,10–0,Bud Wilkinson, BR
1956,Oklahoma,10–0,Bud Wilkinson, BS
1956,Oklahoma,10–0,Bud Wilkinson, DeS
1956,Oklahoma,10–0,Bud Wilkinson, DuS
1956,Oklahoma,10–0,Bud Wilkinson, FWAA
1956,Oklahoma,10–0,Bud Wilkinson, HAF
1956,Oklahoma,10–0,Bud Wilkinson, INS
1956,Oklahoma,10–0,Bud Wilkinson, L
1956,Oklahoma,10–0,Bud Wilkinson, NCF
1956,Oklahoma,10–0,Bud Wilkinson, SR
1956,Oklahoma,10–0,Bud Wilkinson, UP
1956,Oklahoma,10–0,Bud Wilkinson, WS
1956,Tennessee,10–1,Bowden Wyatt,SR
1957,Auburn,10–0,Ralph Jordan,AP
1957,Auburn,10–0,Ralph Jordan, BR
1957,Auburn,10–0,Ralph Jordan, CFRA
1957,Auburn,10–0,Ralph Jordan, HAF
1957,Auburn,10–0,Ralph Jordan, NCF
1957,Auburn,10–0,Ralph Jordan, PS
1957,Auburn,10–0,Ralph Jordan, SR
1957,Auburn,10–0,Ralph Jordan, WS
1957,Michigan State,8–1,Duffy Daugherty,DuS
1957,Ohio State,9–1,Woody Hayes,BS
1957,Ohio State,9–1,Woody Hayes, DeS
1957,Ohio State,9–1,Woody Hayes, FWAA
1957,Ohio State,9–1,Woody Hayes, INS
1957,Ohio State,9–1,Woody Hayes, L
1957,Ohio State,9–1,Woody Hayes, UP
1957,Oklahoma,10–1,Bud Wilkinson,B(QPRS)
1958,Iowa,8–1–1,Forest Evashevski,FWAA
1958,LSU,11–0,Paul Dietzel,AP
1958,LSU,11–0,Paul Dietzel, B(QPRS)
1958,LSU,11–0,Paul Dietzel, BR
1958,LSU,11–0,Paul Dietzel, BS
1958,LSU,11–0,Paul Dietzel, CFRA
1958,LSU,11–0,Paul Dietzel, DeS
1958,LSU,11–0,Paul Dietzel, DuS
1958,LSU,11–0,Paul Dietzel, FN
1958,LSU,11–0,Paul Dietzel, HAF
1958,LSU,11–0,Paul Dietzel, L
1958,LSU,11–0,Paul Dietzel, NCF
1958,LSU,11–0,Paul Dietzel, PS
1958,LSU,11–0,Paul Dietzel, SR
1958,LSU,11–0,Paul Dietzel, UPI
1958,LSU,11–0,Paul Dietzel, WS
1959,Ole Miss,10–1,Johnny Vaught,B(QPRS)
1959,Ole Miss,10–1,Johnny Vaught, DuS
1959,Ole Miss,10–1,Johnny Vaught, SR
1959,Syracuse,11–0,Ben Schwartzwalder,AP
1959,Syracuse,11–0,Ben Schwartzwalder, BR
1959,Syracuse,11–0,Ben Schwartzwalder, BS
1959,Syracuse,11–0,Ben Schwartzwalder, CFRA
1959,Syracuse,11–0,Ben Schwartzwalder, DeS
1959,Syracuse,11–0,Ben Schwartzwalder, FN
1959,Syracuse,11–0,Ben Schwartzwalder, FWAA
1959,Syracuse,11–0,Ben Schwartzwalder, HAF
1959,Syracuse,11–0,Ben Schwartzwalder, L
1959,Syracuse,11–0,Ben Schwartzwalder, NCF
1959,Syracuse,11–0,Ben Schwartzwalder, NFF
1959,Syracuse,11–0,Ben Schwartzwalder, PS
1959,Syracuse,11–0,Ben Schwartzwalder, SR
1959,Syracuse,11–0,Ben Schwartzwalder, UPI
1959,Syracuse,11–0,Ben Schwartzwalder, WS
1960,Iowa,8–1,Forest Evashevski,B(QPRS)
1960,Iowa,8–1,Forest Evashevski, BS
1960,Iowa,8–1,Forest Evashevski, L
1960,Iowa,8–1,Forest Evashevski, SR
1960,Minnesota,8–2,Murray Warmath,AP
1960,Minnesota,8–2,Murray Warmath, FN
1960,Minnesota,8–2,Murray Warmath, NFF
1960,Minnesota,8–2,Murray Warmath, UPI
1960,Ole Miss,10–0–1,Johnny Vaught,BR
1960,Ole Miss,10–0–1,Johnny Vaught, CFRA
1960,Ole Miss,10–0–1,Johnny Vaught, DeS
1960,Ole Miss,10–0–1,Johnny Vaught, DuS
1960,Ole Miss,10–0–1,Johnny Vaught, FWAA
1960,Ole Miss,10–0–1,Johnny Vaught, NCF
1960,Ole Miss,10–0–1,Johnny Vaught, WS
1960,Missouri,11–0*,Dan Devine,PS
1960,Washington,10–1,Jim Owens,HAF
1961,Alabama,11–0,"Paul ""Bear"" Bryant",AP
1961,Alabama,11–0,"Paul ""Bear"" Bryant", B(QPRS)
1961,Alabama,11–0,"Paul ""Bear"" Bryant", BR
1961,Alabama,11–0,"Paul ""Bear"" Bryant", CFRA
1961,Alabama,11–0,"Paul ""Bear"" Bryant", DeS
1961,Alabama,11–0,"Paul ""Bear"" Bryant", DuS
1961,Alabama,11–0,"Paul ""Bear"" Bryant", FN
1961,Alabama,11–0,"Paul ""Bear"" Bryant", HAF
1961,Alabama,11–0,"Paul ""Bear"" Bryant", L
1961,Alabama,11–0,"Paul ""Bear"" Bryant", NCF
1961,Alabama,11–0,"Paul ""Bear"" Bryant", NFF
1961,Alabama,11–0,"Paul ""Bear"" Bryant", SR
1961,Alabama,11–0,"Paul ""Bear"" Bryant", UPI
1961,Alabama,11–0,"Paul ""Bear"" Bryant", WS
1961,Ohio State,8–0–1,Woody Hayes,FWAA
1961,Ohio State,8–0–1,Woody Hayes, PS
1962,LSU,9–1–1,Charles McClendon,B(QPRS)
1962,Ole Miss,10–0,Johnny Vaught,BR
1962,Ole Miss,10–0,Johnny Vaught, L
1962,Ole Miss,10–0,Johnny Vaught, SR
1962,USC,11–0,John McKay,AP
1962,USC,11–0,John McKay, B(QPRS)
1962,USC,11–0,John McKay, CFRA
1962,USC,11–0,John McKay, DeS
1962,USC,11–0,John McKay, DuS
1962,USC,11–0,John McKay, FN
1962,USC,11–0,John McKay, FWAA
1962,USC,11–0,John McKay, HAF
1962,USC,11–0,John McKay, NCF
1962,USC,11–0,John McKay, NFF
1962,USC,11–0,John McKay, PS
1962,USC,11–0,John McKay, UPI
1962,USC,11–0,John McKay, WS
1963,Texas,11–0,Darrell Royal,AP
1963,Texas,11–0,Darrell Royal, B(QPRS)
1963,Texas,11–0,Darrell Royal, BR
1963,Texas,11–0,Darrell Royal, CFRA
1963,Texas,11–0,Darrell Royal, DeS
1963,Texas,11–0,Darrell Royal, DuS
1963,Texas,11–0,Darrell Royal, FN
1963,Texas,11–0,Darrell Royal, FWAA
1963,Texas,11–0,Darrell Royal, HAF
1963,Texas,11–0,Darrell Royal, L
1963,Texas,11–0,Darrell Royal, NCF
1963,Texas,11–0,Darrell Royal, NFF
1963,Texas,11–0,Darrell Royal, PS
1963,Texas,11–0,Darrell Royal, SR
1963,Texas,11–0,Darrell Royal, UPI
1963,Texas,11–0,Darrell Royal, WS
1964,Alabama,10–1,"Paul ""Bear"" Bryant",AP
1964,Alabama,10–1,"Paul ""Bear"" Bryant", B(QPRS)
1964,Alabama,10–1,"Paul ""Bear"" Bryant", L
1964,Alabama,10–1,"Paul ""Bear"" Bryant", UPI
1964,Arkansas,11–0,Frank Broyles,BR
1964,Arkansas,11–0,Frank Broyles, CFRA
1964,Arkansas,11–0,Frank Broyles, FWAA
1964,Arkansas,11–0,Frank Broyles, HAF
1964,Arkansas,11–0,Frank Broyles, NCF
1964,Arkansas,11–0,Frank Broyles, PS
1964,Arkansas,11–0,Frank Broyles, SR
1964,Michigan,9–1,Bump Elliott,DuS
1964,Notre Dame,9–1,Ara Parseghian,DeS
1964,Notre Dame,9–1,Ara Parseghian, FN
1964,Notre Dame,9–1,Ara Parseghian, NFF
1965,Alabama,9–1–1,"Paul ""Bear"" Bryant",AP
1965,Alabama,9–1–1,"Paul ""Bear"" Bryant", CFRA
1965,Alabama,9–1–1,"Paul ""Bear"" Bryant", FWAA
1965,Alabama,9–1–1,"Paul ""Bear"" Bryant", NCF
1965,Michigan State,10–1,Duffy Daugherty,B(QPRS)
1965,Michigan State,10–1,Duffy Daugherty, BR
1965,Michigan State,10–1,Duffy Daugherty, DeS
1965,Michigan State,10–1,Duffy Daugherty, DuS
1965,Michigan State,10–1,Duffy Daugherty, FN
1965,Michigan State,10–1,Duffy Daugherty, FWAA
1965,Michigan State,10–1,Duffy Daugherty, HAF
1965,Michigan State,10–1,Duffy Daugherty, L
1965,Michigan State,10–1,Duffy Daugherty, NFF
1965,Michigan State,10–1,Duffy Daugherty, PS
1965,Michigan State,10–1,Duffy Daugherty, SR
1965,Michigan State,10–1,Duffy Daugherty, UPI
1966,Alabama,11–0,"Paul ""Bear"" Bryant",B(QPRS)
1966,Alabama,11–0,"Paul ""Bear"" Bryant", SR
1966,Michigan State,9–0–1,Duffy Daugherty,CFRA
1966,Michigan State,9–0–1,Duffy Daugherty, HAF
1966,Michigan State,9–0–1,Duffy Daugherty, NFF
1966,Michigan State,9–0–1,Duffy Daugherty, PS
1966,Notre Dame,9–0–1,Ara Parseghian,AP
1966,Notre Dame,9–0–1,Ara Parseghian, BR
1966,Notre Dame,9–0–1,Ara Parseghian, DeS
1966,Notre Dame,9–0–1,Ara Parseghian, DuS
1966,Notre Dame,9–0–1,Ara Parseghian, FN
1966,Notre Dame,9–0–1,Ara Parseghian, FWAA
1966,Notre Dame,9–0–1,Ara Parseghian, HAF
1966,Notre Dame,9–0–1,Ara Parseghian, L
1966,Notre Dame,9–0–1,Ara Parseghian, MGR
1966,Notre Dame,9–0–1,Ara Parseghian, NCF
1966,Notre Dame,9–0–1,Ara Parseghian, NFF
1966,Notre Dame,9–0–1,Ara Parseghian, PS
1966,Notre Dame,9–0–1,Ara Parseghian, SR
1966,Notre Dame,9–0–1,Ara Parseghian, UPI
1967,Notre Dame,8–2,Ara Parseghian,DuS
1967,Oklahoma,10–1,Chuck Fairbanks,PS
1967,USC,10–1,John McKay,AP
1967,USC,10–1,John McKay, B(QPRS)
1967,USC,10–1,John McKay, BR
1967,USC,10–1,John McKay, CFRA
1967,USC,10–1,John McKay, DeS
1967,USC,10–1,John McKay, FN
1967,USC,10–1,John McKay, FWAA
1967,USC,10–1,John McKay, HAF
1967,USC,10–1,John McKay, MGR
1967,USC,10–1,John McKay, NCF
1967,USC,10–1,John McKay, NFF
1967,USC,10–1,John McKay, SR
1967,USC,10–1,John McKay, UPI
1967,Tennessee,9–2,Doug Dickey,L
1968,Georgia,8–1–2,Vince Dooley,L
1968,Ohio State,10–0,Woody Hayes,AP
1968,Ohio State,10–0,Woody Hayes, B(QPRS)
1968,Ohio State,10–0,Woody Hayes, BR
1968,Ohio State,10–0,Woody Hayes, CFRA
1968,Ohio State,10–0,Woody Hayes, DuS
1968,Ohio State,10–0,Woody Hayes, FN
1968,Ohio State,10–0,Woody Hayes, FWAA
1968,Ohio State,10–0,Woody Hayes, HAF
1968,Ohio State,10–0,Woody Hayes, NCF
1968,Ohio State,10–0,Woody Hayes, NFF
1968,Ohio State,10–0,Woody Hayes, PS
1968,Ohio State,10–0,Woody Hayes, R(FACT)
1968,Ohio State,10–0,Woody Hayes, SR
1968,Ohio State,10–0,Woody Hayes, UPI
1968,Texas,9–1–1,Darrell Royal,DeS
1968,Texas,9–1–1,Darrell Royal, MGR
1968,Texas,9–1–1,Darrell Royal, SR
1969,Ohio State,8–1,Woody Hayes,MGR
1969,Penn State,11–0,Joe Paterno,R(FACT)
1969,Penn State,11–0,Joe Paterno, SR
1969,Texas,11–0,Darrell Royal,AP
1969,Texas,11–0,Darrell Royal, B(QPRS)
1969,Texas,11–0,Darrell Royal, BR
1969,Texas,11–0,Darrell Royal, CFRA
1969,Texas,11–0,Darrell Royal, DeS
1969,Texas,11–0,Darrell Royal, DuS
1969,Texas,11–0,Darrell Royal, FN
1969,Texas,11–0,Darrell Royal, FWAA
1969,Texas,11–0,Darrell Royal, HAF
1969,Texas,11–0,Darrell Royal, L
1969,Texas,11–0,Darrell Royal, NCF
1969,Texas,11–0,Darrell Royal, NFF
1969,Texas,11–0,Darrell Royal, PS
1969,Texas,11–0,Darrell Royal, R(FACT)
1969,Texas,11–0,Darrell Royal, SR
1969,Texas,11–0,Darrell Royal, UPI
1970,Arizona State,11–0,Frank Kush,PS
1970,Nebraska,11–0–1,Bob Devaney,AP
1970,Nebraska,11–0–1,Bob Devaney, BR
1970,Nebraska,11–0–1,Bob Devaney, CFRA
1970,Nebraska,11–0–1,Bob Devaney, DeS
1970,Nebraska,11–0–1,Bob Devaney, DuS
1970,Nebraska,11–0–1,Bob Devaney, FN
1970,Nebraska,11–0–1,Bob Devaney, FWAA
1970,Nebraska,11–0–1,Bob Devaney, HAF
1970,Nebraska,11–0–1,Bob Devaney, NCF
1970,Nebraska,11–0–1,Bob Devaney, R(FACT)
1970,Nebraska,11–0–1,Bob Devaney, SR
1970,Notre Dame,10–1,Ara Parseghian,MGR
1970,Notre Dame,10–1,Ara Parseghian, R(FACT)
1970,Notre Dame,10–1,Ara Parseghian, SR
1970,Ohio State,9–1,Woody Hayes,NFF
1970,Texas,10–1,Darrell Royal,B(QPRS)
1970,Texas,10–1,Darrell Royal, L
1970,Texas,10–1,Darrell Royal, NFF
1970,Texas,10–1,Darrell Royal, R(FACT)
1970,Texas,10–1,Darrell Royal, UPI
1971,Nebraska,13–0,Bob Devaney,AP
1971,Nebraska,13–0,Bob Devaney, B(QPRS)
1971,Nebraska,13–0,Bob Devaney, BR
1971,Nebraska,13–0,Bob Devaney, CFRA
1971,Nebraska,13–0,Bob Devaney, DeS
1971,Nebraska,13–0,Bob Devaney, DuS
1971,Nebraska,13–0,Bob Devaney, FN
1971,Nebraska,13–0,Bob Devaney, FWAA
1971,Nebraska,13–0,Bob Devaney, HAF
1971,Nebraska,13–0,Bob Devaney, L
1971,Nebraska,13–0,Bob Devaney, MGR
1971,Nebraska,13–0,Bob Devaney, NCF
1971,Nebraska,13–0,Bob Devaney, NFF
1971,Nebraska,13–0,Bob Devaney, PS
1971,Nebraska,13–0,Bob Devaney, R(FACT)
1971,Nebraska,13–0,Bob Devaney, SR
1971,Nebraska,13–0,Bob Devaney, UPI
1972,USC,12–0,John McKay,AP
1972,USC,12–0,John McKay, B(QPRS)
1972,USC,12–0,John McKay, BR
1972,USC,12–0,John McKay, CFRA
1972,USC,12–0,John McKay, DeS
1972,USC,12–0,John McKay, DuS
1972,USC,12–0,John McKay, FN
1972,USC,12–0,John McKay, FWAA
1972,USC,12–0,John McKay, HAF
1972,USC,12–0,John McKay, L
1972,USC,12–0,John McKay, MGR
1972,USC,12–0,John McKay, NCF
1972,USC,12–0,John McKay, NFF
1972,USC,12–0,John McKay, PS
1972,USC,12–0,John McKay, R(FACT)
1972,USC,12–0,John McKay, SR
1972,USC,12–0,John McKay, UPI
1973,Alabama,11–1,"Paul ""Bear"" Bryant",B(QPRS)
1973,Alabama,11–1,"Paul ""Bear"" Bryant", UPI
1973,Michigan,10–0–1,Bo Schembechler,NCF
1973,Michigan,10–0–1,Bo Schembechler, PS
1973,Notre Dame,11–0,Ara Parseghian,AP
1973,Notre Dame,11–0,Ara Parseghian, BR
1973,Notre Dame,11–0,Ara Parseghian, FN
1973,Notre Dame,11–0,Ara Parseghian, FWAA
1973,Notre Dame,11–0,Ara Parseghian, HAF
1973,Notre Dame,11–0,Ara Parseghian, NCF
1973,Notre Dame,11–0,Ara Parseghian, NFF
1973,Ohio State,10–0–1,Woody Hayes,NCF
1973,Ohio State,10–0–1,Woody Hayes, PS
1973,Ohio State,10–0–1,Woody Hayes, R(FACT)
1973,Ohio State,10–0–1,Woody Hayes, SR
1973,Oklahoma,10–0–1,Barry Switzer,CFRA
1973,Oklahoma,10–0–1,Barry Switzer, DeS
1973,Oklahoma,10–0–1,Barry Switzer, DuS
1973,Oklahoma,10–0–1,Barry Switzer, SR
1974,Ohio State,10–2,Woody Hayes,MGR
1974,Oklahoma,11–0,Barry Switzer,AP
1974,Oklahoma,11–0,Barry Switzer, B(QPRS)
1974,Oklahoma,11–0,Barry Switzer, BR
1974,Oklahoma,11–0,Barry Switzer, CFRA
1974,Oklahoma,11–0,Barry Switzer, DeS
1974,Oklahoma,11–0,Barry Switzer, DuS
1974,Oklahoma,11–0,Barry Switzer, FN
1974,Oklahoma,11–0,Barry Switzer, HAF
1974,Oklahoma,11–0,Barry Switzer, L
1974,Oklahoma,11–0,Barry Switzer, NCF
1974,Oklahoma,11–0,Barry Switzer, PS
1974,Oklahoma,11–0,Barry Switzer, R(FACT)
1974,Oklahoma,11–0,Barry Switzer, SR
1974,USC,10–1–1,John McKay,FWAA
1974,USC,10–1–1,John McKay, HAF
1974,USC,10–1–1,John McKay, NCF
1974,USC,10–1–1,John McKay, NFF
1974,USC,10–1–1,John McKay, UPI
1975,Alabama,11–1,"Paul ""Bear"" Bryant",MGR
1975,Arizona State,12–0,Frank Kush,NCF
1975,Arizona State,12–0,Frank Kush, SN
1975,Ohio State,11–1,Woody Hayes,B(QPRS)
1975,Ohio State,11–1,Woody Hayes, HAF
1975,Ohio State,11–1,Woody Hayes, MGR
1975,Ohio State,11–1,Woody Hayes, PS
1975,Ohio State,11–1,Woody Hayes, R(FACT)
1975,Oklahoma,11–1,Barry Switzer,AP
1975,Oklahoma,11–1,Barry Switzer, BR
1975,Oklahoma,11–1,Barry Switzer, CFRA
1975,Oklahoma,11–1,Barry Switzer, DeS
1975,Oklahoma,11–1,Barry Switzer, DuS
1975,Oklahoma,11–1,Barry Switzer, FN
1975,Oklahoma,11–1,Barry Switzer, FWAA
1975,Oklahoma,11–1,Barry Switzer, HAF
1975,Oklahoma,11–1,Barry Switzer, NCF
1975,Oklahoma,11–1,Barry Switzer, NFF
1975,Oklahoma,11–1,Barry Switzer, R(FACT)
1975,Oklahoma,11–1,Barry Switzer, SR
1975,Oklahoma,11–1,Barry Switzer, UPI
1976,Pittsburgh,12–0,Johnny Majors,AP
1976,Pittsburgh,12–0,Johnny Majors, FN
1976,Pittsburgh,12–0,Johnny Majors, FWAA
1976,Pittsburgh,12–0,Johnny Majors, HAF
1976,Pittsburgh,12–0,Johnny Majors, NCF
1976,Pittsburgh,12–0,Johnny Majors, NFF
1976,Pittsburgh,12–0,Johnny Majors, PS
1976,Pittsburgh,12–0,Johnny Majors, R(FACT)
1976,Pittsburgh,12–0,Johnny Majors, SN
1976,Pittsburgh,12–0,Johnny Majors, SR
1976,Pittsburgh,12–0,Johnny Majors, UPI
1976,USC,11–1,John Robinson,B(QPRS)
1976,USC,11–1,John Robinson, BR
1976,USC,11–1,John Robinson, CFRA
1976,USC,11–1,John Robinson, DeS
1976,USC,11–1,John Robinson, DuS
1976,USC,11–1,John Robinson, MGR
1977,Alabama,11–1,"Paul ""Bear"" Bryant",CFRA
1977,Arkansas,11–1,Lou Holtz,R(FACT)
1977,Notre Dame,11–1,Dan Devine,AP
1977,Notre Dame,11–1,Dan Devine, BR
