movie_title,actor_1,actor_2,actor_3,fb_like_1,fb_like_2,fb_like_3
Hall Pass,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,966.0,919.0,681.0
The Insider,Al Pacino,Rip Torn,Debi Mazar,14000.0,826.0,680.0
The Finest Hours,Michael Raymond-James,Abraham Benrubi,Graham McTavish,788.0,562.0,531.0
Body of Lies,Leonardo DiCaprio,Simon McBurney,Michael Gaston,29000.0,149.0,135.0
Dinner for Schmucks,Steve Carell,Stephanie Szostak,Bruce Greenwood,7000.0,1000.0,982.0
Abraham Lincoln: Vampire Hunter,Rufus Sewell,Dominic Cooper,Benjamin Walker,3000.0,3000.0,911.0
Entrapment,Will Patton,Kevin McNally,Maury Chaykin,537.0,427.0,232.0
Last Man Standing,Hector Elizondo,Kaitlyn Dever,Nancy Travis,995.0,363.0,359.0
The X Files,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,940.0,826.0,745.0
The Last Legion,Colin Firth,Nonso Anozie,Owen Teale,14000.0,394.0,112.0
Saving Private Ryan,Tom Hanks,Vin Diesel,Matt Damon,15000.0,14000.0,13000.0
Need for Speed,Rami Malek,Dominic Cooper,Ramon Rodriguez,3000.0,3000.0,464.0
What Women Want,Judy Greer,Lisa Edelstein,Loretta Devine,2000.0,955.0,912.0
Ice Age,Goran Visnjic,Stephen Root,Denis Leary,1000.0,939.0,835.0
Dreamcatcher,Morgan Freeman,Michael O'Neill,Reece Thompson,11000.0,599.0,354.0
Lincoln,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,23000.0,826.0,655.0
The Matrix,Keanu Reeves,Marcus Chong,Gloria Foster,18000.0,145.0,99.0
Apollo 13,Tom Hanks,Miko Hughes,Kathleen Quinlan,15000.0,968.0,552.0
The Santa Clause 2,Judge Reinhold,Aisha Tyler,Eric Lloyd,901.0,857.0,775.0
Les Misérables,Hugh Jackman,Eddie Redmayne,Anne Hathaway,20000.0,13000.0,11000.0
You've Got Mail,Tom Hanks,Jean Stapleton,Dave Chappelle,15000.0,793.0,744.0
Step Brothers,Will Ferrell,Adam Scott,Andrea Savage,8000.0,3000.0,105.0
The Mask of Zorro,Anthony Hopkins,Tony Amendola,Stuart Wilson,12000.0,174.0,94.0
Due Date,Robert Downey Jr.,RZA,Matt Walsh,21000.0,561.0,490.0
Unbroken,Finn Wittrock,Jack O'Connell,Alex Russell,769.0,698.0,465.0
Space Cowboys,Clint Eastwood,Courtney B. Vance,William Devane,16000.0,495.0,416.0
Cliffhanger,Sylvester Stallone,Leon,Janine Turner,13000.0,730.0,369.0
Broken Arrow,Delroy Lindo,Samantha Mathis,Bob Gunton,848.0,517.0,461.0
The Kid,Bruce Willis,Lily Tomlin,Daniel von Bargen,13000.0,718.0,577.0
World Trade Center,Nicolas Cage,Jay Hernandez,Armando Riesco,12000.0,1000.0,625.0
Mona Lisa Smile,Julia Roberts,Kirsten Dunst,Marian Seldes,8000.0,4000.0,403.0
The Dictator,Sayed Badreya,Aasif Mandvi,Horatio Sanz,600.0,346.0,174.0
Eyes Wide Shut,Tom Cruise,Vinessa Shaw,Sydney Pollack,10000.0,580.0,521.0
Annie,Quvenzhané Wallis,Dorian Missick,David Zayas,2000.0,1000.0,929.0
Focus,Will Smith,Adrian Martinez,Gerald McRaney,10000.0,806.0,523.0
This Means War,Tom Hardy,Abigail Spencer,Warren Christie,27000.0,1000.0,520.0
Blade: Trinity,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,16000.0,1000.0,957.0
Red Dawn,Lea Thompson,Jennifer Grey,William Smith,1000.0,1000.0,919.0
Primary Colors,Maura Tierney,Adrian Lester,Paul Guilfoyle,509.0,317.0,210.0
Resident Evil: Retribution,Milla Jovovich,Boris Kodjoe,Bingbing Li,14000.0,1000.0,974.0
Death Race,Jason Statham,Max Ryan,Joan Allen,26000.0,872.0,805.0
The Long Kiss Goodnight,Melina Kanakaredes,Craig Bierko,Yvonne Zima,394.0,380.0,263.0
Proof of Life,Pamela Reed,Alun Armstrong,Michael Kitchen,324.0,192.0,184.0
Zathura: A Space Adventure,Kristen Stewart,Josh Hutcherson,Jonah Bobo,17000.0,14000.0,539.0
Fight Club,Brad Pitt,Meat Loaf,Eugenie Bondurant,11000.0,783.0,637.0
We Are Marshall,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,11000.0,529.0,383.0
The Missing,Jason Flemyng,James Nesbitt,Frances O'Connor,1000.0,773.0,575.0
Hudson Hawk,Bruce Willis,James Coburn,Richard E. Grant,13000.0,773.0,554.0
Lucky Numbers,Michael Rapaport,Michael Moore,Richard Schiff,975.0,909.0,506.0
"I, Frankenstein",Caitlin Stasey,Kevin Grevioux,Miranda Otto,623.0,593.0,568.0
Oliver Twist,Ian McNeice,Barney Clark,Tony Noble,268.0,85.0,25.0
Elektra,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,3000.0,1000.0,1000.0
Sin City: A Dame to Kill For,Joseph Gordon-Levitt,Bruce Willis,Eva Green,23000.0,13000.0,6000.0
Random Hearts,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,11000.0,1000.0,970.0
Everest,Michael Kelly,Martin Henderson,Tom Goodman-Hill,963.0,580.0,221.0
Perfume: The Story of a Murderer,Michael Smiley,David Calder,Simon Chandler,177.0,27.0,16.0
Austin Powers in Goldmember,Verne Troyer,Josh Zuckerman,Robert Wagner,645.0,522.0,481.0
Astro Boy,Nicolas Cage,Charlize Theron,Dee Bradley Baker,12000.0,9000.0,668.0
Jurassic Park,Wayne Knight,Ariana Richards,Bob Peck,967.0,610.0,191.0
Wyatt Earp,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,2000.0,925.0,812.0
Clear and Present Danger,Harrison Ford,Dean Jones,Raymond Cruz,11000.0,913.0,672.0
Dragon Blade,Si Won Choi,Peng Lin,Sung-jun Yoo,21.0,18.0,7.0
Littleman,Chazz Palminteri,Brittany Daniel,John Witherspoon,979.0,862.0,723.0
U-571,Matthew McConaughey,Thomas Kretschmann,David Keith,11000.0,919.0,563.0
The American President,Shawna Waldron,Samantha Mathis,Wendie Malick,524.0,517.0,452.0
The Love Guru,Justin Timberlake,Romany Malco,Verne Troyer,3000.0,966.0,645.0
3000 Miles to Graceland,Jon Lovitz,Bokeem Woodbine,Ice-T,11000.0,904.0,867.0
The Hateful Eight,Craig Stark,Jennifer Jason Leigh,Zoë Bell,46000.0,1000.0,1000.0
Blades of Glory,Will Ferrell,Amy Poehler,Jon Heder,8000.0,1000.0,970.0
Hop,Gary Cole,Elizabeth Perkins,Chelsea Handler,989.0,664.0,439.0
300,Gerard Butler,Michael Fassbender,Vincent Regan,18000.0,13000.0,447.0
Meet the Fockers,Robert De Niro,Blythe Danner,Teri Polo,22000.0,713.0,708.0
Marley & Me,Eric Dane,Kathleen Turner,Haley Bennett,2000.0,899.0,664.0
The Green Mile,Tom Hanks,Jeffrey DeMunn,Michael Jeter,15000.0,745.0,693.0
Wild Hogs,Jill Hennessy,Tichina Arnold,Drew Sidora,419.0,330.0,311.0
Chicken Little,Catherine O'Hara,Fred Willard,Amy Sedaris,925.0,729.0,397.0
Gone Girl,Patrick Fugit,Sela Ward,Emily Ratajkowski,835.0,812.0,625.0
The Bourne Identity,Matt Damon,Josh Hamilton,Nicky Naudé,13000.0,147.0,73.0
GoldenEye,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,394.0,387.0,345.0
The General's Daughter,Daniel von Bargen,Timothy Hutton,Clarence Williams III,577.0,501.0,475.0
The Truman Show,Natascha McElhone,Noah Emmerich,Peter Krause,2000.0,617.0,576.0
The Prince of Egypt,Martin Short,Aria Noelle Curzon,Eden Riegel,770.0,263.0,145.0
Daddy Day Care,Anjelica Huston,Lisa Edelstein,Jeff Garlin,1000.0,955.0,522.0
2 Guns,Denzel Washington,Patrick Fischler,Fred Ward,18000.0,497.0,459.0
Cats & Dogs,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,3000.0,664.0,405.0
The Italian Job,Jason Statham,Charlize Theron,Jimmy Shubert,26000.0,9000.0,82.0
Two Weeks Notice,Dorian Missick,Alicia Witt,Dana Ivey,1000.0,976.0,268.0
Antz,Sylvester Stallone,Woody Allen,Anne Bancroft,13000.0,11000.0,754.0
Couples Retreat,Jon Favreau,Kristin Davis,Tasha Smith,4000.0,722.0,721.0
Days of Thunder,Tom Cruise,Robert Duvall,Randy Quaid,10000.0,3000.0,695.0
Cheaper by the Dozen 2,Taylor Lautner,Tom Welling,Alyson Stoner,12000.0,3000.0,2000.0
The Scorch Trials,Ki Hong Lee,Lili Taylor,Rosa Salazar,988.0,960.0,240.0
Eat Pray Love,James Franco,Julia Roberts,Billy Crudup,11000.0,8000.0,745.0
The Family Man,Nicolas Cage,Don Cheadle,Amber Valletta,12000.0,3000.0,627.0
RED,Bruce Willis,Morgan Freeman,Jaqueline Fleming,13000.0,11000.0,357.0
Any Given Sunday,Al Pacino,Dennis Quaid,LL Cool J,14000.0,2000.0,1000.0
The Horse Whisperer,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,19000.0,1000.0,380.0
Collateral,Tom Cruise,Jada Pinkett Smith,Debi Mazar,10000.0,851.0,680.0
The Scorpion King,Dwayne Johnson,Roger Rees,Bernard Hill,12000.0,1000.0,416.0
Ladder 49,Billy Burke,Jay Hernandez,Jacinda Barrett,2000.0,1000.0,579.0
Jack Reacher,Tom Cruise,Robert Duvall,David Oyelowo,10000.0,3000.0,1000.0
Deep Blue Sea,LL Cool J,Michael Rapaport,Saffron Burrows,1000.0,975.0,811.0
This Is It,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,433.0,208.0,6.0
Contagion,Matt Damon,Monique Gabriela Curnen,Griffin Kane,13000.0,240.0,175.0
Kangaroo Jack,Estella Warren,Dyan Cannon,Bill Hunter,658.0,257.0,226.0
Coraline,Jennifer Saunders,Dawn French,John Hodgman,309.0,229.0,57.0
The Happening,Zooey Deschanel,Alan Ruck,Kristen Connolly,11000.0,946.0,751.0
Man on Fire,Denzel Washington,Radha Mitchell,Giancarlo Giannini,18000.0,992.0,451.0
The Shaggy Dog,Robert Downey Jr.,Joel David Moore,Kristin Davis,21000.0,936.0,722.0
Starsky & Hutch,Snoop Dogg,Carmen Electra,Fred Williamson,881.0,869.0,767.0
Jingle All the Way,Jim Belushi,Harvey Korman,Jake Lloyd,854.0,628.0,626.0
Hellboy,James Babson,Rupert Evans,Brian Steele,366.0,334.0,160.0
A Civil Action,Robert Duvall,Kathleen Quinlan,Sydney Pollack,3000.0,552.0,521.0
ParaNorman,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,10000.0,884.0,586.0
The Jackal,J.K. Simmons,Bruce Willis,Sophie Okonedo,24000.0,13000.0,460.0
Paycheck,Ivana Milicevic,Joe Morton,Callum Rennie,834.0,780.0,716.0
Up Close & Personal,Joe Mantegna,Stockard Channing,Raymond Cruz,1000.0,944.0,672.0
The Tale of Despereaux,Emma Watson,Matthew Broderick,Frank Langella,9000.0,2000.0,903.0
Rules of Engagement,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,732.0,607.0,402.0
The Tuxedo,Romany Malco,Debi Mazar,Ritchie Coster,966.0,680.0,107.0
Under Siege 2: Dark Territory,Peter Greene,Brenda Bakke,Patrick Kilpatrick,789.0,520.0,488.0
Jack Ryan: Shadow Recruit,Colm Feore,Nonso Anozie,Gemma Chan,539.0,394.0,288.0
Joy,Jennifer Lawrence,Robert De Niro,Bradley Cooper,34000.0,22000.0,14000.0
London Has Fallen,Gerard Butler,Radha Mitchell,Julian Kostov,18000.0,992.0,864.0
Alien: Resurrection,Gary Dourdan,Michael Wincott,Raymond Cruz,1000.0,720.0,672.0
Shooter,Tate Donovan,Ned Beatty,Louis Ferreira,650.0,467.0,295.0
The Boxtrolls,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,874.0,668.0,642.0
Practical Magic,Goran Visnjic,Dianne Wiest,Stockard Channing,1000.0,967.0,944.0
The Lego Movie,Morgan Freeman,Will Ferrell,Alison Brie,11000.0,8000.0,2000.0
Miss Congeniality 2: Armed and Fabulous,Eileen Brennan,Diedrich Bader,Treat Williams,1000.0,759.0,642.0
Reign of Fire,Christian Bale,Gerard Butler,Matthew McConaughey,23000.0,18000.0,11000.0
Gangster Squad,Ryan Gosling,Brandon Molale,Wade Williams,33000.0,301.0,300.0
Year One,Olivia Wilde,Oliver Platt,Xander Berkeley,10000.0,1000.0,485.0
Invictus,Matt Damon,Morgan Freeman,Leleti Khumalo,13000.0,11000.0,204.0
State of Play,Robin Wright,Harry Lennix,Michael Weston,18000.0,748.0,379.0
Duplicity,Julia Roberts,Tom Wilkinson,Denis O'Hare,8000.0,1000.0,896.0
My Favorite Martian,Steven Anthony Lawrence,Ray Walston,Michael Lerner,1000.0,417.0,230.0
The Sentinel,Blair Brown,David Rasche,Martin Donovan,310.0,219.0,206.0
Planet 51,Dwayne Johnson,Gary Oldman,James Corden,12000.0,10000.0,480.0
Star Trek: Nemesis,Tom Hardy,LeVar Burton,Jonathan Frakes,27000.0,1000.0,906.0
Intolerable Cruelty,Cedric the Entertainer,Paul Adelstein,Julia Duffy,436.0,399.0,210.0
Trouble with the Curve,Clint Eastwood,Ed Lauter,Bob Gunton,16000.0,897.0,461.0
Edge of Darkness,Bojana Novakovic,Ray Winstone,Denis O'Hare,2000.0,1000.0,896.0
The Relic,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,510.0,344.0,308.0
Analyze That,Robert De Niro,Cathy Moriarty,Joe Viterelli,22000.0,394.0,236.0
Righteous Kill,Robert De Niro,Al Pacino,50 Cent,22000.0,14000.0,1000.0
Mercury Rising,Bruce Willis,Miko Hughes,Carrie Preston,13000.0,968.0,652.0
The Soloist,Robert Downey Jr.,Stephen Root,Rachael Harris,21000.0,939.0,569.0
The Legend of Bagger Vance,Matt Damon,Will Smith,Charlize Theron,13000.0,10000.0,9000.0
Almost Famous,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,22000.0,11000.0,947.0
Garfield 2,Bill Murray,Roger Rees,Ben Falcone,13000.0,1000.0,265.0
xXx: State of the Union,Sunny Mabrey,Nona Gaye,Xzibit,287.0,233.0,218.0
Priest,Josh Wingate,Alan Dale,Jacob Hopkins,865.0,441.0,77.0
Sinbad: Legend of the Seven Seas,Brad Pitt,Adriano Giannini,Timothy West,11000.0,102.0,82.0
Event Horizon,Sean Pertwee,Joely Richardson,Kathleen Quinlan,722.0,585.0,552.0
Dragonfly,Joe Morton,Susanna Thompson,Matt Craven,780.0,265.0,256.0
The Black Dahlia,Scarlett Johansson,Mia Kirshner,Mike Starr,19000.0,972.0,854.0
Flyboys,James Franco,Tyler Labine,Philip Winchester,11000.0,779.0,579.0
The Last Castle,Clifton Collins Jr.,Delroy Lindo,Michael Irby,968.0,848.0,507.0
Supernova,Robert Forster,Wilson Cruz,Vanessa Marshall,889.0,290.0,68.0
Winter's Tale,Matt Bomer,William Hurt,Kevin Corrigan,20000.0,882.0,778.0
The Mortal Instruments: City of Bones,Aidan Turner,Kevin Zegers,CCH Pounder,5000.0,2000.0,1000.0
Meet Dave,Marc Blucas,Mike O'Malley,Shawn Christian,973.0,400.0,196.0
Dark Water,Dougray Scott,Camryn Manheim,Ariel Gade,794.0,329.0,87.0
Edtv,Matthew McConaughey,Adam Goldberg,Clint Howard,11000.0,1000.0,1000.0
Inkheart,Brendan Fraser,Stephen Graham,Jamie Foreman,3000.0,1000.0,466.0
The Spirit,Scarlett Johansson,Jaime King,Louis Lombardi,19000.0,961.0,437.0
Mortdecai,Johnny Depp,Olivia Munn,Ulrich Thomsen,40000.0,2000.0,280.0
In the Name of the King: A Dungeon Siege Tale,Jason Statham,Mike Dopud,Tania Saulnier,26000.0,368.0,102.0
Beyond Borders,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,11000.0,708.0,617.0
Xi you ji zhi: Sun Wukong san da Baigu Jing,Li Gong,Aaron Kwok,Eddie Peng,879.0,107.0,22.0
The Great Raid,James Franco,Clayne Crawford,Paolo Montalban,11000.0,298.0,242.0
Deadpool,Ryan Reynolds,Ed Skrein,Stefan Kapicic,16000.0,805.0,361.0
Holy Man,Kelly Preston,Morgan Fairchild,Eric McCormack,743.0,730.0,440.0
American Sniper,Bradley Cooper,Leonard Roberts,Keir O'Donnell,14000.0,962.0,318.0
Goosebumps,Odeya Rush,Dylan Minnette,Ken Marino,2000.0,1000.0,543.0
"Sabrina, the Teenage Witch",Nate Richert,Soleil Moon Frye,Caroline Rhea,870.0,558.0,271.0
Just Like Heaven,Jon Heder,Ivana Milicevic,Willie Garson,970.0,834.0,512.0
The Flintstones in Viva Rock Vegas,Taylor Negron,Mark Addy,Danny Woodburn,1000.0,891.0,809.0
Rambo III,Sylvester Stallone,Kurtwood Smith,Richard Crenna,13000.0,1000.0,349.0
Leatherheads,Robert Baker,Malcolm Goodwin,Matt Bushell,142.0,117.0,110.0
The Ridiculous 6,Taylor Lautner,Adam Sandler,Jon Lovitz,12000.0,11000.0,11000.0
Did You Hear About the Morgans?,Michael Kelly,Kim Shaw,Kevin Brown,963.0,935.0,727.0
The Internship,Josh Gad,Jessica Szohr,Rob Riggle,1000.0,847.0,839.0
Resident Evil: Afterlife,Milla Jovovich,Boris Kodjoe,Shawn Roberts,14000.0,1000.0,529.0
Red Tails,David Oyelowo,Nate Parker,Tristan Mack Wilds,1000.0,664.0,519.0
Sex and the City,Chris Noth,Kristin Davis,Cynthia Nixon,962.0,722.0,479.0
The Devil's Advocate,Keanu Reeves,Al Pacino,Charlize Theron,18000.0,14000.0,9000.0
That's My Boy,Adam Sandler,Leighton Meester,Will Forte,11000.0,3000.0,622.0
DragonHeart,Dennis Quaid,Brian Thompson,Terry O'Neill,2000.0,663.0,40.0
After the Sunset,Salma Hayek,Don Cheadle,Chris Penn,4000.0,3000.0,455.0
Ghost Rider: Spirit of Vengeance,Nicolas Cage,Spencer Wilding,Christopher Lambert,12000.0,1000.0,1000.0
Captain Corelli's Mandolin,Christian Bale,Irene Papas,Mihalis Giannatos,23000.0,243.0,58.0
Anger Management,Barry Corbin,Noureen DeWulf,Brian Austin Green,883.0,701.0,676.0
The Pacifier,Vin Diesel,Brad Garrett,Tate Donovan,14000.0,799.0,650.0
Walking Tall,Dwayne Johnson,Ashley Scott,Michael Bowen,12000.0,795.0,348.0
Forrest Gump,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,15000.0,294.0,194.0
Alvin and the Chipmunks,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,1000.0,718.0,639.0
Meet the Parents,Robert De Niro,Blythe Danner,Teri Polo,22000.0,713.0,708.0
Pocahontas,Christian Bale,Frank Welker,Irene Bedard,23000.0,2000.0,752.0
Superman,Marlon Brando,Margot Kidder,Ned Beatty,10000.0,593.0,467.0
The Nutty Professor,Jada Pinkett Smith,James Coburn,Dave Chappelle,851.0,773.0,744.0
Hitch,Will Smith,Michael Rapaport,Kevin Sussman,10000.0,975.0,681.0
George of the Jungle,Brendan Fraser,Abraham Benrubi,Holland Taylor,3000.0,562.0,458.0
American Wedding,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,3000.0,864.0,729.0
Captain Phillips,Tom Hanks,Chris Mulkey,Michael Chernus,15000.0,535.0,186.0
Date Night,Mila Kunis,James Franco,Steve Carell,15000.0,11000.0,7000.0
Casper,Eric Idle,Fred Rogers,Cathy Moriarty,795.0,419.0,394.0
The Equalizer,Denzel Washington,Chloë Grace Moretz,James Wilcox,18000.0,17000.0,683.0
Maid in Manhattan,Bob Hoskins,Frances Conroy,Natasha Richardson,5000.0,827.0,708.0
Crimson Tide,Denzel Washington,Viggo Mortensen,Ricky Schroder,18000.0,10000.0,665.0
The Pursuit of Happyness,Will Smith,Kurt Fuller,James Karen,10000.0,617.0,168.0
Flightplan,Erika Christensen,Michael Irby,Haley Ramm,931.0,507.0,354.0
Disclosure,Demi Moore,Dylan Baker,Roma Maffia,2000.0,812.0,383.0
City of Angels,Nicolas Cage,Andre Braugher,Colm Feore,12000.0,702.0,539.0
Kill Bill: Vol. 1,David Carradine,Vivica A. Fox,Chiaki Kuriyama,926.0,890.0,640.0
Bowfinger,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,21000.0,860.0,490.0
Stargate SG-1,Christopher Judge,Don S. Davis,Gary Jones,847.0,440.0,72.0
Kill Bill: Vol. 2,Vivica A. Fox,Michael Parks,Michael Bowen,890.0,387.0,348.0
Tango & Cash,Sylvester Stallone,Jack Palance,Brion James,13000.0,549.0,403.0
Death Becomes Her,Bruce Willis,Meryl Streep,Isabella Rossellini,13000.0,11000.0,812.0
Shanghai Noon,Xander Berkeley,Jason Connery,Kate Luyben,485.0,110.0,95.0
Executive Decision,Oliver Platt,Joe Morton,J.T. Walsh,1000.0,780.0,263.0
Mr. Popper's Penguins,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,1000.0,549.0,497.0
The Forbidden Kingdom,Jet Li,Thomas McDonell,Michael Angarano,5000.0,962.0,947.0
Free Birds,Amy Poehler,Carlos Ponce,Dan Fogler,1000.0,591.0,562.0
Alien 3,Charles S. Dutton,Holt McCallany,Paul McGann,534.0,273.0,243.0
Evita,Andrea Corr,Jimmy Nail,Peter Polycarpou,57.0,40.0,34.0
Ronin,Robert De Niro,Natascha McElhone,Michael Lonsdale,22000.0,2000.0,135.0
The Ghost and the Darkness,Tom Wilkinson,Bernard Hill,Om Puri,1000.0,416.0,163.0
Paddington,Julie Walters,Matt Lucas,Sally Hawkins,838.0,722.0,594.0
The Watch,Will Forte,Nicholas Braun,Rosemarie DeWitt,622.0,591.0,537.0
The Hunted,Connie Nielsen,Jenna Boyd,Rex Linn,933.0,518.0,215.0
Instinct,Anthony Hopkins,Maura Tierney,John Ashton,12000.0,509.0,241.0
Stuck on You,Matt Damon,Terence Bernie Hines,Seymour Cassel,13000.0,390.0,327.0
Semi-Pro,Will Ferrell,Maura Tierney,Matt Walsh,8000.0,509.0,490.0
The Pirates! Band of Misfits,Salma Hayek,Russell Tovey,Brian Blessed,4000.0,796.0,591.0
Changeling,Angelina Jolie Pitt,Michael Kelly,Colm Feore,11000.0,963.0,539.0
Chain Reaction,Keanu Reeves,Morgan Freeman,Kevin Dunn,18000.0,11000.0,581.0
The Fan,Robert De Niro,Kurt Fuller,Ellen Barkin,22000.0,617.0,552.0
The Phantom of the Opera,Gerard Butler,Minnie Driver,Miranda Richardson,18000.0,893.0,530.0
Elizabeth: The Golden Age,Eddie Redmayne,Abbie Cornish,Jordi Mollà,13000.0,2000.0,877.0
Æon Flux,Charlize Theron,Sophie Okonedo,Paterson Joseph,9000.0,460.0,352.0
Gods and Generals,Billy Campbell,Bruce Boxleitner,John Castle,789.0,640.0,67.0
Turbulence,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,995.0,879.0,745.0
Imagine That,Stephen Root,Ronny Cox,Richard Schiff,939.0,605.0,506.0
Muppets Most Wanted,Ty Burrell,Tina Fey,Hugh Bonneville,3000.0,2000.0,518.0
Thunderbirds,Sophia Myles,Philip Winchester,Brady Corbet,956.0,579.0,287.0
Burlesque,Eric Dane,Peter Gallagher,David Walton,2000.0,828.0,676.0
A Very Long Engagement,Denis Lavant,André Dussollier,Albert Dupontel,226.0,52.0,46.0
Lolita,James Mason,Shelley Winters,Lois Maxwell,617.0,367.0,177.0
Eye See You,Sylvester Stallone,Tom Berenger,Charles S. Dutton,13000.0,854.0,534.0
Blade II,Norman Reedus,Thomas Kretschmann,Tony Curran,12000.0,919.0,845.0
Seven Pounds,Will Smith,Rosario Dawson,Madison Pettis,10000.0,3000.0,835.0
Bullet to the Head,Sylvester Stallone,Jason Momoa,Jon Seda,13000.0,11000.0,565.0
The Godfather: Part III,Al Pacino,Joe Mantegna,Bridget Fonda,14000.0,1000.0,889.0
Elizabethtown,Orlando Bloom,Kirsten Dunst,Judy Greer,5000.0,4000.0,2000.0
"You, Me and Dupree",Todd Stashwick,Billy Gardell,Amanda Detmer,277.0,245.0,240.0
Superman II,Margot Kidder,Ned Beatty,Jackie Cooper,593.0,467.0,420.0
Gigli,Todd Giebenhain,Lenny Venito,David Backus,117.0,62.0,43.0
All the King's Men,Kate Winslet,Anthony Hopkins,Kevin Dunn,14000.0,12000.0,581.0
Shaft,Christian Bale,Vanessa Williams,Daniel von Bargen,23000.0,1000.0,577.0
Anastasia,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,4000.0,808.0,753.0
Moulin Rouge!,Jim Broadbent,Kylie Minogue,Richard Roxburgh,1000.0,691.0,653.0
Domestic Disturbance,Steve Buscemi,Teri Polo,Matt O'Leary,12000.0,708.0,303.0
Black Mass,Johnny Depp,Benedict Cumberbatch,Adam Scott,40000.0,19000.0,3000.0
Flags of Our Fathers,Paul Walker,Chris Bauer,Tom McCarthy,23000.0,638.0,310.0
Law Abiding Citizen,Gerard Butler,Leslie Bibb,Michael Kelly,18000.0,1000.0,963.0
Grindhouse,Quentin Tarantino,Rosario Dawson,Zoë Bell,16000.0,3000.0,1000.0
Beloved,Oprah Winfrey,Kimberly Elise,Hill Harper,852.0,637.0,466.0
Lucky You,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,21000.0,3000.0,681.0
Catch Me If You Can,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,29000.0,15000.0,3000.0
Zero Dark Thirty,Jennifer Ehle,Harold Perrineau,Parker Sawyers,1000.0,1000.0,304.0
The Break-Up,Jon Favreau,John Michael Higgins,Ann-Margret,4000.0,957.0,931.0
Mamma Mia!,Colin Firth,Meryl Streep,Julie Walters,14000.0,11000.0,838.0
Valentine's Day,Bradley Cooper,Taylor Lautner,Anne Hathaway,14000.0,12000.0,11000.0
The Dukes of Hazzard,Alice Greczyn,Jessica Simpson,Michael Weston,631.0,534.0,379.0
The Thin Red Line,Nick Stahl,Miranda Otto,Dash Mihok,648.0,568.0,463.0
The Change-Up,Ryan Reynolds,Olivia Wilde,Mircea Monroe,16000.0,10000.0,634.0
Man on the Moon,Matt Price,Gerry Becker,Tom Dreesen,134.0,27.0,21.0
Casino,Robert De Niro,Don Rickles,Kevin Pollak,22000.0,721.0,574.0
From Paris with Love,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,211.0,135.0,75.0
Bulletproof Monk,Jaime King,Mako,Victoria Smurfit,961.0,691.0,343.0
"Me, Myself & Irene",Robert Forster,Tony Cox,Rob Moran,889.0,624.0,79.0
Barnyard,Rob Paulsen,Wanda Sykes,Maurice LaMarche,677.0,560.0,523.0
Deck the Halls,Matthew Broderick,Jorge Garcia,Alia Shawkat,2000.0,1000.0,728.0
The Twilight Saga: New Moon,Robert Pattinson,Kristen Stewart,Taylor Lautner,21000.0,17000.0,12000.0
Shrek,Kathleen Freeman,Chris Miller,Bobby Block,145.0,50.0,21.0
The Adjustment Bureau,Matt Damon,Michael Kelly,Jon Stewart,13000.0,963.0,593.0
Robin Hood: Prince of Thieves,Alan Rickman,Morgan Freeman,Michael Wincott,25000.0,11000.0,720.0
Jerry Maguire,Tom Cruise,Kelly Preston,Bonnie Hunt,10000.0,743.0,597.0
Ted,Mila Kunis,Seth MacFarlane,Tom Skerritt,15000.0,3000.0,1000.0
As Good as It Gets,Lupe Ontiveros,Yeardley Smith,Shirley Knight,625.0,440.0,285.0
Patch Adams,Robin Williams,Philip Seymour Hoffman,Monica Potter,49000.0,22000.0,878.0
Anchorman 2: The Legend Continues,Harrison Ford,Will Ferrell,Steve Carell,11000.0,8000.0,7000.0
Mr. Deeds,Steve Buscemi,Adam Sandler,Peter Gallagher,12000.0,11000.0,828.0
Super 8,Joel Courtney,AJ Michalka,Zach Mills,1000.0,560.0,417.0
