deployDate,recoveryDate,between_days
2/21/2017,5/16/2017, 2017-03-23
2/21/2017,5/16/2017, 2017-03-24
2/21/2017,5/16/2017,2017-03-25
2/21/2017,5/16/2017, 2017-03-26
2/21/2017,5/16/2017, 2017-03-27
2/21/2017,5/16/2017, 2017-03-28
2/21/2017,5/16/2017,2017-03-29
2/21/2017,5/16/2017, 2017-03-30
2/21/2017,5/16/2017, 2017-03-31
2/21/2017,5/16/2017, 2017-04-01
2/21/2017,5/16/2017,2017-04-02
2/21/2017,5/16/2017, 2017-04-03
2/21/2017,5/16/2017, 2017-04-04
2/21/2017,5/16/2017, 2017-04-05
2/21/2017,5/16/2017,2017-04-06
2/21/2017,5/16/2017, 2017-04-07
2/21/2017,5/16/2017, 2017-04-08
2/21/2017,5/16/2017, 2017-04-09
2/21/2017,5/16/2017,2017-04-10
2/21/2017,5/16/2017, 2017-04-11
2/21/2017,5/16/2017, 2017-04-12
2/21/2017,5/16/2017, 2017-04-13
2/21/2017,5/16/2017,2017-04-14
2/21/2017,5/16/2017, 2017-04-15
2/21/2017,5/16/2017, 2017-04-16
2/21/2017,5/16/2017, 2017-04-17
2/21/2017,5/16/2017,2017-04-18
2/21/2017,5/16/2017, 2017-04-19
2/21/2017,5/16/2017, 2017-04-20
2/21/2017,5/16/2017, 2017-04-21
2/21/2017,5/16/2017,2017-04-22
2/21/2017,5/16/2017, 2017-04-23
2/21/2017,5/16/2017, 2017-04-24
2/21/2017,5/16/2017, 2017-04-25
2/21/2017,5/16/2017,2017-04-26
2/21/2017,5/16/2017, 2017-04-27
2/21/2017,5/16/2017, 2017-04-28
2/21/2017,5/16/2017, 2017-04-29
2/21/2017,5/16/2017,2017-04-30
2/21/2017,5/16/2017, 2017-05-01
2/21/2017,5/16/2017, 2017-05-02
2/21/2017,5/16/2017, 2017-05-03
2/21/2017,5/16/2017,2017-05-04
2/21/2017,5/16/2017, 2017-05-05
2/21/2017,5/16/2017, 2017-05-06
2/21/2017,5/16/2017, 2017-05-07
2/21/2017,5/16/2017,2017-05-08
2/21/2017,5/16/2017, 2017-05-09
2/21/2017,5/16/2017, 2017-05-10
2/21/2017,5/16/2017, 2017-05-11
2/21/2017,5/16/2017,2017-05-12
2/21/2017,5/16/2017, 2017-05-13
2/21/2017,5/16/2017, 2017-05-14
2/21/2017,5/16/2017, 2017-05-15
2/21/2017,5/16/2017,2017-05-16
2/13/2018,5/30/2018,2018-02-13
2/13/2018,5/30/2018, 2018-02-14
2/13/2018,5/30/2018, 2018-02-15
2/13/2018,5/30/2018, 2018-02-16
2/13/2018,5/30/2018, 2018-02-17
2/13/2018,5/30/2018, 2018-02-18
2/13/2018,5/30/2018, 2018-02-19
2/13/2018,5/30/2018, 2018-02-20
2/13/2018,5/30/2018,2018-02-21
2/13/2018,5/30/2018, 2018-02-22
2/13/2018,5/30/2018, 2018-05-21
2/13/2018,5/30/2018, 2018-05-22
2/13/2018,5/30/2018, 2018-05-23
2/13/2018,5/30/2018, 2018-05-24
2/13/2018,5/30/2018,2018-05-25
2/13/2018,5/30/2018, 2018-05-26
2/13/2018,5/30/2018, 2018-05-27
2/13/2018,5/30/2018, 2018-05-28
2/13/2018,5/30/2018,2018-05-29
2/13/2018,5/30/2018, 2018-05-30
