city,cuisine_style,ranking,rating,reviews_number
Oslo,unknown,523.0,5.0,6.0
Madrid,Seafood,7097.0,3.0,18.0
Vienna,unknown,2747.0,4.0,
Munich,Sushi,1582.0,5.0,3.0
Munich,"German, Cafe, Fast Food, Delicatessen",1150.0,5.0,4.0
Geneva,French,955.0,3.0,23.0
Barcelona,unknown,6676.0,2.5,17.0
Stockholm,unknown,1112.0,5.0,
Paris,"Italian, Pizza, Vegetarian Friendly",4027.0,4.0,102.0
Hamburg,European,1629.0,4.5,3.0
Paris,"Italian, Mediterranean",3563.0,4.5,69.0
London,"French, European, Wine Bar, Vegetarian Friendly",1444.0,4.5,171.0
Milan,Italian,3711.0,4.5,6.0
Vienna,"Chinese, Asian, Fusion",1191.0,5.0,5.0
London,British,11694.0,4.0,15.0
Paris,Chinese,7968.0,4.0,13.0
Rome,unknown,5767.0,5.0,
Milan,Italian,4218.0,3.5,72.0
Barcelona,"Italian, Pizza, Mediterranean, Vegetarian Friendly",1556.0,4.5,63.0
Copenhagen,Sushi,1942.0,2.0,10.0
Stockholm,Sushi,1892.0,3.5,3.0
Geneva,unknown,942.0,4.5,4.0
London,"Fast Food, Soups",7626.0,4.0,29.0
Berlin,unknown,2973.0,4.5,9.0
Oslo,"Seafood, Scandinavian, Norwegian, European",279.0,4.0,62.0
Berlin,unknown,5125.0,4.0,
Amsterdam,"Japanese, Sushi, Grill",2818.0,3.5,17.0
London,unknown,12572.0,4.0,2.0
Milan,Pizza,2569.0,4.0,91.0
Lisbon,"European, Portuguese",3154.0,3.5,4.0
Oslo,Chinese,1135.0,1.0,6.0
Madrid,unknown,4852.0,4.0,8.0
Budapest,"French, Cafe",1434.0,5.0,13.0
Paris,unknown,7902.0,4.0,6.0
London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",551.0,4.0,1239.0
Berlin,unknown,4291.0,4.5,2.0
Edinburgh,"British, Scottish, European, Vegetarian Friendly, Gluten Free Options",372.0,4.5,246.0
Lisbon,"Spanish, European",1196.0,4.0,60.0
Madrid,unknown,2890.0,4.5,78.0
Munich,"Asian, Vietnamese, Vegetarian Friendly, Vegan Options",982.0,4.0,44.0
London,"Italian, Pizza, Vegetarian Friendly, Gluten Free Options",1399.0,4.5,197.0
Munich,"German, Bar, European, Central European, Vegetarian Friendly",119.0,4.0,1136.0
London,unknown,15621.0,3.0,6.0
Madrid,"Bar, Mediterranean, Spanish, Vegetarian Friendly, Gluten Free Options",228.0,4.0,1011.0
Zurich,"Italian, Bar, Cafe, Mediterranean, Pub",934.0,5.0,
London,"Wine Bar, British, Gastropub",3593.0,4.5,61.0
Vienna,Thai,2376.0,3.5,15.0
Ljubljana,"European, Seafood, Mediterranean, Central European",314.0,4.0,18.0
Madrid,unknown,8640.0,3.0,3.0
Munich,"Sushi, Japanese",1307.0,4.0,17.0
Madrid,Spanish,4268.0,4.0,18.0
London,"Indian, Asian, Healthy, Balti, Vegetarian Friendly",10218.0,4.0,58.0
Krakow,"Polish, Bar, European, Eastern European, Central European, Pub",401.0,4.0,91.0
Oporto,unknown,354.0,4.5,49.0
Stockholm,"Barbecue, Turkish, Mediterranean, Grill, Middle Eastern, Halal, Vegetarian Friendly",398.0,4.0,69.0
Brussels,"American, Bar, European, International, Vegetarian Friendly, Vegan Options",222.0,4.0,394.0
Paris,unknown,6244.0,5.0,4.0
London,"Japanese, Sushi, Asian",9926.0,3.5,299.0
London,"Middle Eastern, Cafe, British",5434.0,4.5,67.0
London,"Cafe, Mediterranean, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options",1376.0,4.5,104.0
Ljubljana,unknown,437.0,3.0,14.0
Hamburg,French,2649.0,3.0,12.0
London,"American, Grill, Steakhouse",14065.0,3.0,14.0
Paris,"Italian, Pizza, Mediterranean",5600.0,4.0,87.0
Amsterdam,"Diner, French, European, Vegetarian Friendly, Gluten Free Options",1228.0,3.5,280.0
Zurich,unknown,1084.0,4.5,11.0
Budapest,Pub,2137.0,3.5,2.0
Paris,unknown,13536.0,2.0,8.0
Paris,Seafood,10681.0,4.0,
Amsterdam,"Dutch, European, International, Vegetarian Friendly, Vegan Options",1649.0,3.5,446.0
Budapest,Grill,1972.0,4.5,7.0
London,"European, British, Vegetarian Friendly, Gluten Free Options",2760.0,4.5,93.0
Warsaw,unknown,954.0,4.0,28.0
Krakow,"Indian, Asian, Vegetarian Friendly, Vegan Options",328.0,4.5,37.0
Barcelona,"French, Spanish",3760.0,5.0,5.0
Rome,"Italian, Mediterranean",1942.0,4.0,240.0
Berlin,"Bar, Pub",2817.0,5.0,5.0
Budapest,"Bar, Mediterranean, European, Middle Eastern, Israeli, Vegetarian Friendly, Vegan Options, Gluten Free Options",144.0,4.0,1582.0
London,unknown,8737.0,5.0,4.0
Madrid,unknown,8391.0,2.5,6.0
Oporto,African,778.0,4.0,87.0
Rome,"Mediterranean, European, Vegetarian Friendly, Vegan Options",3119.0,4.0,120.0
Madrid,unknown,4153.0,5.0,
Berlin,unknown,3978.0,4.0,24.0
Barcelona,"Mediterranean, European, Spanish, Pub, Gastropub, Vegetarian Friendly, Vegan Options, Gluten Free Options",1916.0,4.5,38.0
Rome,"Delicatessen, Italian",3568.0,4.5,19.0
London,"French, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",1507.0,4.0,311.0
Milan,unknown,4560.0,4.0,3.0
Paris,French,13369.0,3.0,21.0
Madrid,"Steakhouse, Spanish, Grill",618.0,4.0,316.0
Paris,"Brazilian, Latin",1835.0,4.0,225.0
Oslo,"Japanese, Seafood, Sushi, Asian",152.0,5.0,20.0
Geneva,Italian,546.0,4.0,45.0
Paris,"Japanese, Asian",7381.0,5.0,2.0
Madrid,"Indian, Asian, Bangladeshi",3199.0,5.0,3.0
Vienna,"Austrian, European, Central European",2305.0,3.5,82.0
London,"Sri Lankan, Indian, Asian, Vegetarian Friendly",11075.0,3.5,95.0
London,"Indian, Asian, Bangladeshi, Halal",11468.0,4.0,16.0
London,"Italian, Pizza, Vegetarian Friendly, Vegan Options, Gluten Free Options",4329.0,4.0,248.0
Ljubljana,"European, Wine Bar",146.0,4.5,20.0
Madrid,Italian,8057.0,3.0,14.0
Paris,Chinese,12707.0,3.5,8.0
Munich,unknown,1920.0,4.5,11.0
Paris,Greek,7404.0,4.5,13.0
Geneva,"French, Swiss, International, European",1251.0,3.5,4.0
Paris,French,12231.0,3.0,89.0
London,"Seafood, Fast Food, British",4311.0,4.5,29.0
London,"Italian, Pizza",15038.0,3.5,23.0
Paris,unknown,13167.0,3.0,7.0
Prague,"European, Czech",3215.0,4.0,3.0
Madrid,Spanish,5161.0,4.0,16.0
Rome,"Italian, Pizza, Mediterranean, Vegetarian Friendly, Vegan Options",424.0,4.5,566.0
Stockholm,unknown,1520.0,4.0,8.0
Madrid,"Healthy, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",1768.0,4.0,205.0
Rome,"Italian, Mediterranean",5117.0,4.0,64.0
Paris,"Asian, Thai, Vegetarian Friendly",1812.0,4.0,134.0
London,"Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",206.0,4.5,521.0
Rome,"Brazilian, Latin, Barbecue, South American, Gluten Free Options",1523.0,5.0,32.0
Lisbon,Vegetarian Friendly,2204.0,4.5,15.0
London,Halal,7364.0,4.0,65.0
Paris,French,12644.0,3.0,2.0
Milan,"Italian, Bar, Pub, Vegetarian Friendly",5980.0,3.0,467.0
Barcelona,"European, Fusion, Healthy",4156.0,5.0,2.0
Stockholm,unknown,1395.0,4.0,2.0
Paris,French,5099.0,4.0,37.0
Lisbon,unknown,1381.0,4.5,31.0
Oporto,unknown,1352.0,3.5,4.0
Paris,French,11311.0,4.0,28.0
Vienna,Pizza,3301.0,3.0,3.0
Budapest,"Austrian, European, Hungarian",1620.0,4.0,9.0
Berlin,"German, European, Central European",1369.0,3.5,87.0
Milan,Italian,5435.0,3.5,22.0
Paris,"Asian, Chinese",12352.0,3.0,128.0
Barcelona,unknown,6053.0,3.5,12.0
Madrid,unknown,2331.0,4.5,16.0
London,European,14790.0,3.0,
Madrid,unknown,5918.0,4.0,
Paris,"Japanese, Sushi",9019.0,4.5,2.0
Rome,unknown,5529.0,4.5,10.0
Prague,"Czech, European, Central European",3838.0,3.0,24.0
Lyon,"Latin, Spanish, Argentinean, South American",389.0,4.5,109.0
Paris,"Italian, European",1244.0,4.5,159.0
Madrid,unknown,4461.0,3.5,26.0
Berlin,"Steakhouse, German, Healthy, Vegetarian Friendly, Vegan Options",2275.0,5.0,7.0
Paris,French,6916.0,4.0,23.0
Helsinki,"Asian, Fusion, Vietnamese",413.0,4.5,10.0
Barcelona,"Mediterranean, European, Spanish, Vegetarian Friendly, Vegan Options, Gluten Free Options",269.0,4.0,804.0
London,"Bar, British, Wine Bar, Grill, Vegetarian Friendly",8827.0,3.5,178.0
Warsaw,"Italian, Wine Bar",527.0,4.5,10.0
Paris,French,5215.0,5.0,24.0
London,"Chinese, Asian, Vegetarian Friendly",1869.0,4.0,858.0
Geneva,"Peruvian, South American",1375.0,2.5,7.0
Barcelona,Spanish,5506.0,3.5,17.0
Brussels,"Italian, Mediterranean, European, Vegetarian Friendly",326.0,4.5,146.0
Lisbon,"American, Fast Food, Vegetarian Friendly, Vegan Options",121.0,4.5,353.0
Copenhagen,unknown,1264.0,4.5,4.0
Warsaw,"Polish, Mediterranean, European, Fusion",1466.0,4.5,4.0
Berlin,Delicatessen,4201.0,4.5,3.0
Barcelona,"European, Spanish, Pizza",7158.0,3.5,35.0
Brussels,unknown,2506.0,3.5,3.0
Paris,"French, International, European",2747.0,5.0,28.0
Madrid,unknown,1988.0,4.5,33.0
Amsterdam,unknown,2433.0,4.0,21.0
Edinburgh,"Indian, Fast Food",1441.0,4.0,33.0
Lisbon,"American, Indian, European, Asian, Portuguese, Nepali",1930.0,4.5,6.0
Copenhagen,"Indian, Pizza, Pakistani",1895.0,3.0,8.0
Athens,Greek,874.0,5.0,4.0
Oporto,"Mediterranean, European, Portuguese",173.0,4.0,436.0
Paris,"French, European",1422.0,4.5,205.0
Berlin,unknown,4206.0,4.5,2.0
Barcelona,"Fast Food, American, Vegetarian Friendly, Vegan Options",1335.0,4.0,214.0
Paris,French,13631.0,2.5,52.0
Vienna,unknown,2837.0,4.0,18.0
Rome,"Italian, Bar, Cafe, Fast Food, Mediterranean, European, Pizza, Pub, Vegetarian Friendly, Vegan Options",4677.0,3.5,53.0
Lisbon,unknown,2843.0,4.0,
Paris,Vegetarian Friendly,8811.0,4.5,16.0
Milan,Pizza,6205.0,2.0,8.0
Paris,"French, European",1268.0,4.5,170.0
Munich,Healthy,1803.0,4.5,6.0
Madrid,"Mediterranean, European, Spanish, Asian, Contemporary, Fusion, Vegetarian Friendly, Vegan Options, Gluten Free Options",135.0,4.5,483.0
Copenhagen,unknown,1610.0,3.5,8.0
London,"American, Grill, Bar, European, Pub, Vegetarian Friendly, Vegan Options",2714.0,4.0,269.0
Athens,Japanese,1530.0,5.0,8.0
Madrid,Spanish,2338.0,4.0,57.0
Dublin,"French, European, Vegetarian Friendly, Gluten Free Options, Vegan Options",179.0,4.5,731.0
Dublin,"Irish, Bar, Pub",1779.0,3.5,35.0
Madrid,unknown,7318.0,3.0,
Paris,French,11162.0,3.5,45.0
Milan,"Italian, Mediterranean, Pizza",5760.0,3.0,54.0
Amsterdam,unknown,2283.0,4.5,9.0
London,"Cafe, British, Gluten Free Options, Vegetarian Friendly, Vegan Options",4518.0,4.0,84.0
Prague,"Indian, Fusion",2915.0,4.0,2.0
Prague,"Bar, European, Grill, Gastropub, Czech, Central European, Barbecue, Vegetarian Friendly",694.0,4.5,28.0
Edinburgh,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",103.0,4.5,609.0
London,"Lebanese, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",95.0,4.5,848.0
London,"Pizza, Italian, Vegetarian Friendly, Vegan Options",3932.0,4.0,62.0
Paris,unknown,9429.0,4.5,24.0
Rome,"Italian, Mediterranean, Vegetarian Friendly",1168.0,5.0,40.0
Geneva,"Chinese, Asian, Vegetarian Friendly",158.0,4.0,85.0
London,unknown,9412.0,5.0,
London,"British, Cafe, Vegetarian Friendly, Vegan Options",4396.0,4.5,29.0
Barcelona,"Cafe, Spanish",4801.0,4.0,5.0
Lisbon,"Bar, Pub, Portuguese, European, Spanish",2322.0,4.0,36.0
Barcelona,"Mediterranean, European, Spanish, Vegetarian Friendly",785.0,4.5,136.0
Munich,"German, International",2132.0,4.0,31.0
Barcelona,Spanish,4245.0,5.0,
Barcelona,unknown,3723.0,4.5,11.0
Rome,"Italian, European, Mediterranean, Soups, Vegetarian Friendly, Vegan Options",2477.0,4.5,75.0
Stockholm,unknown,2206.0,3.0,
London,"Lebanese, Fast Food, Middle Eastern, Mediterranean, Halal",14395.0,4.0,15.0
Milan,"Italian, Bar, Cafe, Mediterranean, European, Vegetarian Friendly, Vegan Options",1562.0,3.5,273.0
London,"Bar, British, Pub, Gastropub",5838.0,4.0,75.0
Berlin,unknown,4050.0,4.0,15.0
Prague,"Mediterranean, Greek",1946.0,5.0,
Madrid,"Mediterranean, European, Spanish, Vegetarian Friendly, Vegan Options, Gluten Free Options",597.0,4.0,541.0
Oporto,"European, Portuguese",1082.0,4.0,18.0
Stockholm,unknown,1576.0,3.5,6.0
Paris,Kosher,10483.0,4.0,18.0
Vienna,"Italian, American, Austrian, Pizza, European",1855.0,5.0,
Paris,unknown,12550.0,2.5,6.0
Geneva,"Chinese, Asian, Vegetarian Friendly",244.0,4.0,135.0
Amsterdam,"Asian, Thai, Bar, Pub, Vegetarian Friendly",1019.0,4.5,47.0
Amsterdam,"Barbecue, European, Gluten Free Options",497.0,4.5,120.0
Stockholm,unknown,1783.0,4.0,4.0
Madrid,"Mediterranean, International, Spanish, Fusion",8207.0,3.0,4.0
Vienna,"Italian, Pizza, European, Mediterranean, Vegetarian Friendly",698.0,4.0,107.0
Milan,unknown,5965.0,2.5,2.0
London,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options",1692.0,4.5,200.0
Berlin,German,6122.0,3.0,22.0
Barcelona,unknown,6325.0,3.5,3.0
Munich,Vegetarian Friendly,374.0,4.5,31.0
Barcelona,French,3417.0,3.5,50.0
Oporto,"Bar, Mediterranean, European, Portuguese, Vegetarian Friendly",293.0,4.5,187.0
Milan,"Italian, Mediterranean, Vegetarian Friendly",3283.0,3.5,337.0
Paris,unknown,9223.0,4.0,41.0
Paris,unknown,12574.0,3.0,
Madrid,"Argentinean, South American",3706.0,4.0,34.0
Berlin,German,2287.0,4.5,12.0
London,unknown,10454.0,4.5,2.0
Barcelona,"Bar, Cafe, Fast Food, Delicatessen, Pub",3384.0,5.0,4.0
Oslo,"Contemporary, European, Scandinavian, Norwegian, Vegetarian Friendly, Vegan Options",1.0,4.5,578.0
Hamburg,"Pizza, Mediterranean, Spanish",1001.0,4.5,13.0
Helsinki,"American, Bar, Pub",953.0,3.5,66.0
Madrid,"Bar, Spanish",7873.0,3.5,25.0
Copenhagen,"Bar, European, Pub",502.0,4.5,31.0
Rome,"Italian, Pizza, Vegetarian Friendly, Vegan Options",5330.0,3.5,70.0
Madrid,unknown,4599.0,3.5,32.0
Rome,Italian,4283.0,4.0,30.0
Lisbon,unknown,3027.0,4.0,4.0
Berlin,unknown,2804.0,4.5,19.0
Milan,"Italian, Seafood, Mediterranean, Pizza",2550.0,3.5,162.0
London,"Cafe, Italian, Vegetarian Friendly",6824.0,4.5,17.0
Paris,"European, French, Bar, Cafe",11141.0,3.0,77.0
Dublin,"Japanese, Sushi, Asian, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options",299.0,4.5,164.0
Prague,"Czech, European",1772.0,4.0,20.0
Madrid,Spanish,8741.0,1.0,14.0
Rome,unknown,5178.0,3.5,50.0
Paris,"Lebanese, Mediterranean",7305.0,3.5,73.0
Madrid,"Mediterranean, European, Spanish, Vegetarian Friendly, Vegan Options, Gluten Free Options",223.0,4.5,128.0
London,"American, Bar, British, Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options",512.0,4.5,331.0
London,unknown,12151.0,4.5,4.0
Geneva,"Brazilian, Pizza, European, Portuguese, South American",1341.0,3.0,10.0
Barcelona,"Mexican, Latin, Central American, Vegetarian Friendly, Gluten Free Options",1442.0,3.5,476.0
London,"Italian, Mediterranean, European, Wine Bar, Vegetarian Friendly, Gluten Free Options",1701.0,4.5,137.0
Geneva,"French, European, Vegetarian Friendly",841.0,4.0,88.0
Madrid,unknown,7086.0,3.0,4.0
Paris,"French, Bar, European",6060.0,3.5,140.0
Hamburg,"Sushi, Japanese, Asian",593.0,4.5,40.0
Zurich,unknown,607.0,4.5,22.0
Stockholm,"American, Steakhouse",2062.0,3.0,13.0
Madrid,Spanish,6561.0,3.5,17.0
Athens,unknown,1602.0,4.5,9.0
Paris,Japanese,6231.0,4.0,44.0
Barcelona,"Spanish, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",134.0,4.5,722.0
Rome,International,3780.0,4.5,17.0
Brussels,"Steakhouse, Belgian, Bar, European, Grill, Vegetarian Friendly",284.0,3.5,613.0
Helsinki,"Mexican, Latin, South American, Central American, Vegetarian Friendly",397.0,4.0,60.0
Edinburgh,"Indian, Asian, Bangladeshi",1627.0,3.5,22.0
Vienna,"Austrian, Vegetarian Friendly",175.0,4.5,97.0
London,"Bar, British, Pub",7840.0,4.0,112.0
Lisbon,"Mediterranean, European, Portuguese, Soups",98.0,4.5,3404.0
Rome,"Italian, Vegetarian Friendly",522.0,4.0,4402.0
Lisbon,unknown,2496.0,4.0,4.0
London,unknown,12957.0,3.5,5.0
Madrid,unknown,5019.0,4.0,4.0
Madrid,Spanish,3338.0,4.0,33.0
Athens,"Italian, Mediterranean, Greek",975.0,4.0,31.0
Munich,International,1261.0,4.0,31.0
Prague,"European, Czech, Bar, Pub, Central European",1420.0,4.0,35.0
Madrid,"Italian, Pizza",6361.0,3.5,8.0
Barcelona,Japanese,2729.0,4.0,48.0
London,"Fast Food, Seafood",7820.0,4.5,17.0
Madrid,"Mediterranean, Spanish",2401.0,5.0,8.0
Lyon,"French, Wine Bar",1220.0,4.5,32.0
Berlin,"Japanese, Asian, Sushi, Vegetarian Friendly",2345.0,4.0,91.0
Krakow,"American, Pizza",1056.0,4.0,49.0
Warsaw,unknown,1012.0,4.5,5.0
Lyon,French,2357.0,2.5,7.0
Budapest,Cafe,760.0,4.5,87.0
Warsaw,"European, Thai",1885.0,4.0,8.0
Milan,Chinese,5938.0,2.5,14.0
Paris,"French, European, Contemporary",1869.0,4.5,155.0
Prague,unknown,3701.0,3.0,
Rome,"Italian, Seafood, Mediterranean",1927.0,4.5,36.0
London,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",2150.0,4.5,207.0
London,"Chinese, Asian, Vegetarian Friendly",13175.0,3.5,18.0
Athens,unknown,1767.0,2.5,3.0
Copenhagen,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly",1571.0,3.5,107.0
London,"Italian, Pizza, Vegetarian Friendly, Gluten Free Options, Vegan Options",9574.0,3.5,203.0
Stockholm,"European, Swedish, Scandinavian, Vegetarian Friendly, Vegan Options, Gluten Free Options",1.0,4.5,165.0
Vienna,"German, Austrian, Cafe, European, Central European, Vegetarian Friendly",172.0,4.0,232.0
Madrid,"International, Vegetarian Friendly, Gluten Free Options",1449.0,4.5,36.0
Berlin,Pizza,5302.0,3.5,5.0
London,unknown,9901.0,5.0,4.0
Berlin,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly",451.0,4.0,180.0
Lisbon,"Seafood, European, Portuguese, Gluten Free Options",450.0,4.0,341.0
Barcelona,"Mediterranean, Cafe, International, Spanish, Vegetarian Friendly",1923.0,5.0,27.0
Berlin,"Asian, Korean",1428.0,4.5,21.0
London,"Bar, British, Pub, Vegetarian Friendly, Gluten Free Options",5116.0,3.5,254.0
London,"British, Gluten Free Options, Vegetarian Friendly",1237.0,4.5,276.0
Prague,"European, Czech",4188.0,1.0,
London,unknown,9013.0,5.0,3.0
London,unknown,15183.0,3.0,10.0
Milan,"Brew Pub, Bar, Wine Bar, Gastropub",2469.0,5.0,6.0
Madrid,"Indian, Asian, Thai, Fusion, Vegetarian Friendly, Vegan Options",184.0,4.5,260.0
Helsinki,"European, Scandinavian, Vegetarian Friendly",63.0,4.5,39.0
Berlin,"Mediterranean, Greek, Vegetarian Friendly",334.0,4.5,190.0
Rome,"Italian, Mediterranean, Vegetarian Friendly",951.0,4.0,1064.0
Helsinki,"Mexican, Latin, Vegetarian Friendly, Gluten Free Options",220.0,4.0,67.0
Rome,"Italian, Mediterranean, Vegetarian Friendly",4448.0,3.5,472.0
Ljubljana,"Italian, Pizza, Mediterranean, European, Slovenian, Central European, Vegetarian Friendly",86.0,3.5,320.0
Copenhagen,"African, Ethiopian, Vegetarian Friendly, Vegan Options, Gluten Free Options",263.0,4.5,86.0
Madrid,Pizza,3345.0,4.0,44.0
Prague,"Japanese, Sushi, Asian, Vegetarian Friendly",964.0,4.0,57.0
Barcelona,"Cafe, Spanish",2920.0,4.0,16.0
Hamburg,International,1858.0,4.0,16.0
Dublin,"Italian, European",519.0,4.5,157.0
Milan,"Italian, Pizza, Seafood, Mediterranean, Vegetarian Friendly",1828.0,3.5,214.0
London,"American, Seafood, Gluten Free Options",473.0,4.0,840.0
Prague,Asian,2176.0,4.5,3.0
Rome,"Pub, Gastropub",4594.0,4.5,11.0
Zurich,unknown,1561.0,2.5,4.0
Barcelona,Spanish,6927.0,3.0,
London,"Italian, Pizza, Mediterranean, Vegetarian Friendly",6151.0,4.0,29.0
Rome,Pizza,5322.0,4.0,18.0
Madrid,"Cafe, European, Spanish",6890.0,3.0,42.0
London,"Lebanese, Mediterranean, Middle Eastern",6215.0,5.0,6.0
Warsaw,"Asian, Vietnamese",1907.0,3.0,21.0
Prague,Fast Food,1798.0,4.5,8.0
London,Italian,11891.0,4.0,7.0
Madrid,"Mediterranean, Spanish, Vegetarian Friendly, Vegan Options, Gluten Free Options",250.0,4.0,1049.0
London,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",4156.0,3.5,340.0
Oporto,"Seafood, Mediterranean, European, Portuguese, Vegetarian Friendly",99.0,4.0,1691.0
Warsaw,"Cafe, European, Contemporary, Vegetarian Friendly, Vegan Options",222.0,4.5,59.0
Amsterdam,"Belgian, Dutch, Fast Food, Vegetarian Friendly, Vegan Options",79.0,4.5,1313.0
Munich,"Italian, Mediterranean",2123.0,3.5,39.0
London,"Indian, Asian, Halal",11152.0,3.5,27.0
Prague,"European, Diner, Czech",3738.0,3.0,
Lisbon,"Asian, Tibetan, Nepali",2845.0,4.0,2.0
London,"Seafood, British",8678.0,3.5,154.0
Barcelona,unknown,4094.0,5.0,2.0
Paris,"European, Portuguese",8285.0,5.0,2.0
Paris,"Moroccan, French, European, Middle Eastern",6381.0,4.0,59.0
Rome,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",710.0,4.5,127.0
Paris,"International, Vegetarian Friendly",3615.0,3.5,345.0
Barcelona,unknown,5428.0,4.0,5.0
London,"Indian, Contemporary",11388.0,4.5,3.0
Warsaw,"Italian, European, Mediterranean",1202.0,4.0,29.0
Berlin,"German, European, Central European, Vegetarian Friendly",1790.0,4.0,199.0
Paris,"Spanish, Delicatessen, French, European, Mediterranean",3162.0,4.0,167.0
Madrid,"Mediterranean, Spanish",2955.0,4.0,27.0
Oslo,"Norwegian, Vegetarian Friendly",394.0,4.0,23.0
Berlin,unknown,3052.0,4.5,5.0
Edinburgh,"European, British, Scottish, Vegetarian Friendly, Gluten Free Options",683.0,4.0,253.0
Lisbon,"American, Fast Food, European, Vegetarian Friendly",642.0,4.5,114.0
Paris,"Mediterranean, Greek, Vegetarian Friendly, Vegan Options",75.0,4.5,906.0
Amsterdam,"Bar, American, European, Pub, Vegetarian Friendly",1384.0,4.0,56.0
Berlin,unknown,3483.0,5.0,2.0
Ljubljana,Mediterranean,240.0,4.5,7.0
Barcelona,"European, Mediterranean, Vegetarian Friendly, Vegan Options, Gluten Free Options",675.0,4.0,170.0
Warsaw,unknown,1944.0,3.0,
London,"Caribbean, Jamaican",9609.0,4.0,28.0
Prague,unknown,1825.0,5.0,4.0
Berlin,"Mediterranean, Turkish, Vegetarian Friendly, Vegan Options, Gluten Free Options",2532.0,5.0,6.0
Milan,"Japanese, Brazilian, Sushi, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",145.0,4.0,1778.0
Vienna,unknown,1918.0,5.0,4.0
Madrid,unknown,7309.0,3.0,
London,"British, European, Vegetarian Friendly",4334.0,4.5,32.0
London,British,9162.0,5.0,
Rome,"Italian, Bar, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",2206.0,3.5,841.0
Oslo,"Bar, Pub",1094.0,3.0,25.0
Paris,"French, Seafood, European, Gluten Free Options",1050.0,4.0,376.0
Rome,unknown,5574.0,4.0,15.0
Berlin,unknown,4377.0,4.5,3.0
London,Turkish,12335.0,4.0,
Dublin,"Bar, Pub",522.0,4.5,97.0
Munich,unknown,2213.0,4.0,
Helsinki,"European, Scandinavian, Vegetarian Friendly, Gluten Free Options",79.0,4.0,297.0
Copenhagen,unknown,591.0,4.0,37.0
Barcelona,unknown,5658.0,3.5,3.0
Barcelona,"Japanese, Cafe, Asian, Taiwanese",5039.0,4.5,3.0
Lisbon,Mediterranean,1624.0,4.5,19.0
Barcelona,Mediterranean,3631.0,5.0,5.0
Lyon,unknown,1984.0,4.0,
Milan,"Seafood, Italian, Mediterranean",1376.0,4.0,187.0
Stockholm,Indian,2329.0,2.5,8.0
London,"European, Eastern European, Central European, Hungarian, Vegetarian Friendly, Vegan Options, Gluten Free Options",2853.0,4.0,78.0
Paris,unknown,9535.0,3.5,50.0
Berlin,unknown,6314.0,2.0,4.0
Zurich,"Fast Food, Thai, Vegetarian Friendly",166.0,4.5,162.0
Milan,"Italian, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",436.0,4.0,652.0
Amsterdam,"Bar, Cafe, Pub, Dutch, European, Vegetarian Friendly",1684.0,4.0,66.0
Lyon,unknown,1053.0,5.0,11.0
Paris,unknown,9825.0,4.0,9.0
Lisbon,"Mediterranean, European, Portuguese",1045.0,4.5,62.0
Berlin,unknown,2536.0,4.5,7.0
Geneva,"Italian, European, International, Vegetarian Friendly",167.0,4.5,102.0
Berlin,unknown,4519.0,4.5,3.0
Paris,French,13754.0,2.0,
Barcelona,"Italian, Pizza, European, Mediterranean, Vegetarian Friendly",3903.0,3.5,41.0
Rome,"Italian, Gastropub",5649.0,5.0,3.0
Geneva,unknown,998.0,3.5,28.0
Munich,"German, Soups, Vegetarian Friendly",2347.0,4.0,7.0
London,"Italian, Pizza, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",275.0,4.5,557.0
Lyon,unknown,1088.0,4.0,26.0
Paris,"Asian, Cambodian",4998.0,4.5,34.0
Berlin,unknown,5968.0,3.0,
Zurich,unknown,1112.0,4.0,6.0
Vienna,unknown,1666.0,4.5,8.0
Milan,"Italian, Pizza, Mediterranean, Vegetarian Friendly",1500.0,4.0,205.0
Barcelona,"Mediterranean, European, Spanish, Vegetarian Friendly, Gluten Free Options",639.0,4.5,157.0
Amsterdam,Fast Food,2988.0,3.5,12.0
Rome,"Italian, Fast Food, European, Vegetarian Friendly, Vegan Options",1699.0,4.5,209.0
Paris,"French, Wine Bar",4662.0,4.0,57.0
Madrid,unknown,5472.0,4.5,3.0
