School name,GradeLevelID,Year,Principal's name,School web address,# Students,# Teachers,Average daily attendance,Student mobility,Var,Proficient on state ELA test ,Proficient on state Math test 
Madrona Elementary,ES,2017,Mary A. McDaniel,madronak8.seattleschools.org,234,14,0.941,0.23729, Grade 3 - Last year,0.45455,0.51515
Madrona Elementary,ES,2017,Mary A. McDaniel,madronak8.seattleschools.org,234,14,0.941,0.23729, Grade 3 - Two years ago,0.53333,0.65517
Maple Elementary,ES,2017,Elena V. Sanchez,maplees.seattleschools.org,535,32,0.96371,9.59E-02, Grade 3,0.62626,0.69
Maple Elementary,ES,2017,Elena V. Sanchez,maplees.seattleschools.org,535,32,0.96371,9.59E-02, Grade 3 - Last year,0.54667,0.52632
Maple Elementary,ES,2017,Elena V. Sanchez,maplees.seattleschools.org,535,32,0.96371,9.59E-02, Grade 3 - Two years ago,0.58824,0.68116
Martin Luther King Jr. Elementary,ES,2017,Christopher N. Thomas,kinges.seattleschools.org,277,20,0.94111,0.11111, Grade 3,0.325,0.325
Martin Luther King Jr. Elementary,ES,2017,Christopher N. Thomas,kinges.seattleschools.org,277,20,0.94111,0.11111, Grade 3 - Last year,0.42857,0.51163
Martin Luther King Jr. Elementary,ES,2017,Christopher N. Thomas,kinges.seattleschools.org,277,20,0.94111,0.11111, Grade 3 - Two years ago,0.28571,0.32759
McClure Middle School,MS,2017,Shannon M. Conner,mcclurems.seattleschools.org,540,30,0.9412,8.89E-02, Grade 3,,
McClure Middle School,MS,2017,Shannon M. Conner,mcclurems.seattleschools.org,540,30,0.9412,8.89E-02, Grade 3 - Last year,,
McClure Middle School,MS,2017,Shannon M. Conner,mcclurems.seattleschools.org,540,30,0.9412,8.89E-02, Grade 3 - Two years ago,,
McDonald International Elementary,ES,2017,Michelle H. Goldberg,mcdonaldes.seattleschools.org,464,25,0.96752,1.94E-02, Grade 3,0.86301,0.90411
McDonald International Elementary,ES,2017,Michelle H. Goldberg,mcdonaldes.seattleschools.org,464,25,0.96752,1.94E-02, Grade 3 - Last year,0.8587,0.65217
McDonald International Elementary,ES,2017,Michelle H. Goldberg,mcdonaldes.seattleschools.org,464,25,0.96752,1.94E-02, Grade 3 - Two years ago,0.89744,0.9359
McGilvra Elementary,ES,2017,Maria E. Breuder,mcgilvraes.seattleschools.org,242,14,0.95804,5.37E-02, Grade 3,0.91111,0.8913
McGilvra Elementary,ES,2017,Maria E. Breuder,mcgilvraes.seattleschools.org,242,14,0.95804,5.37E-02, Grade 3 - Last year,0.7907,0.86047
McGilvra Elementary,ES,2017,Maria E. Breuder,mcgilvraes.seattleschools.org,242,14,0.95804,5.37E-02, Grade 3 - Two years ago,0.80435,0.8913
Meany Middle School,MS,2017,Chanda E. Oatis,meanyms.seattleschools.org,492,24,0.92453,0.1833, Grade 3,,
Meany Middle School,MS,2017,Chanda E. Oatis,meanyms.seattleschools.org,492,24,0.92453,0.1833, Grade 3 - Last year,,
Meany Middle School,MS,2017,Chanda E. Oatis,meanyms.seattleschools.org,492,24,0.92453,0.1833, Grade 3 - Two years ago,,
Mercer International Middle School,MS,2017,Christopher E. Carter,mercerms.seattleschools.org,1134,65,0.94353,7.66E-02, Grade 3,,
Mercer International Middle School,MS,2017,Christopher E. Carter,mercerms.seattleschools.org,1134,65,0.94353,7.66E-02, Grade 3 - Last year,,
Mercer International Middle School,MS,2017,Christopher E. Carter,mercerms.seattleschools.org,1134,65,0.94353,7.66E-02, Grade 3 - Two years ago,,
Middle College High School,HS,2017,Elizabeth M. McFarland,middlecollegehs.seattleschools.org,64,10,0.78898,1.17188, Grade 3,,
Middle College High School,HS,2017,Elizabeth M. McFarland,middlecollegehs.seattleschools.org,64,10,0.78898,1.17188, Grade 3 - Last year,,
Middle College High School,HS,2017,Elizabeth M. McFarland,middlecollegehs.seattleschools.org,64,10,0.78898,1.17188, Grade 3 - Two years ago,,
Montlake Elementary,ES,2017,Julia E. Pearson,montlakees.seattleschools.org,269,14,0.95395,5.95E-02, Grade 3,0.7381,0.76744
Montlake Elementary,ES,2017,Julia E. Pearson,montlakees.seattleschools.org,269,14,0.95395,5.95E-02, Grade 3 - Last year,0.68182,0.81818
Montlake Elementary,ES,2017,Julia E. Pearson,montlakees.seattleschools.org,269,14,0.95395,5.95E-02, Grade 3 - Two years ago,0.71111,0.91111
Nathan Hale High School,HS,2017,Jill S. Hudson,halehs.seattleschools.org,1233,68,0.88864,0.11841, Grade 3,,
Nathan Hale High School,HS,2017,Jill S. Hudson,halehs.seattleschools.org,1233,68,0.88864,0.11841, Grade 3 - Last year,,
Nathan Hale High School,HS,2017,Jill S. Hudson,halehs.seattleschools.org,1233,68,0.88864,0.11841, Grade 3 - Two years ago,,
North Beach Elementary,ES,2017,Kristine E. McLane,northbeaches.seattleschools.org,328,18,0.95609,0.11538, Grade 3,0.88333,0.86667
North Beach Elementary,ES,2017,Kristine E. McLane,northbeaches.seattleschools.org,328,18,0.95609,0.11538, Grade 3 - Last year,0.78431,0.82353
North Beach Elementary,ES,2017,Kristine E. McLane,northbeaches.seattleschools.org,328,18,0.95609,0.11538, Grade 3 - Two years ago,0.68085,0.65957
Northgate Elementary,ES,2017,Deirdre G. Fauntleroy,northgatees.seattleschools.org,257,21,0.93953,0.49488, Grade 3,0.45161,0.41935
Northgate Elementary,ES,2017,Deirdre G. Fauntleroy,northgatees.seattleschools.org,257,21,0.93953,0.49488, Grade 3 - Last year,0.40541,0.5
Northgate Elementary,ES,2017,Deirdre G. Fauntleroy,northgatees.seattleschools.org,257,21,0.93953,0.49488, Grade 3 - Two years ago,0.325,0.41026
Nova High School,HS,2017,Mark C. Perry,novahs.seattleschools.org,311,18,0.81068,0.32692, Grade 3,,
Nova High School,HS,2017,Mark C. Perry,novahs.seattleschools.org,311,18,0.81068,0.32692, Grade 3 - Last year,,
Nova High School,HS,2017,Mark C. Perry,novahs.seattleschools.org,311,18,0.81068,0.32692, Grade 3 - Two years ago,,
Olympic Hills Elementary,ES,2017,Elizabeth C. DeBell,olympichillses.seattleschools.org,371,26,0.95714,0.18925, Grade 3,0.51064,0.67347
Olympic Hills Elementary,ES,2017,Elizabeth C. DeBell,olympichillses.seattleschools.org,371,26,0.95714,0.18925, Grade 3 - Last year,0.61194,0.78261
Olympic Hills Elementary,ES,2017,Elizabeth C. DeBell,olympichillses.seattleschools.org,371,26,0.95714,0.18925, Grade 3 - Two years ago,0.77778,0.75556
Olympic View Elementary,ES,2017,Andrew J. Bean,olympicviewes.seattleschools.org,448,25,0.9596,0.14063, Grade 3,0.61628,0.61628
Olympic View Elementary,ES,2017,Andrew J. Bean,olympicviewes.seattleschools.org,448,25,0.9596,0.14063, Grade 3 - Last year,0.49231,0.60938
Olympic View Elementary,ES,2017,Andrew J. Bean,olympicviewes.seattleschools.org,448,25,0.9596,0.14063, Grade 3 - Two years ago,0.68831,0.74026
Orca K-8 School,ES,2017,Tonie M. Talbert,orcak8.seattleschools.org,308,26,0.92043,0.14066, Grade 3,0.56522,0.3913
Orca K-8 School,ES,2017,Tonie M. Talbert,orcak8.seattleschools.org,308,26,0.92043,0.14066, Grade 3 - Last year,0.48,0.48
Orca K-8 School,ES,2017,Tonie M. Talbert,orcak8.seattleschools.org,308,26,0.92043,0.14066, Grade 3 - Two years ago,0.52083,0.625
Orca K-8 School12,MS,2017,Tonie M. Talbert,orcak8.seattleschools.org,91,26,0.92043,0.14066, Grade 3,,
Orca K-8 School12,MS,2017,Tonie M. Talbert,orcak8.seattleschools.org,91,26,0.92043,0.14066, Grade 3 - Last year,,
Orca K-8 School12,MS,2017,Tonie M. Talbert,orcak8.seattleschools.org,91,26,0.92043,0.14066, Grade 3 - Two years ago,,
Pathfinder K-8 School,ES,2017,David Dockendorf,pathfinderk8.seattleschools.org,318,32,0.95625,2.88E-02, Grade 3,0.62,0.7
Pathfinder K-8 School,ES,2017,David Dockendorf,pathfinderk8.seattleschools.org,318,32,0.95625,2.88E-02, Grade 3 - Last year,0.61538,0.55769
Pathfinder K-8 School,ES,2017,David Dockendorf,pathfinderk8.seattleschools.org,318,32,0.95625,2.88E-02, Grade 3 - Two years ago,0.75,0.75
Pathfinder K-8 School13,MS,2017,David Dockendorf,pathfinderk8.seattleschools.org,168,32,0.95625,2.88E-02, Grade 3,,
Pathfinder K-8 School13,MS,2017,David Dockendorf,pathfinderk8.seattleschools.org,168,32,0.95625,2.88E-02, Grade 3 - Last year,,
Pathfinder K-8 School13,MS,2017,David Dockendorf,pathfinderk8.seattleschools.org,168,32,0.95625,2.88E-02, Grade 3 - Two years ago,,
Queen Anne Elementary,ES,2017,Janine B. Roy,www.queenanneelementary.com,352,21,0.9554,7.95E-02, Grade 3,0.78333,0.75
Queen Anne Elementary,ES,2017,Janine B. Roy,www.queenanneelementary.com,352,21,0.9554,7.95E-02, Grade 3 - Last year,0.79167,0.72222
Queen Anne Elementary,ES,2017,Janine B. Roy,www.queenanneelementary.com,352,21,0.9554,7.95E-02, Grade 3 - Two years ago,0.75714,0.71429
Rainier Beach High School,HS,2017,Keith L. Smith,rainierbeachhs.seattleschools.org,754,43,0.84774,0.24069, Grade 3,,
Rainier Beach High School,HS,2017,Keith L. Smith,rainierbeachhs.seattleschools.org,754,43,0.84774,0.24069, Grade 3 - Last year,,
Rainier Beach High School,HS,2017,Keith L. Smith,rainierbeachhs.seattleschools.org,754,43,0.84774,0.24069, Grade 3 - Two years ago,,
Rainier View Elementary,ES,2017,Anitra L. Jones,rainierviewes.seattleschools.org,241,15,0.94216,0.20332, Grade 3,0.41026,0.58974
Rainier View Elementary,ES,2017,Anitra L. Jones,rainierviewes.seattleschools.org,241,15,0.94216,0.20332, Grade 3 - Last year,0.67742,0.83333
Rainier View Elementary,ES,2017,Anitra L. Jones,rainierviewes.seattleschools.org,241,15,0.94216,0.20332, Grade 3 - Two years ago,0.48649,0.63158
Roosevelt High School,HS,2017,Kristina A. Rodgers,roosevelths.seattleschools.org,1876,86,0.92266,7.73E-02, Grade 3,,
Roosevelt High School,HS,2017,Kristina A. Rodgers,roosevelths.seattleschools.org,1876,86,0.92266,7.73E-02, Grade 3 - Last year,,
Roosevelt High School,HS,2017,Kristina A. Rodgers,roosevelths.seattleschools.org,1876,86,0.92266,7.73E-02, Grade 3 - Two years ago,,
Roxhill Elementary,ES,2017,Tarra S. Patrick,roxhilles.seattleschools.org,271,21,0.92908,0.21407, Grade 3,0.43137,0.39216
Roxhill Elementary,ES,2017,Tarra S. Patrick,roxhilles.seattleschools.org,271,21,0.92908,0.21407, Grade 3 - Last year,0.38776,0.46
Roxhill Elementary,ES,2017,Tarra S. Patrick,roxhilles.seattleschools.org,271,21,0.92908,0.21407, Grade 3 - Two years ago,0.39583,0.61224
Sacajawea Elementary,ES,2017,Rachel L. Friesen,sacajaweaes.seattleschools.org,234,18,0.95669,0.22353, Grade 3,0.5,0.54545
Sacajawea Elementary,ES,2017,Rachel L. Friesen,sacajaweaes.seattleschools.org,234,18,0.95669,0.22353, Grade 3 - Last year,0.59375,0.5625
Sacajawea Elementary,ES,2017,Rachel L. Friesen,sacajaweaes.seattleschools.org,234,18,0.95669,0.22353, Grade 3 - Two years ago,0.48485,0.60606
Salmon Bay K-8 School,ES,2017,Neil T. Gerrans,www.salmonbayschool.org,310,38,0.95021,3.64E-02, Grade 3,0.76471,0.76471
Salmon Bay K-8 School,ES,2017,Neil T. Gerrans,www.salmonbayschool.org,310,38,0.95021,3.64E-02, Grade 3 - Last year,0.67347,0.72
Salmon Bay K-8 School,ES,2017,Neil T. Gerrans,www.salmonbayschool.org,310,38,0.95021,3.64E-02, Grade 3 - Two years ago,0.71698,0.69811
Salmon Bay K-8 School14,MS,2017,Neil T. Gerrans,www.salmonbayschool.org,349,38,0.95021,3.64E-02, Grade 3,,
Salmon Bay K-8 School14,MS,2017,Neil T. Gerrans,www.salmonbayschool.org,349,38,0.95021,3.64E-02, Grade 3 - Last year,,
Salmon Bay K-8 School14,MS,2017,Neil T. Gerrans,www.salmonbayschool.org,349,38,0.95021,3.64E-02, Grade 3 - Two years ago,,
Sand Point Elementary,ES,2017,Kristen E. Roberts,sandpointes.seattleschools.org,203,12,0.96062,0.18519, Grade 3,0.48148,0.57143
Sand Point Elementary,ES,2017,Kristen E. Roberts,sandpointes.seattleschools.org,203,12,0.96062,0.18519, Grade 3 - Last year,0.55882,0.63158
Sand Point Elementary,ES,2017,Kristen E. Roberts,sandpointes.seattleschools.org,203,12,0.96062,0.18519, Grade 3 - Two years ago,0.79545,0.72727
Sanislo Elementary,ES,2017,Erika J. Ayer,sanisloes.seattleschools.org,236,16,0.93881,0.13136, Grade 3,0.30769,0.48718
Sanislo Elementary,ES,2017,Erika J. Ayer,sanisloes.seattleschools.org,236,16,0.93881,0.13136, Grade 3 - Last year,0.1875,0.25
Sanislo Elementary,ES,2017,Erika J. Ayer,sanisloes.seattleschools.org,236,16,0.93881,0.13136, Grade 3 - Two years ago,0.34694,0.31915
Seattle World School,HS,2017,Oksana A. Britsova,sws.seattleschools.org,229,22,0.83196,0.86957, Grade 3,,
Seattle World School,HS,2017,Oksana A. Britsova,sws.seattleschools.org,229,22,0.83196,0.86957, Grade 3 - Last year,,
Seattle World School,HS,2017,Oksana A. Britsova,sws.seattleschools.org,229,22,0.83196,0.86957, Grade 3 - Two years ago,,
Seattle World School15,MS,2017,Oksana A. Britsova,sws.seattleschools.org,45,22,0.83196,0.86957, Grade 3,,
Seattle World School15,MS,2017,Oksana A. Britsova,sws.seattleschools.org,45,22,0.83196,0.86957, Grade 3 - Last year,,
Seattle World School15,MS,2017,Oksana A. Britsova,sws.seattleschools.org,45,22,0.83196,0.86957, Grade 3 - Two years ago,,
South Lake High School,HS,2017,Laura Davis Brown,southlakehs.seattleschools.org,62,8,0.59355,1.36066, Grade 3,,
South Lake High School,HS,2017,Laura Davis Brown,southlakehs.seattleschools.org,62,8,0.59355,1.36066, Grade 3 - Last year,,
South Lake High School,HS,2017,Laura Davis Brown,southlakehs.seattleschools.org,62,8,0.59355,1.36066, Grade 3 - Two years ago,,
South Shore PK-8 School,ES,2017,Justin B. Hendrickson,southshorek8.seattleschools.org,314,40,0.94821,0.12263, Grade 3,0.52083,0.6875
South Shore PK-8 School,ES,2017,Justin B. Hendrickson,southshorek8.seattleschools.org,314,40,0.94821,0.12263, Grade 3 - Last year,0.44615,0.64615
South Shore PK-8 School,ES,2017,Justin B. Hendrickson,southshorek8.seattleschools.org,314,40,0.94821,0.12263, Grade 3 - Two years ago,0.38596,0.40351
South Shore PK-8 School16,MS,2017,Justin B. Hendrickson,southshorek8.seattleschools.org,206,40,0.94821,0.12263, Grade 3,,
South Shore PK-8 School16,MS,2017,Justin B. Hendrickson,southshorek8.seattleschools.org,206,40,0.94821,0.12263, Grade 3 - Last year,,
South Shore PK-8 School16,MS,2017,Justin B. Hendrickson,southshorek8.seattleschools.org,206,40,0.94821,0.12263, Grade 3 - Two years ago,,
Stephen Decatur Elementary,ES,2017,Rina E. Geoghagan,decatur.seattleschools.org,242,12,0.97218,1.65E-02, Grade 3,0.98113,0.98113
Stephen Decatur Elementary,ES,2017,Rina E. Geoghagan,decatur.seattleschools.org,242,12,0.97218,1.65E-02, Grade 3 - Last year,,
Stephen Decatur Elementary,ES,2017,Rina E. Geoghagan,decatur.seattleschools.org,242,12,0.97218,1.65E-02, Grade 3 - Two years ago,,
Stevens Elementary,ES,2017,Brian K. Fitch,stevenses.seattleschools.org,287,16,0.94959,0.12195, Grade 3,0.68571,0.85714
Stevens Elementary,ES,2017,Brian K. Fitch,stevenses.seattleschools.org,287,16,0.94959,0.12195, Grade 3 - Last year,0.63889,0.69444
Stevens Elementary,ES,2017,Brian K. Fitch,stevenses.seattleschools.org,287,16,0.94959,0.12195, Grade 3 - Two years ago,0.61667,0.65
TOPS K-8 School,ES,2017,Amy L. Schwentor,www.topsk8.org,313,26,0.94648,7.43E-02, Grade 3,0.66667,0.58824
TOPS K-8 School,ES,2017,Amy L. Schwentor,www.topsk8.org,313,26,0.94648,7.43E-02, Grade 3 - Last year,0.57778,0.64444
TOPS K-8 School,ES,2017,Amy L. Schwentor,www.topsk8.org,313,26,0.94648,7.43E-02, Grade 3 - Two years ago,0.65385,0.67308
TOPS K-8 School17,MS,2017,Amy L. Schwentor,www.topsk8.org,156,26,0.94648,7.43E-02, Grade 3,,
TOPS K-8 School17,MS,2017,Amy L. Schwentor,www.topsk8.org,156,26,0.94648,7.43E-02, Grade 3 - Last year,,
TOPS K-8 School17,MS,2017,Amy L. Schwentor,www.topsk8.org,156,26,0.94648,7.43E-02, Grade 3 - Two years ago,,
The Center School,HS,2017,Barbara L. Casey,centerhs.seattleschools.org,242,15,0.88646,0.15702, Grade 3,,
The Center School,HS,2017,Barbara L. Casey,centerhs.seattleschools.org,242,15,0.88646,0.15702, Grade 3 - Last year,,
The Center School,HS,2017,Barbara L. Casey,centerhs.seattleschools.org,242,15,0.88646,0.15702, Grade 3 - Two years ago,,
Thornton Creek Elementary,ES,2017,Jonathan E. Gasbar,thorntoncreekschool.org,519,30,0.95596,6.06E-02, Grade 3,0.72973,0.78378
Thornton Creek Elementary,ES,2017,Jonathan E. Gasbar,thorntoncreekschool.org,519,30,0.95596,6.06E-02, Grade 3 - Last year,0.27397,0.27397
Thornton Creek Elementary,ES,2017,Jonathan E. Gasbar,thorntoncreekschool.org,519,30,0.95596,6.06E-02, Grade 3 - Two years ago,0.32692,0.34615
Thurgood Marshall Elementary,ES,2017,Katherine J. May,marshalles.seattleschools.org,565,28,0.96222,0.11693, Grade 3,0.75,0.80357
Thurgood Marshall Elementary,ES,2017,Katherine J. May,marshalles.seattleschools.org,565,28,0.96222,0.11693, Grade 3 - Last year,0.73684,0.72632
Thurgood Marshall Elementary,ES,2017,Katherine J. May,marshalles.seattleschools.org,565,28,0.96222,0.11693, Grade 3 - Two years ago,0.82524,0.8835
Van Asselt Elementary,ES,2017,Monique E. Manuel,vanasseltes.seattleschools.org,417,30,0.94369,0.19818, Grade 3,0.2716,0.32099
Van Asselt Elementary,ES,2017,Monique E. Manuel,vanasseltes.seattleschools.org,417,30,0.94369,0.19818, Grade 3 - Last year,0.32877,0.51351
Van Asselt Elementary,ES,2017,Monique E. Manuel,vanasseltes.seattleschools.org,417,30,0.94369,0.19818, Grade 3 - Two years ago,0.53012,0.80723
View Ridge Elementary,ES,2017,Edward J. Roos,viewridgees.seattleschools.org,551,27,0.96592,5.27E-02, Grade 3,0.76087,0.72826
View Ridge Elementary,ES,2017,Edward J. Roos,viewridgees.seattleschools.org,551,27,0.96592,5.27E-02, Grade 3 - Last year,0.80769,0.77358
View Ridge Elementary,ES,2017,Edward J. Roos,viewridgees.seattleschools.org,551,27,0.96592,5.27E-02, Grade 3 - Two years ago,0.83158,0.82105
Viewlands Elementary,ES,2017,Amy J. Klainer,viewlandses.seattleschools.org,401,25,0.95306,0.1274, Grade 3,0.67273,0.52727
Viewlands Elementary,ES,2017,Amy J. Klainer,viewlandses.seattleschools.org,401,25,0.95306,0.1274, Grade 3 - Last year,0.39344,0.57377
Viewlands Elementary,ES,2017,Amy J. Klainer,viewlandses.seattleschools.org,401,25,0.95306,0.1274, Grade 3 - Two years ago,0.5,0.53623
Washington Middle School,MS,2017,Susan G Follmer,washingtonms.seattleschools.org,712,41,0.94052,6.88E-02, Grade 3,,
Washington Middle School,MS,2017,Susan G Follmer,washingtonms.seattleschools.org,712,41,0.94052,6.88E-02, Grade 3 - Last year,,
Washington Middle School,MS,2017,Susan G Follmer,washingtonms.seattleschools.org,712,41,0.94052,6.88E-02, Grade 3 - Two years ago,,
Wedgwood Elementary,ES,2017,Stephen W. Liu,wedgwoodes.seattleschools.org,485,24,0.96565,7.01E-02, Grade 3,0.82278,0.78205
Wedgwood Elementary,ES,2017,Stephen W. Liu,wedgwoodes.seattleschools.org,485,24,0.96565,7.01E-02, Grade 3 - Last year,0.82609,0.88043
Wedgwood Elementary,ES,2017,Stephen W. Liu,wedgwoodes.seattleschools.org,485,24,0.96565,7.01E-02, Grade 3 - Two years ago,0.84615,0.89744
West Seattle Elementary,ES,2017,Pamela K. McCowan-Conyers,westseattlees.seattleschools.org,432,27,0.94643,0.2069, Grade 3,0.61538,0.69231
West Seattle Elementary,ES,2017,Pamela K. McCowan-Conyers,westseattlees.seattleschools.org,432,27,0.94643,0.2069, Grade 3 - Last year,0.5,0.60526
West Seattle Elementary,ES,2017,Pamela K. McCowan-Conyers,westseattlees.seattleschools.org,432,27,0.94643,0.2069, Grade 3 - Two years ago,0.58065,0.59677
West Seattle High School,HS,2017,Brian D. Vance,westseattlehs.seattleschools.org,1055,53,0.89569,0.12133, Grade 3,,
West Seattle High School,HS,2017,Brian D. Vance,westseattlehs.seattleschools.org,1055,53,0.89569,0.12133, Grade 3 - Last year,,
West Seattle High School,HS,2017,Brian D. Vance,westseattlehs.seattleschools.org,1055,53,0.89569,0.12133, Grade 3 - Two years ago,,
West Woodland Elementary,ES,2017,Farah G. Thaxton,www.westwoodland.org,566,30,0.96604,5.83E-02, Grade 3,0.82178,0.71287
West Woodland Elementary,ES,2017,Farah G. Thaxton,www.westwoodland.org,566,30,0.96604,5.83E-02, Grade 3 - Last year,0.79487,0.73077
West Woodland Elementary,ES,2017,Farah G. Thaxton,www.westwoodland.org,566,30,0.96604,5.83E-02, Grade 3 - Two years ago,0.90217,0.88043
Whitman Middle School,MS,2017,Christina R. Posten,whitmanms.seattleschools.org,566,33,0.94621,7.77E-02, Grade 3,,
Whitman Middle School,MS,2017,Christina R. Posten,whitmanms.seattleschools.org,566,33,0.94621,7.77E-02, Grade 3 - Last year,,
Whitman Middle School,MS,2017,Christina R. Posten,whitmanms.seattleschools.org,566,33,0.94621,7.77E-02, Grade 3 - Two years ago,,
Whittier Elementary,ES,2017,Susan K. Clark,whittieres.seattleschools.org,494,23,0.96683,5.86E-02, Grade 3,0.67123,0.65753
Whittier Elementary,ES,2017,Susan K. Clark,whittieres.seattleschools.org,494,23,0.96683,5.86E-02, Grade 3 - Last year,0.59677,0.7377
Whittier Elementary,ES,2017,Susan K. Clark,whittieres.seattleschools.org,494,23,0.96683,5.86E-02, Grade 3 - Two years ago,0.75904,0.68675
Wing Luke Elementary,ES,2017,Carol D. Mendoza,lukees.seattleschools.org,337,21,0.94598,0.10979, Grade 3,0.45833,0.45833
Wing Luke Elementary,ES,2017,Carol D. Mendoza,lukees.seattleschools.org,337,21,0.94598,0.10979, Grade 3 - Last year,0.5,0.62712
Wing Luke Elementary,ES,2017,Carol D. Mendoza,lukees.seattleschools.org,337,21,0.94598,0.10979, Grade 3 - Two years ago,0.48148,0.62963
