original_title,title_length,production_companies
Transformers: Revenge of the Fallen,35,"Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes"
The Men Who Stare at Goats,26,"BBC Films, Smoke House"
Ninja Assassin,14,"Studio Babelsberg, Anarchos Productions, Legendary Pictures, Dark Castle Entertainment, Silver Pictures"
Bandslam,8,"Summit Entertainment, Goldsmith-Thomas Productions, Walden Media"
It's Complicated,16,"Universal Pictures, Scott Rudin Productions, Waverly Films, Dentsu, Relativity Media"
Land of the Lost,16,"Universal Pictures, Mosaic Media Group, Relativity Media, Sid & Marty Krofft Pictures"
Invictus,8,"Spyglass Entertainment, Malpaso Productions, Revelations Entertainment, Mace Neufeld Productions, Warner Bros."
Planet 51,9,"TriStar Pictures, Ilion Animation Studios, Hand Made Films"
Year One,8,"Columbia Pictures, Ocean Pictures, Apatow Productions"
My Bloody Valentine,19,Lionsgate
Old Dogs,8,"Walt Disney Pictures, Tapestry Films"
Agora,5,"HimenÃ³ptero, Telecinco Cinema, Mod Producciones, Nimar Studios, Canal+ EspaÃ±a"
The Boondock Saints II: All Saints Day,38,"Chris Brinker Productions, Stage 6 Films"
The Bad Lieutenant: Port of Call - New Orleans,46,"Saturn Films, Nu Image Films, Edward R. Pressman Film, Millennium Films, Polsky Films"
Armored,7,"Screen Gems, Stars Road Entertainment, Farah Films & Management, Buckaroo Entertainment"
Cirque du Freak: The Vampire's Assistant,40,Universal Pictures
An Education,12,BBC Films
Funny People,12,"Columbia Pictures, Universal Pictures, Happy Madison Productions, Relativity Media, Apatow Productions"
Up in the Air,13,Paramount Pictures
Astro Boy,9,"The Weinstein Company, Summit Entertainment, Tezuka Production Company Ltd., Imagi Animation Studios"
The International,17,"Studio Babelsberg, Atlas Entertainment, Mosaic Media Group, X-Filme Creative Pool"
Fast & Furious,14,"Universal Pictures, Original Film, One Race Productions, Dentsu Inc., Relativity Media"
Capitalism: A Love Story,24,"The Weinstein Company, Paramount Vantage"
Halloween II,12,"Dimension Films, Spectacle Entertainment Group, Trancas International Films"
Hannah Montana: The Movie,25,"Walt Disney Pictures, It's a Laugh Productions, Millar Gough Ink"
Aliens in the Attic,19,"Twentieth Century Fox Film Corporation, Regency Enterprises, Josephson Entertainment, New Upstairs Productions, Upstairs Canada Productions"
The Fourth Kind,15,"Universal Pictures, Saga Film, Focus Films, Gold Circle Films, Chambara Pictures"
Solitary Man,12,"Smartest Man Productions, Millennium Films, Paul Schiff Productions"
Duplicity,9,"Universal Pictures, Laura Bickford Productions, Relativity Media, Medienproduktion Poseidon Filmgesellschaft"
Bright Star,11,"BBC Films, PathÃ© Renn Productions, UK Film Council, Screen Australia, Australian Film Finance Corporation (AFFC)"
Adventureland,13,"Miramax Films, Sidney Kimmel Entertainment, This Is That Productions"
Extract,7,Miramax Films
My Life in Ruins,16,"Fox Searchlight Pictures, 26 Films"
My Sister's Keeper,18,"Mark Johnson Productions, Gran Via Productions, Curmudgeon Films"
The Soloist,11,DreamWorks
Friday the 13th,15,New Line Cinema
Harry Brown,11,"HanWay Films, UK Film Council, Marv Films"
Surrogates,10,"Touchstone Pictures, Mandeville Films, Wintergreen Productions, Top Shelf Productions"
Street Fighter: The Legend of Chun-Li,37,"Twentieth Century Fox Film Corporation, Hyde Park Films"
Hotel for Dogs,14,"DreamWorks SKG, Nickelodeon Movies"
Obsessed,8,Sony Pictures
Solomon Kane,12,"Davis-Films, Czech Anglo Productions, Wandering Star Pictures"
X-Men Origins: Wolverine,24,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Donners' Company, Dune Entertainment, Seed Productions"
New in Town,11,"Lionsgate, Edmonds Entertainment Group (EEG), Epidemic Pictures, The Safran Company, Gold Circle Films"
Me and Orson Welles,19,"Isle of Man Film, Freestyle Releasing, CinemaNX"
Shorts,6,Warner Bros. Pictures
Sorority Row,12,"Summit Entertainment, Karz Entertainment"
The Joneses,11,"Echo Lake Productions, Premiere Picture"
Post Grad,9,"Dune Entertainment, Cold Spring Pictures, The Montecito Picture Company, Fox Atomic"
Crazy Heart,11,"Fox Searchlight Pictures, Butcher's Run Films, Informant Media"
Did You Hear About The Morgans?,31,"Columbia Pictures, Castle Rock Entertainment, Relativity Media, Banter"
The Grudge 3,12,"Ghost House Pictures, Ozla Pictures, Stage 6 Films"
Mao's Last Dancer,17,Great Scott Productions Pty. Ltd.
Inception,9,"Legendary Pictures, Warner Bros., Syncopy"
Iron Man 2,10,Marvel Studios
Alice in Wonderland,19,"Walt Disney Pictures, Team Todd, Tim Burton Productions, Roth Films, Zanuck Company, The"
Black Swan,10,"Fox Searchlight Pictures, Dune Entertainment, Protozoa Pictures, Cross Creek Pictures"
Harry Potter and the Deathly Hallows: Part 1,44,"Warner Bros., Heyday Films"
Despicable Me,13,"Universal Pictures, Illumination Entertainment"
The Expendables,15,Millennium Films
How to Train Your Dragon,24,"DreamWorks Animation, Vertigo Entertainment, Mad Hatter Entertainment"
Shutter Island,14,"Paramount Pictures, Appian Way, Phoenix Pictures, Sikelia Productions"
TRON: Legacy,12,"Walt Disney Pictures, LivePlanet, Prana Studios, Sean Bailey Productions, Revolution Sun Studios"
Tangled,7,"Walt Disney Pictures, Walt Disney Animation Studios"
Toy Story 3,11,"Walt Disney Pictures, Pixar Animation Studios"
Salt,4,"Columbia Pictures, Di Bonaventura Pictures, Relativity Media, Wintergreen Productions"
127 Hours,9,"Fox Searchlight Pictures, Dune Entertainment, Darlow Smithson Productions, Warner Bros., Cloud Eight Films"
Easy A,6,"Screen Gems, Olive Bridge Entertainment"
The Chronicles of Narnia: The Voyage of the Dawn Treader,56,"Dune Entertainment, Fox 2000 Pictures, Walden Media"
Kick-Ass,8,Lions Gate
The Tourist,11,"Spyglass Entertainment, Peninsula Films, StudioCanal, GK Films, Italian Tax Credit"
Prince of Persia: The Sands of Time,35,"Walt Disney Pictures, Jerry Bruckheimer Films"
Robin Hood,10,"Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media"
True Grit,9,"Paramount Pictures, Scott Rudin Productions, Mike Zoss Productions, Skydance Productions"
Clash of the Titans,19,"The Zanuck Company, Legendary Pictures, Thunder Road Pictures, Warner Bros., Moving Picture Company (MPC)"
The Sorcerer's Apprentice,25,"Walt Disney Pictures, Jerry Bruckheimer Films, Saturn Films, Broken Road Productions, Junction Entertainment"
The Social Network,18,"Columbia Pictures, Scott Rudin Productions, Relativity Media"
Scott Pilgrim vs. the World,27,"Universal Pictures, Marc Platt Productions"
Little Fockers,14,"Paramount Pictures, Universal Pictures, Everyman Pictures, Relativity Media, Dreamworks Pictures"
Predators,9,"Twentieth Century Fox Film Corporation, Davis Entertainment, Dune Entertainment III, Troublemaker Studios"
Percy Jackson & the Olympians: The Lightning Thief,50,"Ingenious Film Partners, 1492 Pictures, Dune Entertainment, Fox 2000 Pictures, Sunswept Entertainment"
Unstoppable,11,"Twentieth Century Fox Film Corporation, Scott Free Productions, Firm Films, Prospect Park, Millbrook Farm Productions"
Shrek Forever After,19,DreamWorks Animation
Dear John,9,Screen Gems
The A-Team,10,20th Century Fox
RED,3,"DC Comics, Di Bonaventura Pictures, Summit Entertainment, DC Entertainment"
Machete,7,"Dune Entertainment, Dune Entertainment III, Troublemaker Studios, Overnight Films"
Grown Ups,9,"Columbia Pictures, Happy Madison Productions, Relativity Media"
The Book of Eli,15,"Alcon Entertainment, Silver Pictures"
Date Night,10,"Twentieth Century Fox Film Corporation, Dune Entertainment, 21 Laps Entertainment"
The Town,8,"Legendary Pictures, GK Films, Thunder Road Pictures, Warner Bros."
The Twilight Saga: Eclipse,26,"Summit Entertainment, Maverick Films, Imprint Entertainment, Sunswept Entertainment, Temple Hill Entertainment"
Megamind,8,DreamWorks Animation
The Last Airbender,18,"Paramount Pictures, Nickelodeon Movies, Kennedy/Marshall Company, The, Industrial Light & Magic (ILM), Blinding Edge Pictures"
The Other Guys,14,"Columbia Pictures, Gary Sanchez Productions"
Step Up 3D,10,"Summit Entertainment, Touchstone Pictures"
The King's Speech,17,"The Weinstein Company, UK Film Council, Bedlam Productions, See-Saw Films, Aegis Film Fund"
Love & Other Drugs,18,"Bedford Falls Productions, Dune Entertainment, Regency Enterprises, Fox 2000 Pictures, Stuber Productions"
The Way Back,12,"Polish Film Institute, Imagenation Abu Dhabi FZ, Exclusive Films, Monolith Films, On the Road"
Repo Men,8,"Universal Pictures, Stuber Productions, Dentsu, Relativity Media"
Knight and Day,14,"Tree Line Films, Twentieth Century Fox Film Corporation, Dune Entertainment, Regency Enterprises, Pink Machine"
Eat Pray Love,13,"Columbia Pictures, Red Om Films, Plan B Entertainment"
The Bounty Hunter,17,"Columbia Pictures, Original Film, Relativity Media, Madhouse Entertainment"
Leap Year,9,"Universal Pictures, Spyglass Entertainment, Octagon Films, BenderSpink, Birnbaum/Barber"
Green Zone,10,"Universal Pictures, StudioCanal, Dentsu, Relativity Media, Working Title Films"
Gulliver's Travels,18,"Twentieth Century Fox Film Corporation, Dune Entertainment, Davis Entertainment, Dune Entertainment III"
The Back-Up Plan,16,"Escape Artists, CBS Films"
Charlie St. Cloud,17,"Universal Pictures, Marc Platt Productions, Relativity Media"
The Switch,10,"Mandate Pictures, Bona Fide Productions, Echo Films"
The Runaways,12,"River Road Entertainment, Road Rebel, Linson Entertainment"
Valentine's Day,15,"New Line Cinema, Karz Entertainment, Rice Films"
Don't Be Afraid of the Dark,27,"Miramax Films, Gran Via Productions, FilmDistrict, Necropia, Tequila Gang"
Saw 3D,6,"Lionsgate, Twisted Pictures, Serendipity Productions"
The Karate Kid,14,"Columbia Pictures, Jerry Weintraub Productions, China Film Group, Overbrook Entertainment"
Due Date,8,"Legendary Pictures, Green Hat Films, Warner Bros."
Wild Target,11,"Matador Pictures, Isle of Man Film, Magic Light Pictures, CinemaNX, Cinema Four"
The Ghost Writer,16,"Studio Babelsberg, Runteam Ltd., R.P. Productions, France 2 CinÃ©ma"
The Next Three Days,19,"Lionsgate, FidÃ©litÃ© Films, Hwy61"
A Nightmare on Elm Street,25,"New Line Cinema, Platinum Dunes"
The Fighter,11,Paramount Pictures
Get Him to the Greek,20,"Universal Pictures, Spyglass Entertainment, Relativity Media, Apatow Productions"
Jonah Hex,9,Warner Bros.
Vampires Suck,13,"20th Century Fox, Regency Enterprises"
Killers,7,"Katalyst Films, Lionsgate, Aversano Films"
Legion,6,Bold Films
Sex and the City 2,18,"New Line Cinema, Village Roadshow Pictures, Home Box Office (HBO), HBO Films"
You Again,9,"Oops Doughnuts Productions, Touchstone Pictures, Frontier Pictures"
Nanny McPhee and the Big Bang,29,"Universal Pictures, Three Strange Angels, Studio Canal, Relativity Media, Working Title Films"
Hot Tub Time Machine,20,"United Artists, Metro-Goldwyn-Mayer (MGM), New Crime Productions"
Let Me In,9,"Hammer Film Productions, EFTI, Exclusive Media Group, Overture Films"
Legend of the Guardians: The Owls of Ga'Hoole,45,"Village Roadshow Pictures, Warner Bros., Animal Logic, Cruel and Unusual Films"
Takers,6,Rainforest Films
Burlesque,9,Bedford Falls Productions
The Company Men,15,"Spring Creek Productions, Battle Mountain Films"
Going the Distance,18,"New Line Cinema, Offspring Entertainment"
Never Let Me Go,15,"Fox Searchlight Pictures, DNA Films, Film4"
Cop Out,7,Warner Bros.
Life as We Know It,18,"Josephson Entertainment, Gold Circle Films, Village Roadshow Pictures Asia"
Centurion,9,"PathÃ© Pictures International, UK Film Council, Celador Films, Canal+, Warner Bros."
Stone,5,"Stone Productions, Mimran Schur Pictures"
Diary of a Wimpy Kid,20,Color Force
Piranha 3D,10,"The Weinstein Company, Atmosphere Entertainment MM, Chako Film Company, Dimension Films, Intellectual Properties Worldwide"
Morning Glory,13,"Bad Robot, Goldcrest Pictures"
Conviction,10,"Oceana Media Finance, Pantheon Entertainment Corporation, Innocence Productions, Prescience, Omega Entertainment"
Tooth Fairy,11,"Dune Entertainment, Dune Entertainment III, Twentieth Century Fox, Walden Media, Mayhem Pictures"
Fair Game,9,"River Road Entertainment, Participant Media"
Dinner for Schmucks,19,"Paramount Pictures, DreamWorks SKG, Spyglass Entertainment, Everyman Pictures, Reliance BIG Entertainment"
Skyline,7,"Rogue Pictures, Relativity Media, Hydraulx, Rat Entertainment, Transmission Pictures"
The Debt,8,"Miramax Films, Marv Films, Pioneer Pictures"
Cats & Dogs 2 : The Revenge of Kitty Galore,43,Village Roadshow Pictures
MacGruber,9,Relativity Media
How Do You Know,15,"Columbia Pictures, Gracie Films, Road Rebel"
The Spy Next Door,17,"Robert Simonds Productions, Relativity Media, Spy Next Door"
She's Out of My League,22,"DreamWorks SKG, Mosaic"
London Boulevard,16,"GK Films, Henceforth, Projection Pictures, London Boulevard"
Hereafter,9,"Amblin Entertainment, Malpaso Productions, Warner Bros., Kennedy/Marshall Company, The"
My Soul to Take,15,"Relativity Media, Rogue"
The Conspirator,15,"Wildwood Enterprises, American Film Company"
Death at a Funeral,18,"Parabolic Pictures, Screen Gems"
Marmaduke,9,Twentieth Century Fox Film Corporation
Wall Street: Money Never Sleeps,31,"Twentieth Century Fox Film Corporation, Dune Entertainment, Dune Entertainment III, Edward R. Pressman Film"
Everything Must Go,18,"Birdsong Pictures, IM Global"
The Crazies,11,"Penn Station Entertainment, Participant Media, Imagenation Abu Dhabi FZ, Overture Films"
Alpha and Omega,15,"Lions Gate Family Entertainment, Relativity Media, Crest Animation Productions"
Yogi Bear,9,"De Line Pictures, Warner Bros. Animation, Sunswept Entertainment, Rhythm and Hues, Picnic Basket"
Country Strong,14,"Maguire Entertainment, Screen Gems, Sony Pictures Home Entertainment"
"Tomorrow, When the War Began",28,"Omnilab Media, Ambience Entertainment"
Extraordinary Measures,22,"Double Feature Films, CBS Films"
Devil,5,"Universal Pictures, Media Rights Capital, Night Chronicles, Relativity Media"
Barney's Version,16,Serendipity Point Films
Edge of Darkness,16,"Icon Productions, BBC Films, GK Films, Warner Bros."
Furry Vengeance,15,"Summit Entertainment, Robert Simonds Productions, Participant Media, Imagenation Abu Dhabi FZ, Furry Vengeance Productions"
Dylan Dog: Dead of Night,24,"Hyde Park Films, platinum studios, Long Distance Films"
The Perfect Game,16,"HighRoad Entertainment, Prelude Pictures, Lone Runner Entertainment, Kenio Films, Perfect Game, The"
Burke & Hare,12,"Ealing Studios, Fragile Films, Quickfire Films, Prescience, Aegis Film Fund"
Why Did I Get Married Too?,26,"Lions Gate Films, The Tyler Perry Company"
Resident Evil: Afterlife,24,"Impact Pictures, Davis-Films, Constantin Film Produktion"
Action Replayy,14,"PVR Cinemas, Hari Om Entertainment Co., Blockbuster Movie Entertainers"
Secretariat,11,"Walt Disney Pictures, Fast Track Productions, Mayhem Pictures"
The Lord of the Rings: The Fellowship of the Ring,49,"WingNut Films, New Line Cinema, The Saul Zaentz Company"
Harry Potter and the Philosopher's Stone,40,"1492 Pictures, Warner Bros., Heyday Films"
Mulholland Drive,16,"Asymmetrical Productions, Les Films Alain Sarde, Babbo Inc., The Picture Factory, Canal+"
"Monsters, Inc.",14,"Walt Disney Pictures, Pixar Animation Studios"
A.I. Artificial Intelligence,28,"DreamWorks SKG, Amblin Entertainment, Stanley Kubrick Productions, Warner Bros."
Shrek,5,"DreamWorks SKG, Pacific Data Images (PDI), DreamWorks Animation"
Bridget Jones's Diary,21,"Miramax Films, Universal Pictures, Studio Canal, Working Title Films, Little Bird"
Ocean's Eleven,14,"Village Roadshow Pictures, Section Eight, NPV Entertainment, Jerry Weintraub Productions, Warner Bros."
Pearl Harbor,12,"Jerry Bruckheimer Films, Touchstone Pictures"
The Mummy Returns,17,"Universal Pictures, Alphaville Films, Imhotep Productions"
Atlantis: The Lost Empire,25,"Walt Disney Pictures, Walt Disney Feature Animation"
Lara Croft: Tomb Raider,23,"Paramount Pictures, Toho-Towa, Mutual Film Company, Lawrence Gordon Productions, British Broadcasting Corporation (BBC)"
A Beautiful Mind,16,"Imagine Entertainment, DreamWorks SKG, Universal Pictures"
American Pie 2,14,"Universal Pictures, Liveplanet, Zide-Perry Productions"
The Princess Diaries,20,"Walt Disney Pictures, BrownHouse Productions, Bottom of the Ninth Productions"
Moulin Rouge!,13,"Bazmark Films, Twentieth Century Fox Film Corporation"
Planet of the Apes,18,"Twentieth Century Fox Film Corporation, Tim Burton Productions, Zanuck Company, The"
The Royal Tenenbaums,20,Touchstone Pictures
Blow,4,New Line Cinema
Enemy at the Gates,18,"Paramount Pictures, Swanford Films, Mandalay Pictures, Little Bird, KC Medien"
Black Hawk Down,15,"Jerry Bruckheimer Films, Revolution Studios, Scott Free Productions"
Legally Blonde,14,"Marc Platt Productions, Metro-Goldwyn-Mayer (MGM)"
A Knight's Tale,15,"Columbia Pictures Corporation, Escape Artists, Black and Blu Entertainment, Finestkind"
Zoolander,9,"Paramount Pictures, Village Roadshow Pictures, NPV Entertainment, Scott Rudin Productions, Red Hour Productions"
Not Another Teen Movie,22,"Original Film, Columbia Pictures Corporation, Neal H. Moritz Productions"
Scary Movie 2,13,"Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films, Brad Grey Pictures"
Rush Hour 2,11,New Line Cinema
Training Day,12,"Village Roadshow Pictures, NPV Entertainment, Warner Bros., Outlaw Productions (I), WV Films II"
The Others,10,"Cruise/Wagner Productions, Canal Plus, Sogecine, Las Producciones del Escorpion, Lucky Red"
Jimmy Neutron: Boy Genius,25,"Nickelodeon Movies, Universal Cartoon Studios, Paramount Animation"
Jay and Silent Bob Strike Back,30,"Dimension Films, View Askew Productions, Miramax"
Serendipity,11,"Miramax Films, Tapestry Films, Simon Fields Productions"
Cats & Dogs,11,"Village Roadshow Pictures, NPV Entertainment, Mad Chance, Zide-Perry Productions, Warner Bros."
Vanilla Sky,11,"Paramount Pictures, Cruise-Wagner Productions, Vinyl Films"
Kiss of the Dragon,18,"Twentieth Century Fox Film Corporation, Current Entertainment, Immortal Entertainment, Canal+, EuropaCorp"
Spy Game,8,"Universal Pictures, Metropolitan Filmexport, Toho-Towa, Red Wagon Productions, Beacon Communications"
Swordfish,9,"Village Roadshow Pictures, NPV Entertainment, Silver Pictures, Warner Bros., Jonathan Krane Group"
Shallow Hal,11,Twentieth Century Fox Film Corporation
AntiTrust,9,"Industry Entertainment, Epsilon Motion Pictures, Hyde Park Films, Metro-Goldwyn-Mayer (MGM)"
Final Fantasy: The Spirits Within,33,"Columbia Pictures, Square USA, Chris Lee Productions"
Original Sin,12,Metro-Goldwyn-Mayer (MGM)
Dr. Dolittle 2,14,Twentieth Century Fox Film Corporation
Behind Enemy Lines,18,"Twentieth Century Fox Film Corporation, Davis Entertainment"
Jeepers Creepers,16,"United Artists, American Zoetrope, Cinerenta Medienbeteiligungs KG, Cinerenta-Cinebeta, VCL Communications"
From Hell,9,"Twentieth Century Fox Film Corporation, Underworld Entertainment"
The Last Castle,15,DreamWorks SKG
Along Came a Spider,19,"Paramount Pictures, AZL Productions KG, David Brown Productions, MFP Munich Film Partners, Phase 1 Productions"
The Wedding Planner,19,"Columbia Pictures Corporation, Intermedia Films, Dee Gee Entertainment, Tapestry Films, Prufrock Pictures"
Rat Race,8,"Paramount Pictures, Fireworks Pictures, Alphaville Films"
Gosford Park,12,USA Films
Jason X,7,"New Line Cinema, Sean S. Cunningham Films, Crystal Lake Entertainment"
The Mexican,11,"DreamWorks SKG, Newmarket Capital Group, Lawrence Bender Productions, Pistolero Productions LLC"
Joy Ride,8,"Regency Enterprises, Epsilon Motion Pictures, LivePlanet, New Regency Pictures, Bad Robot"
I Am Sam,8,New Line Cinema
Rock Star,9,"Warner Bros. Pictures, Bel Air Entertainment"
K-PAX,5,"Intermedia Films, Lawrence Gordon Productions, PathÃ© Pictures International, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"
Don't Say a Word,16,"20th Century Fox, Village Roadshow Pictures, NPV Entertainment, Regency Enterprises, Kopelson Entertainment"
Crocodile Dundee in Los Angeles,31,"Bungalow Productions, Silver Lion Films, Vision View Entertainment"
Frailty,7,"Cinerenta Medienbeteiligungs KG, American Entertainment Partners L.P., David Kirschner Productions"
Angel Eyes,10,"Warner Bros. Pictures, Franchise Pictures, Morgan Creek Productions"
Hearts in Atlantis,18,Castle Rock Entertainment
The Glass House,15,Original Film
15 Minutes,10,"New Line Cinema, Industry Entertainment, Tribeca Productions, New Redemption Pictures"
Hardball,8,"Paramount Pictures, GHS Productions KG, Munich Film Partners & Company (MFP) GHS Productions, Nides/McCormick Productions"
Evolution,9,"DreamWorks SKG, Columbia Pictures Corporation, Montecito Picture Company, The"
Ali,3,Columbia Pictures Corporation
The Score,9,"Paramount Pictures, Mandalay Pictures, Horseshoe Bay Productions"
Joe Dirt,8,"Columbia Pictures, Happy Madison Productions"
Exit Wounds,11,"NPV Entertainment, Warner Bros."
The Tailor of Panama,20,"Columbia Pictures, Merlin Films"
Sweet November,14,"Bel Air Entertainment, Warner Bros."
How High,8,"Universal Pictures, Jersey Films, Native Pictures Productions"
Tomcats,7,"Columbia Pictures, Revolution Studios"
The Majestic,12,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Darkwoods Productions"
3000 Miles to Graceland,23,"Franchise Pictures, Warner Bros., Morgan Creek Productions"
Ghosts of Mars,14,"Screen Gems, Storm King Productions, Animationwerks"
Saving Silverman,16,"Village Roadshow Pictures, NPV Entertainment, Columbia Pictures Corporation"
Riding in Cars with Boys,24,Columbia Pictures
Osmosis Jones,13,"Conundrum Entertainment, Warner Bros. Animation, Warner Bros."
Head Over Heels,15,Universal Studios
The Fast and the Furious,24,"Universal Pictures, Original Film, Ardustry Entertainment, Mediastream Film GmbH & Co. Productions KG"
Save the Last Dance,19,"MTV Films, Cort/Madden Productions"
Spy Kids,8,"Dimension Films, Troublemaker Studios, Miramax"
Bandits,7,"Cheyenne Enterprises, Epsilon Motion Pictures, Empire Pictures, Metro-Goldwyn-Mayer (MGM), Hyde Park Entertainment"
The Animal,10,"Revolution Studios, Happy Madison Productions"
Knockaround Guys,16,Lawrence Bender Productions
Crazy/Beautiful,15,"Touchstone Pictures, Ufland"
Driven,6,"Epsilon Motion Pictures, Franchise Pictures, Trackform Film Productions, Mel's Cite du Cinema"
Out Cold,8,"Spyglass Entertainment, Touchstone Pictures"
American Outlaws,16,"Warner Bros. Pictures, Morgan Creek Productions"
Hannibal,8,"Universal Pictures, Scott Free Productions, Metro-Goldwyn-Mayer (MGM), Dino De Laurentiis Company"
Domestic Disturbance,20,Paramount Pictures
Summer Catch,12,"Tollin/Robbins Productions, Warner Bros."
Max Keeble's Big Move,21,"Walt Disney Pictures, Karz Entertainment"
Monkeybone,10,"20th Century Fox, 1492 Pictures"
Corky Romano,12,"Robert Simonds Productions, Touchstone Pictures"
Jurassic Park III,17,"Universal Studios, Amblin Entertainment"
The Musketeer,13,"Crystal Sky Worldwide, MDP Worldwide, ApolloMedia Distribution, Carousel Picture Company, The, Signature Entertainment"
The Cat's Meow,14,"Lions Gate Films, Dan Films, CP Medien AG"
Sugar & Spice,13,New Line Cinema
Bones,5,New Line Cinema
The Wash,8,Lionsgate
Baby Boy,8,Columbia Pictures
The Dark Knight,15,"DC Comics, Legendary Pictures, Warner Bros., Syncopy"
WALLÂ·E,7,"Walt Disney Pictures, Pixar Animation Studios"
Iron Man,8,Marvel Studios
Taken,5,"Twentieth Century Fox Film Corporation, M6 Films, Canal+, TPS Star, Grive Productions"
Indiana Jones and the Kingdom of the Crystal Skull,50,"Lucasfilm, Paramount Pictures"
Twilight,8,"Summit Entertainment, Maverick Films, Imprint Entertainment, Goldcrest Pictures, Temple Hill Entertainment"
Quantum of Solace,17,Eon Productions
Kung Fu Panda,13,DreamWorks Animation
Mamma Mia!,10,"Universal Pictures, Internationale Filmproduktion Richter, Playtone, Relativity Media, Littlestar"
The Curious Case of Benjamin Button,35,"Paramount Pictures, Warner Bros., Kennedy/Marshall Company, The"
The Mummy: Tomb of the Dragon Emperor,37,"Universal Pictures, China Film Co-Production Corporation, Relativity Media, Alphaville Films, Sommers Company, The"
The Incredible Hulk,19,"Universal Pictures, Marvel Studios, Valhalla Motion Pictures, MVL Incredible Productions"
Gran Torino,11,"Village Roadshow Pictures, Malpaso Productions, Gerber Pictures, Warner Bros., Double Nickel Entertainment"
Madagascar: Escape 2 Africa,27,DreamWorks Animation
Hellboy II: The Golden Army,27,"Universal Pictures, Dark Horse Entertainment, Lawrence Gordon Productions, Mid Atlantic Films, Relativity Media"
Jumper,6,"Dune Entertainment, Hypnotic, New Regency Pictures"
Journey to the Center of the Earth,34,"New Line Cinema, Walden Media"
Wanted,6,"Universal Pictures, Spyglass Entertainment, Bazelevs Production, Kickstart Productions, Marc Platt Productions"
Slumdog Millionaire,19,"Celador Films, Warner Bros., Film4"
Transporter 3,13,"Europa Corp, TF1 Films Production, Grive Productions, EuropaCorp"
Valkyrie,8,"United Artists, Achte Babelsberg Film, Metro-Goldwyn-Mayer (MGM), Bad Hat Harry Productions"
"10,000 BC",9,"Centropolis Entertainment, Legendary Pictures, Warner Bros., Moonlighting Films, The Department of Trade and Industry of South Africa"
Hancock,7,"Columbia Pictures, Weed Road Pictures, Forward Pass, Relativity Media, Overbrook Entertainment"
The Hurt Locker,15,"Summit Entertainment, Kingsgate Films, Grosvenor Park Media Ltd., Voltage Pictures, Film Capital Europe Funds (FCEF )"
What Happens in Vegas,21,"Twentieth Century Fox Film Corporation, Regency Enterprises, Mosaic Media Group, 21 Laps Entertainment, Penn Station Entertainment"
The Chronicles of Narnia: Prince Caspian,40,"Walt Disney, Walden Media, Stillking Films, Ozumi Films, Propeler"
Tropic Thunder,14,"DreamWorks SKG, Goldcrest Pictures, Red Hour Films, Internationale Filmproduktion Stella-del-Sud Second"
Eagle Eye,9,"DreamWorks SKG, K/O Paper Products, Goldcrest Pictures, KMP Film Invest"
The Boy in the Striped Pyjamas,30,"Miramax Films, BBC Films, Heyday Films"
Rambo,5,"Rogue Marble, Nu Image Films, Lionsgate, Millennium Films, Emmett/Furla Films"
Death Race,10,"Universal Pictures, Cruise/Wagner Productions, Impact Pictures, Relativity Media, Scion Films"
Step Up 2: The Streets,22,"Summit Entertainment, Offspring Entertainment, Touchstone Pictures"
The Day the Earth Stood Still,29,"Twentieth Century Fox Film Corporation, Dune Entertainment III, Earth Canada Productions, Hammerhead Productions, 3 Arts Entertainment"
Seven Pounds,12,"Columbia Pictures, Escape Artists, Relativity Media, Overbrook Entertainment"
Cloverfield,11,"Paramount Pictures, Bad Robot"
Bolt,4,"Walt Disney Pictures, Walt Disney Animation Studios"
Forgetting Sarah Marshall,25,"Universal Pictures, Apatow Productions"
Australia,9,"Bazmark Films, Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment III, ScreenWest"
Yes Man,7,"The Zanuck Company, Heyday films, Warner Bros."
Marley & Me,11,"Sunswept Entertainment, Dune Entertainment III"
Body of Lies,12,"Scott Free Productions, De Line Pictures, Warner Bros."
Burn After Reading,18,"Mike Zoss Productions, Studio Canal, Relativity Media, Focus Features, Working Title Films"
27 Dresses,10,"Spyglass Entertainment, Fox 2000 Pictures, Dune Entertainment III"
Inkheart,8,"New Line Cinema, Internationale Filmproduktion Blackbird Erste"
21,2,"Columbia Pictures, Relativity Media"
Step Brothers,13,"Columbia Pictures, Mosaic Media Group, Gary Sanchez Productions, Relativity Media, Apatow Productions"
Fool's Gold,11,"De Line Pictures, Warner Bros."
Never Back Down,15,"Summit Entertainment, Mandalay Pictures, Baumgarten Management and Productions (BMP)"
Pineapple Express,17,"Columbia Pictures, Apatow Productions"
The Wrestler,12,"Saturn Films, Wild Bunch, Protozoa Pictures, Top Rope"
Bedtime Stories,15,"Walt Disney Pictures, Happy Madison Productions, Gunn Films"
