Index,Nationality,Age,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,DistributionChannel,var,value
13154,NLD,65,203,191.25,124,0,Travel Agent/Operator,BookingsNoShowed,0
13155,NLD,29,203,191.25,56,0,Travel Agent/Operator,BookingsNoShowed,0
13156,DEU,52,0,411,42,0,Direct,BookingsNoShowed,0
13157,GBR,30,80,238.8,39,0,Travel Agent/Operator,BookingsNoShowed,0
13158,BEL,48,108,264.6,187,0,Travel Agent/Operator,BookingsNoShowed,0
13159,AUT,34,100,529.2,107.5,0,Travel Agent/Operator,BookingsNoShowed,0
13160,ROU,33,204,184.95,42,0,Travel Agent/Operator,BookingsNoShowed,0
13161,ESP,58,30,864.3,226.2,0,Travel Agent/Operator,BookingsNoShowed,0
13162,DEU,55,0,298,88,0,Travel Agent/Operator,BookingsNoShowed,0
13163,ESP,49,47,875.7,134,0,Travel Agent/Operator,BookingsNoShowed,0
13164,GBR,34,92,317.7,42,0,Travel Agent/Operator,BookingsNoShowed,0
13165,AUT,50,131,332.1,102,0,Travel Agent/Operator,BookingsNoShowed,0
13166,CHE,23,144,604.8,84,0,Travel Agent/Operator,BookingsNoShowed,0
13167,AUS,39,3,395.2,61,0,Travel Agent/Operator,BookingsNoShowed,0
13168,GBR,55,143,295.8,175,0,Travel Agent/Operator,BookingsNoShowed,0
13169,ESP,53,122,482.08,184.5,0,Travel Agent/Operator,BookingsNoShowed,0
13170,ESP,54,122,673.2,195,0,Travel Agent/Operator,BookingsNoShowed,0
13171,ESP,17,122,482.08,138,0,Travel Agent/Operator,BookingsNoShowed,0
13172,ITA,65,156,436.5,32.5,0,Travel Agent/Operator,BookingsNoShowed,0
13173,FRA,53,213,528.3,238.2,0,Travel Agent/Operator,BookingsNoShowed,0
13174,FRA,21,213,528.3,252.2,0,Travel Agent/Operator,BookingsNoShowed,0
13175,FRA,36,49,97.8,126,0,Travel Agent/Operator,BookingsNoShowed,0
13176,GBR,44,216,300.6,50,0,Travel Agent/Operator,BookingsNoShowed,0
13177,DEU,16,52,99,14,0,Travel Agent/Operator,BookingsNoShowed,0
13178,DEU,52,52,297,42,0,Travel Agent/Operator,BookingsNoShowed,0
13179,DEU,60,115,517.65,142,0,Travel Agent/Operator,BookingsNoShowed,0
13180,DEU,55,287,375.5,84.5,0,Direct,BookingsNoShowed,0
13181,DEU,53,10,374,103,0,Travel Agent/Operator,BookingsNoShowed,0
13182,IRL,36,47,87,14,0,Direct,BookingsNoShowed,0
13183,FRA,35,155,588.85,216,0,Travel Agent/Operator,BookingsNoShowed,0
13184,PRT,37,4,127,62.5,0,Travel Agent/Operator,BookingsNoShowed,0
13185,IRL,53,3,75,40,0,Travel Agent/Operator,BookingsNoShowed,0
13186,GBR,57,142,481.6,14,0,Travel Agent/Operator,BookingsNoShowed,0
13187,DEU,52,287,1126.5,868.5,0,Direct,BookingsNoShowed,0
13188,DEU,18,287,970.65,214.5,0,Direct,BookingsNoShowed,0
13189,FRA,29,53,386.1,44.5,0,Travel Agent/Operator,BookingsNoShowed,0
13190,DEU,51,196,428.75,70,0,Travel Agent/Operator,BookingsNoShowed,0
13191,FRA,27,32,99,36,0,Travel Agent/Operator,BookingsNoShowed,0
13192,PRT,49,213,338.64,178.36,0,Travel Agent/Operator,BookingsNoShowed,0
13193,POL,31,211,315.8,236.3,0,Travel Agent/Operator,BookingsNoShowed,0
13194,FRA,40,1,402,326,0,Direct,BookingsNoShowed,0
13196,PRT,31,139,617.1,152.5,0,Travel Agent/Operator,BookingsNoShowed,0
13197,DEU,30,224,552.65,140,0,Travel Agent/Operator,BookingsNoShowed,0
13198,EST,56,170,458.5,70,0,Travel Agent/Operator,BookingsNoShowed,0
13199,DEU,33,138,252.9,47,0,Travel Agent/Operator,BookingsNoShowed,0
13200,FRA,70,193,332.8,142,0,Travel Agent/Operator,BookingsNoShowed,0
13201,GBR,58,31,206.1,55.5,0,Travel Agent/Operator,BookingsNoShowed,0
13202,BEL,28,152,608.1,144,0,Travel Agent/Operator,BookingsNoShowed,0
13203,PRT,39,42,1300.5,177,0,Travel Agent/Operator,BookingsNoShowed,0
13204,NLD,55,167,757.35,143.75,0,Travel Agent/Operator,BookingsNoShowed,0
13205,GBR,53,41,557.1,123,0,Travel Agent/Operator,BookingsNoShowed,0
13206,GBR,29,128,171,30.5,0,Travel Agent/Operator,BookingsNoShowed,0
13207,GBR,29,109,255,30,0,Travel Agent/Operator,BookingsNoShowed,0
13208,GBR,58,20,75,12,0,Travel Agent/Operator,BookingsNoShowed,0
13209,GBR,63,20,75,21,0,Travel Agent/Operator,BookingsNoShowed,0
13210,PRT,46,65,488,140,0,Travel Agent/Operator,BookingsNoShowed,0
13211,ITA,56,88,944.1,284,0,Travel Agent/Operator,BookingsNoShowed,0
13212,ITA,34,187,97.5,23,0,Travel Agent/Operator,BookingsNoShowed,0
13213,BEL,78,216,252.9,42,0,Travel Agent/Operator,BookingsNoShowed,0
13214,BEL,48,216,332.1,178,0,Travel Agent/Operator,BookingsNoShowed,0
13216,DEU,78,197,595.15,352.5,0,Travel Agent/Operator,BookingsNoShowed,0
13217,FRA,60,48,846.3,302,0,Travel Agent/Operator,BookingsNoShowed,0
13218,DEU,41,197,681.25,324.5,0,Travel Agent/Operator,BookingsNoShowed,0
13219,FRA,59,4,119,22,0,Travel Agent/Operator,BookingsNoShowed,0
13220,ITA,66,56,549,450,0,Travel Agent/Operator,BookingsNoShowed,0
13221,PRT,44,6,198,49.5,0,Travel Agent/Operator,BookingsNoShowed,0
13222,BEL,48,185,409.09,60.5,0,Travel Agent/Operator,BookingsNoShowed,0
13223,BEL,47,188,1137.27,180,0,Travel Agent/Operator,BookingsNoShowed,0
13224,FRA,72,42,642.9,75,0,Travel Agent/Operator,BookingsNoShowed,0
13225,ESP,46,100,529.2,94.5,0,Travel Agent/Operator,BookingsNoShowed,0
13226,PRT,29,1,274,201.5,0,Direct,BookingsNoShowed,0
13227,NLD,59,31,823.2,119.5,0,Travel Agent/Operator,BookingsNoShowed,0
13228,DEU,53,166,110.7,21,0,Travel Agent/Operator,BookingsNoShowed,0
13229,DEU,53,231,589.05,169.75,0,Travel Agent/Operator,BookingsNoShowed,0
13230,DEU,69,231,589.05,117.75,0,Travel Agent/Operator,BookingsNoShowed,0
13231,PRT,48,37,178.2,63.5,0,Travel Agent/Operator,BookingsNoShowed,0
13232,ITA,51,130,880.2,790.5,0,Travel Agent/Operator,BookingsNoShowed,0
13233,ESP,49,8,236,51,0,Travel Agent/Operator,BookingsNoShowed,0
13234,ESP,59,192,617.25,171.5,0,Direct,BookingsNoShowed,0
13235,ITA,55,130,256.5,54.5,0,Travel Agent/Operator,BookingsNoShowed,0
13237,ROU,55,158,394.75,75,0,Travel Agent/Operator,BookingsNoShowed,0
13238,ESP,36,3,631.53,84,0,Direct,BookingsNoShowed,0
13239,DEU,53,198,318.75,136,0,Travel Agent/Operator,BookingsNoShowed,0
13240,DEU,58,153,505.8,117,0,Travel Agent/Operator,BookingsNoShowed,0
13241,PRT,46,65,504,73.5,0,Travel Agent/Operator,BookingsNoShowed,0
13242,AUT,48,179,212.72,124,0,Travel Agent/Operator,BookingsNoShowed,0
13243,AUT,23,5,308.76,52,0,Direct,BookingsNoShowed,0
13244,ITA,54,180,168.6,28,0,Travel Agent/Operator,BookingsNoShowed,0
13245,GBR,27,224,486.08,110,0,Travel Agent/Operator,BookingsNoShowed,0
13246,IRL,49,96,191.25,128.5,0,Travel Agent/Operator,BookingsNoShowed,0
13247,PRT,32,6,1817,289,0,Corporate,BookingsNoShowed,0
13248,ITA,25,40,406.8,72,0,Travel Agent/Operator,BookingsNoShowed,0
13249,NLD,60,7,524,68,0,Travel Agent/Operator,BookingsNoShowed,0
13250,DEU,30,207,637.5,102,0,Travel Agent/Operator,BookingsNoShowed,0
13251,FRA,25,57,99,28,0,Travel Agent/Operator,BookingsNoShowed,0
13252,ITA,28,1,171,4,0,Travel Agent/Operator,BookingsNoShowed,0
13253,PRT,34,4,157,30,0,Travel Agent/Operator,BookingsNoShowed,0
13254,CHE,22,0,152,38,0,Travel Agent/Operator,BookingsNoShowed,0
13255,FRA,55,139,608.1,136,0,Travel Agent/Operator,BookingsNoShowed,0
13256,GBR,60,5,75,52,0,Travel Agent/Operator,BookingsNoShowed,0
13257,GEO,32,1,337.2,75,0,Travel Agent/Operator,BookingsNoShowed,0
13258,GBR,28,71,477.6,56,0,Travel Agent/Operator,BookingsNoShowed,0
13259,DEU,55,207,637.5,226,0,Travel Agent/Operator,BookingsNoShowed,0
13260,ESP,38,2,603.93,14,0,Travel Agent/Operator,BookingsNoShowed,0
13261,ROU,51,158,394.75,70,0,Travel Agent/Operator,BookingsNoShowed,0
13262,AUT,19,179,221.72,351,0,Travel Agent/Operator,BookingsNoShowed,0
13263,ESP,47,43,504.2,210.5,0,Direct,BookingsNoShowed,0
13264,NLD,20,7,1572,288,0,Travel Agent/Operator,BookingsNoShowed,0
13265,GBR,30,109,255,58,0,Travel Agent/Operator,BookingsNoShowed,0
13266,GBR,73,186,2281.25,705,0,Travel Agent/Operator,BookingsNoShowed,0
13267,GBR,48,186,4004,577.5,0,Travel Agent/Operator,BookingsNoShowed,0
13268,GBR,12,186,1602.93,198.5,0,Travel Agent/Operator,BookingsNoShowed,0
13269,USA,68,19,339,78,0,Travel Agent/Operator,BookingsNoShowed,0
13270,DEU,58,66,127.5,30.99,0,Travel Agent/Operator,BookingsNoShowed,0
13271,POL,57,96,225,45,0,Travel Agent/Operator,BookingsNoShowed,0
13272,PRT,48,190,843.45,462.8,0,Travel Agent/Operator,BookingsNoShowed,0
13273,DZA,28,0,85.24,1,0,Travel Agent/Operator,BookingsNoShowed,0
13274,ESP,39,6,603,97.5,0,Travel Agent/Operator,BookingsNoShowed,0
13275,IND,52,51,320.38,189.5,0,Travel Agent/Operator,BookingsNoShowed,0
13276,IRL,33,89,232.2,48.5,0,Travel Agent/Operator,BookingsNoShowed,0
13277,GBR,55,45,274.5,62,0,Direct,BookingsNoShowed,0
13278,FRA,31,36,305.1,45.5,0,Travel Agent/Operator,BookingsNoShowed,0
13279,SRB,43,6,448.67,92,0,Travel Agent/Operator,BookingsNoShowed,0
13280,GBR,47,152,593.1,90.5,0,Direct,BookingsNoShowed,0
13281,NLD,25,184,315.8,56,0,Travel Agent/Operator,BookingsNoShowed,0
13282,FRA,48,4,150,15,0,Travel Agent/Operator,BookingsNoShowed,0
13283,FRA,46,4,150,15,0,Travel Agent/Operator,BookingsNoShowed,0
13284,GBR,34,41,202.5,41,0,Travel Agent/Operator,BookingsNoShowed,0
13285,ESP,53,2,297,81,0,Travel Agent/Operator,BookingsNoShowed,0
13286,FRA,48,4,150,54,0,Travel Agent/Operator,BookingsNoShowed,0
13287,CHE,57,185,84.3,14,0,Travel Agent/Operator,BookingsNoShowed,0
13288,DEU,55,192,420.75,125.25,0,Travel Agent/Operator,BookingsNoShowed,0
13289,FRA,68,220,171,60.5,0,Travel Agent/Operator,BookingsNoShowed,0
13290,DEU,65,138,168.6,71.5,0,Travel Agent/Operator,BookingsNoShowed,0
13291,FRA,22,50,195.6,37,0,Travel Agent/Operator,BookingsNoShowed,0
13292,DEU,60,21,339,50.5,0,Travel Agent/Operator,BookingsNoShowed,0
13293,DEU,56,109,127.5,26,0,Travel Agent/Operator,BookingsNoShowed,0
13294,DEU,60,163,637.5,153,0,Travel Agent/Operator,BookingsNoShowed,0
13295,PRT,25,163,637.5,127,0,Travel Agent/Operator,BookingsNoShowed,0
13296,ITA,51,21,125,18,0,Travel Agent/Operator,BookingsNoShowed,0
13297,DEU,58,196,252.9,69,0,Travel Agent/Operator,BookingsNoShowed,0
13298,DEU,20,196,332.1,81,0,Travel Agent/Operator,BookingsNoShowed,0
13299,ESP,33,38,430.2,165.5,0,Travel Agent/Operator,BookingsNoShowed,0
13300,DEU,22,36,168.3,40.2,0,Travel Agent/Operator,BookingsNoShowed,0
13301,DEU,32,61,191.25,49.5,0,Travel Agent/Operator,BookingsNoShowed,0
13302,PRT,28,12,123,18,0,Travel Agent/Operator,BookingsNoShowed,0
13303,DEU,56,0,632.7,61,0,Travel Agent/Operator,BookingsNoShowed,0
13304,FRA,40,2,225,159.5,0,Travel Agent/Operator,BookingsNoShowed,0
13305,ITA,61,40,301.5,48,0,Travel Agent/Operator,BookingsNoShowed,0
13306,DEU,56,188,394.75,70,0,Travel Agent/Operator,BookingsNoShowed,0
13307,DZA,38,194,672.75,170,0,Travel Agent/Operator,BookingsNoShowed,0
13308,GBR,76,119,968.1,150,0,Direct,BookingsNoShowed,0
13309,PRT,21,29,110,14,0,Travel Agent/Operator,BookingsNoShowed,0
13310,PRT,23,4,117,13.5,0,Direct,BookingsNoShowed,0
13311,AUS,42,0,437,310.5,0,Travel Agent/Operator,BookingsNoShowed,0
13312,ESP,28,47,191.25,31.5,0,Travel Agent/Operator,BookingsNoShowed,0
13313,FRA,46,26,377,121.5,0,Travel Agent/Operator,BookingsNoShowed,0
13314,DZA,59,38,1274.4,183,0,Travel Agent/Operator,BookingsNoShowed,0
13315,FRA,36,187,455.7,108,0,Travel Agent/Operator,BookingsNoShowed,0
13316,DEU,58,36,168.3,172.2,0,Travel Agent/Operator,BookingsNoShowed,0
13317,PRT,49,7,590,83,0,Corporate,BookingsNoShowed,0
13318,CHN,56,29,1189.5,226.5,0,Travel Agent/Operator,BookingsNoShowed,0
13319,PRT,30,30,203.7,107.4,0,Travel Agent/Operator,BookingsNoShowed,0
13320,ESP,40,1,225,37,0,Travel Agent/Operator,BookingsNoShowed,0
13321,FRA,46,6,225,36,0,Travel Agent/Operator,BookingsNoShowed,0
13322,AGO,32,0,163,38,0,Direct,BookingsNoShowed,0
13323,GBR,56,4,314,47,0,Travel Agent/Operator,BookingsNoShowed,0
13324,PRT,46,3,1008,124,0,Corporate,BookingsNoShowed,0
13325,PRT,45,31,0,0,1,Direct,BookingsNoShowed,0
13326,ESP,48,121,0,3,0,Direct,BookingsNoShowed,0
13327,AUT,49,195,195,44,0,Travel Agent/Operator,BookingsNoShowed,0
13328,GBR,50,216,127.5,21,0,Travel Agent/Operator,BookingsNoShowed,0
13329,FRA,28,30,88.2,7,0,Travel Agent/Operator,BookingsNoShowed,0
13330,GBR,39,56,289.68,17,0,Travel Agent/Operator,BookingsNoShowed,0
13331,GBR,25,216,168.6,28,0,Travel Agent/Operator,BookingsNoShowed,0
13332,ESP,44,7,95.03,41.6,0,Travel Agent/Operator,BookingsNoShowed,0
13333,FRA,34,3,320.13,42,0,Direct,BookingsNoShowed,0
13334,ESP,40,7,92.03,41.6,0,Travel Agent/Operator,BookingsNoShowed,0
13335,CAN,71,208,221.85,31.5,0,Travel Agent/Operator,BookingsNoShowed,0
13336,FRA,47,4,314,40,0,Travel Agent/Operator,BookingsNoShowed,0
13337,FRA,29,15,354,28,0,Travel Agent/Operator,BookingsNoShowed,0
13339,ITA,61,181,168.6,28,0,Travel Agent/Operator,BookingsNoShowed,0
13340,ESP,61,14,276,69,0,Travel Agent/Operator,BookingsNoShowed,0
13341,AUS,65,137,139.4,58,0,Travel Agent/Operator,BookingsNoShowed,0
13342,NZL,61,132,129.12,27,0,Travel Agent/Operator,BookingsNoShowed,0
13343,ESP,59,10,608,358,0,Travel Agent/Operator,BookingsNoShowed,0
13344,GBR,33,169,394.75,82,0,Travel Agent/Operator,BookingsNoShowed,0
13345,FRA,45,18,449,72,0,Travel Agent/Operator,BookingsNoShowed,0
13346,DEU,30,149,318.75,52.5,0,Travel Agent/Operator,BookingsNoShowed,0
13347,ESP,59,30,399.3,86.99,0,Travel Agent/Operator,BookingsNoShowed,0
13348,ESP,52,30,1197.9,168,0,Travel Agent/Operator,BookingsNoShowed,0
13349,ESP,56,34,504.9,104,0,Travel Agent/Operator,BookingsNoShowed,0
13350,DEU,45,219,251.98,136.99,0,Travel Agent/Operator,BookingsNoShowed,0
13351,ESP,48,8,150.13,31,0,Direct,BookingsNoShowed,0
13352,ITA,25,141,256.5,7.24,0,Travel Agent/Operator,BookingsNoShowed,0
13353,GBR,60,195,195.6,82,0,Travel Agent/Operator,BookingsNoShowed,0
13354,CHN,36,15,210,28,0,Travel Agent/Operator,BookingsNoShowed,0
13355,BEL,59,231,315.8,56,0,Travel Agent/Operator,BookingsNoShowed,0
13356,FRA,32,52,797.4,126,0,Travel Agent/Operator,BookingsNoShowed,0
13357,FRA,57,14,118,14.5,0,Travel Agent/Operator,BookingsNoShowed,0
13358,USA,25,0,155.42,33,0,Travel Agent/Operator,BookingsNoShowed,0
13359,LUX,45,156,430.8,96,0,Travel Agent/Operator,BookingsNoShowed,0
13360,GBR,61,197,535.7,273.8,0,Travel Agent/Operator,BookingsNoShowed,0
13361,GBR,35,48,301.5,249.5,0,Travel Agent/Operator,BookingsNoShowed,0
13362,RUS,63,60,398.4,70,0,Travel Agent/Operator,BookingsNoShowed,0
13363,LUX,45,156,575.8,72,0,Travel Agent/Operator,BookingsNoShowed,0
13364,BEL,30,52,891,148,0,Travel Agent/Operator,BookingsNoShowed,0
13365,GBR,31,163,221.85,31.5,0,Travel Agent/Operator,BookingsNoShowed,0
13366,ESP,34,11,476,60,0,Travel Agent/Operator,BookingsNoShowed,0
13367,CHE,21,157,255,401.8,0,Travel Agent/Operator,BookingsNoShowed,0
13368,CHE,54,157,255,42,0,Travel Agent/Operator,BookingsNoShowed,0
13369,FRA,55,14,118,17,0,Travel Agent/Operator,BookingsNoShowed,0
13370,FRA,25,36,223.88,42,0,Travel Agent/Operator,BookingsNoShowed,0
13371,FRA,57,14,118,60.5,0,Travel Agent/Operator,BookingsNoShowed,0
13372,POL,59,63,278.8,74.4,0,Travel Agent/Operator,BookingsNoShowed,0
13373,ESP,53,11,900,97,0,Direct,BookingsNoShowed,0
13374,AUT,50,151,667.2,316.7,0,Travel Agent/Operator,BookingsNoShowed,0
13375,GBR,32,64,592.78,102,0,Travel Agent/Operator,BookingsNoShowed,0
13376,FRA,32,1,254,46,0,Travel Agent/Operator,BookingsNoShowed,0
13377,GBR,34,230,231,69,0,Travel Agent/Operator,BookingsNoShowed,0
13378,FRA,29,43,504.9,84,0,Travel Agent/Operator,BookingsNoShowed,0
13379,DEU,60,176,141.3,21,0,Travel Agent/Operator,BookingsNoShowed,0
13380,DEU,49,220,239.4,51,0,Travel Agent/Operator,BookingsNoShowed,0
13381,AUT,30,141,283.5,44.5,0,Travel Agent/Operator,BookingsNoShowed,0
13383,ESP,52,61,344.4,126,0,Travel Agent/Operator,BookingsNoShowed,0
13384,GBR,45,50,491.4,174,0,Travel Agent/Operator,BookingsNoShowed,0
13385,ESP,46,0,0,0,0,Travel Agent/Operator,BookingsNoShowed,0
13386,PRT,29,5,177,27,0,Corporate,BookingsNoShowed,0
13387,USA,35,26,739.15,107.5,0,Direct,BookingsNoShowed,0
13388,FRA,33,45,404.1,10.5,0,Travel Agent/Operator,BookingsNoShowed,0
13389,PRT,47,3,538,74,0,Travel Agent/Operator,BookingsNoShowed,0
13390,BEL,54,200,315.8,56,0,Travel Agent/Operator,BookingsNoShowed,0
13391,FRA,36,45,198,22,0,Travel Agent/Operator,BookingsNoShowed,0
13392,FRA,28,0,387,55,0,Travel Agent/Operator,BookingsNoShowed,0
13393,GBR,35,28,424.6,56,0,Travel Agent/Operator,BookingsNoShowed,0
13395,DEU,29,21,449,64.5,0,Travel Agent/Operator,BookingsNoShowed,0
13396,FRA,51,40,97.8,14,0,Travel Agent/Operator,BookingsNoShowed,0
13397,AUT,32,85,512.4,201.5,0,Travel Agent/Operator,BookingsNoShowed,0
13398,CHE,26,26,220,4,0,Travel Agent/Operator,BookingsNoShowed,0
13399,BEL,55,40,204.96,118.5,0,Travel Agent/Operator,BookingsNoShowed,0
13400,GBR,68,27,232,80,0,Travel Agent/Operator,BookingsNoShowed,0
13401,ESP,51,47,406.48,249,0,Travel Agent/Operator,BookingsNoShowed,0
13402,GBR,36,1,149,18,0,Travel Agent/Operator,BookingsNoShowed,0
13403,GBR,56,54,124.2,43,0,Travel Agent/Operator,BookingsNoShowed,0
13404,PRT,21,4,479.8,136,0,Travel Agent/Operator,BookingsNoShowed,0
13405,FRA,26,59,391.2,56,0,Travel Agent/Operator,BookingsNoShowed,0
13406,FRA,73,0,447,40.5,0,Travel Agent/Operator,BookingsNoShowed,0
13407,BEL,33,85,464.4,96,0,Travel Agent/Operator,BookingsNoShowed,0
13408,FRA,31,121,1183,310.1,0,Direct,BookingsNoShowed,0
13409,ESP,46,79,787.5,402.5,0,Direct,BookingsNoShowed,0
13410,DEU,69,45,372.6,97,0,Travel Agent/Operator,BookingsNoShowed,0
13411,BEL,48,55,372.6,63,0,Travel Agent/Operator,BookingsNoShowed,0
13412,USA,28,0,99.63,2,0,Travel Agent/Operator,BookingsNoShowed,0
13413,DEU,67,28,315.91,67.5,0,Travel Agent/Operator,BookingsNoShowed,0
13414,DEU,38,87,510.16,180,0,Travel Agent/Operator,BookingsNoShowed,0
13415,DEU,18,33,230.35,34,0,Travel Agent/Operator,BookingsNoShowed,0
13416,FRA,54,31,297,53,0,Travel Agent/Operator,BookingsNoShowed,0
13417,GBR,37,172,1299,196,0,Direct,BookingsNoShowed,0
13418,DEU,41,6,444.8,83,0,Travel Agent/Operator,BookingsNoShowed,0
13419,IRL,37,22,183.2,41,0,Travel Agent/Operator,BookingsNoShowed,0
13420,PRT,35,16,445,212.5,0,Travel Agent/Operator,BookingsNoShowed,0
13421,CHE,45,20,449,91.5,0,Travel Agent/Operator,BookingsNoShowed,0
13422,DEU,47,330,297.6,52,0,Travel Agent/Operator,BookingsNoShowed,0
13423,USA,36,28,110,2.1,0,Travel Agent/Operator,BookingsNoShowed,0
13424,FRA,34,59,436.5,100.5,0,Travel Agent/Operator,BookingsNoShowed,0
13425,FRA,56,42,815.4,84,0,Travel Agent/Operator,BookingsNoShowed,0
13426,ESP,47,150,518.1,85,0,Travel Agent/Operator,BookingsNoShowed,0
13427,CHE,28,8,119,4,0,Travel Agent/Operator,BookingsNoShowed,0
13428,DEU,50,64,1089.26,160,0,Travel Agent/Operator,BookingsNoShowed,0
13429,GBR,37,172,1299,246,0,Direct,BookingsNoShowed,0
13430,DEU,52,164,291.55,65.25,0,Travel Agent/Operator,BookingsNoShowed,0
13431,ITA,52,23,244.5,97,0,Direct,BookingsNoShowed,0
13432,PRT,34,10,109,24,0,Travel Agent/Operator,BookingsNoShowed,0
13433,GBR,24,50,308.16,56.2,0,Travel Agent/Operator,BookingsNoShowed,0
13434,PRT,65,10,85,12,0,Travel Agent/Operator,BookingsNoShowed,0
13435,FRA,36,5,490.05,111,0,Direct,BookingsNoShowed,0
13436,BEL,26,54,544,186,0,Travel Agent/Operator,BookingsNoShowed,0
13437,FRA,39,41,124.2,21,0,Travel Agent/Operator,BookingsNoShowed,0
13438,CHE,28,0,278,30,0,Travel Agent/Operator,BookingsNoShowed,0
13439,FRA,24,0,1101,198,0,Direct,BookingsNoShowed,0
13440,DEU,39,61,450,206.1,0,Travel Agent/Operator,BookingsNoShowed,0
13441,FRA,52,6,415.52,80,0,Direct,BookingsNoShowed,0
13442,POL,42,5,508,126,0,Travel Agent/Operator,BookingsNoShowed,0
13443,DEU,36,125,263.5,118.5,0,Travel Agent/Operator,BookingsNoShowed,0
13444,FRA,21,0,3087,516,0,Direct,BookingsNoShowed,0
13445,GBR,39,44,346.5,65,0,Travel Agent/Operator,BookingsNoShowed,0
13446,ESP,56,21,220,107.5,0,Travel Agent/Operator,BookingsNoShowed,0
13447,FRA,27,31,383.1,186.4,0,Travel Agent/Operator,BookingsNoShowed,0
13448,BEL,62,8,133,29,0,Travel Agent/Operator,BookingsNoShowed,0
13449,CZE,36,17,252.2,103.7,0,Direct,BookingsNoShowed,0
13451,FRA,31,39,503.1,39,0,Travel Agent/Operator,BookingsNoShowed,0
13453,AUT,35,35,891,22,0,Travel Agent/Operator,BookingsNoShowed,0
13454,FRA,29,17,118,2,0,Travel Agent/Operator,BookingsNoShowed,0
13455,GBR,27,54,489,70,0,Travel Agent/Operator,BookingsNoShowed,0
13456,GBR,40,3,129,14,0,Travel Agent/Operator,BookingsNoShowed,0
13457,BEL,35,35,348,136,0,Travel Agent/Operator,BookingsNoShowed,0
13458,DEU,56,70,208.25,31.5,0,Travel Agent/Operator,BookingsNoShowed,0
13459,NOR,50,74,335.75,25,0,Travel Agent/Operator,BookingsNoShowed,0
13460,DEU,39,54,391.2,113.5,0,Travel Agent/Operator,BookingsNoShowed,0
13461,PRT,51,180,534.65,82,0,Travel Agent/Operator,BookingsNoShowed,0
13462,CHN,57,28,198,4,0,Travel Agent/Operator,BookingsNoShowed,0
13463,USA,71,190,289.72,155.5,0,Travel Agent/Operator,BookingsNoShowed,0
13464,USA,30,190,313.72,36,0,Travel Agent/Operator,BookingsNoShowed,0
13465,DEU,43,41,99,2,0,Travel Agent/Operator,BookingsNoShowed,0
13466,USA,48,64,130.5,27,0,Travel Agent/Operator,BookingsNoShowed,0
13467,CAN,42,37,76.23,2,0,Travel Agent/Operator,BookingsNoShowed,0
13468,ESP,42,30,305.6,166,0,Travel Agent/Operator,BookingsNoShowed,0
13469,SWE,57,38,534.9,77,0,Travel Agent/Operator,BookingsNoShowed,0
13470,JPN,48,0,144,28,0,Direct,BookingsNoShowed,0
13471,ESP,51,21,669,84,0,Travel Agent/Operator,BookingsNoShowed,0
13472,JPN,56,48,124.2,41.5,0,Travel Agent/Operator,BookingsNoShowed,0
13473,BEL,28,33,497.1,107.5,0,Travel Agent/Operator,BookingsNoShowed,0
13474,IRL,29,36,198,15,0,Travel Agent/Operator,BookingsNoShowed,0
13475,ESP,32,30,217.6,110.4,0,Travel Agent/Operator,BookingsNoShowed,0
13476,GBR,54,8,119,12,0,Travel Agent/Operator,BookingsNoShowed,0
13477,DEU,54,145,548.7,109,0,Travel Agent/Operator,BookingsNoShowed,0
13478,DEU,69,222,252.9,47,0,Travel Agent/Operator,BookingsNoShowed,0
13479,ESP,30,37,444,110.5,0,Travel Agent/Operator,BookingsNoShowed,0
13480,NLD,44,38,97.8,21.5,0,Travel Agent/Operator,BookingsNoShowed,0
13481,DEU,50,222,421.5,66,0,Travel Agent/Operator,BookingsNoShowed,0
13482,FRA,28,47,391.2,56,0,Travel Agent/Operator,BookingsNoShowed,0
13483,BEL,58,34,393.6,95,0,Travel Agent/Operator,BookingsNoShowed,0
13484,BEL,29,44,297,32,0,Travel Agent/Operator,BookingsNoShowed,0
13485,DEU,64,35,297,114,0,Travel Agent/Operator,BookingsNoShowed,0
13486,BEL,27,90,353.7,44.81,0,Travel Agent/Operator,BookingsNoShowed,0
13487,BEL,33,35,428,66,0,Travel Agent/Operator,BookingsNoShowed,0
13488,HRV,17,0,1917,508.5,0,Travel Agent/Operator,BookingsNoShowed,0
13489,NLD,64,30,391.2,65.5,0,Travel Agent/Operator,BookingsNoShowed,0
13490,ESP,40,76,272,78,0,Travel Agent/Operator,BookingsNoShowed,0
13491,GBR,38,3,128,43,0,Direct,BookingsNoShowed,0
13492,IRL,58,32,72.42,2,0,Travel Agent/Operator,BookingsNoShowed,0
13493,FRA,34,24,330,31,0,Travel Agent/Operator,BookingsNoShowed,0
13494,BEL,51,6,963,149,0,Direct,BookingsNoShowed,0
13495,PRT,41,1,231,40,0,Travel Agent/Operator,BookingsNoShowed,0
13496,BRA,34,33,98.4,9.5,0,Travel Agent/Operator,BookingsNoShowed,0
13497,GBR,33,2,351,205.5,0,Travel Agent/Operator,BookingsNoShowed,0
13498,DEU,53,45,195.6,46,0,Travel Agent/Operator,BookingsNoShowed,0
13499,GBR,42,235,256.5,92,0,Travel Agent/Operator,BookingsNoShowed,0
13500,FRA,57,46,415.85,113,0,Travel Agent/Operator,BookingsNoShowed,0
