Company Name,ISIN,BBG Ticker,var,value
DENSO CORPORATION,JP3551500006,6902 JP Equity,42170,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42170,0
Autoliv Inc.,US0528001094,ALV US Equity,42170,0.03
Visteon Corporation,US92839U2069,VC US Equity,42170,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42170,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42170,0
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42170,0
Cray Inc.,US2252233042,CRAY US Equity,42170,0.03
ISRA VISION AG,DE0005488100,ISR GR Equity,42170,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42170,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,42170,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,42170,0.03
STMicroelectronics NV,NL0000226223,STM FP Equity,42170,0.05
ams AG,AT0000A18XM4,AMS SW Equity,42170,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42170,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42170,0.03
Kopin Corporation,US5006001011,KOPN US Equity,42170,0
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42170,0.03
ARM Holding,GB0000595859,ARM LN Equity,42170,0.05
Qualcomm,US7475251036,QCOM US Equity,42170,0
MobileEye,NL0010831061,MBBYF US Equity,42170,0.05
Teradyne,US8807701029,TER US Equity,42170,0.03
Omron,JP3197800000,6645 JP Equity,42170,0
Facebook,US30303M1027,FB US Equity,42170,0.03
Lumentum,US55024U1097,LITE US Equity,42170,0
Finisar,US31787A5074,FNSR US Equity,42170,0
II-VI,US9021041085,IIVI US Equity,42170,0
Fabrinet,KYG3323L1005,FN US Equity,42170,0
iRobot Corporation,US4627261005,IRBT US Equity,42262,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42262,0.03
Fanuc Corporation,JP3802400006,6954 JP Equity,42262,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42262,0.05
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42262,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42262,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42262,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42262,0.03
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42262,0
Cognex Corporation,US1924221039,CGNX US Equity,42262,0
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42262,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42262,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42262,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42262,0.03
Adept Technology,US0068542028,ADEP US Equity,42262,0
Renishaw plc,GB0007323586,RSW LN Equity,42262,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42262,0
BlackBerry Limited,CA09228F1036,BB CN Equity,42262,0.03
DENSO CORPORATION,JP3551500006,6902 JP Equity,42262,0.05
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42262,0
Autoliv Inc.,US0528001094,ALV US Equity,42262,0.03
Visteon Corporation,US92839U2069,VC US Equity,42262,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42262,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42262,0
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42262,0
Cray Inc.,US2252233042,CRAY US Equity,42262,0
ISRA VISION AG,DE0005488100,ISR GR Equity,42262,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42262,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,42262,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,42262,0.03
STMicroelectronics NV,NL0000226223,STM FP Equity,42262,0.05
ams AG,AT0000A18XM4,AMS SW Equity,42262,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42262,0
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42262,0.03
Kopin Corporation,US5006001011,KOPN US Equity,42262,0
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42262,0.03
ARM Holding,GB0000595859,ARM LN Equity,42262,0.05
Qualcomm,US7475251036,QCOM US Equity,42262,0
MobileEye,NL0010831061,MBBYF US Equity,42262,0.05
Teradyne,US8807701029,TER US Equity,42262,0.03
Omron,JP3197800000,6645 JP Equity,42262,0.03
Facebook,US30303M1027,FB US Equity,42262,0.03
Lumentum,US55024U1097,LITE US Equity,42262,0
Finisar,US31787A5074,FNSR US Equity,42262,0
II-VI,US9021041085,IIVI US Equity,42262,0
Fabrinet,KYG3323L1005,FN US Equity,42262,0
iRobot Corporation,US4627261005,IRBT US Equity,42353,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42353,0
Fanuc Corporation,JP3802400006,6954 JP Equity,42353,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42353,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42353,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42353,0.05
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42353,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42353,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42353,0
Cognex Corporation,US1924221039,CGNX US Equity,42353,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42353,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42353,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42353,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42353,0.03
Adept Technology,US0068542028,ADEP US Equity,42353,0
Renishaw plc,GB0007323586,RSW LN Equity,42353,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42353,0
BlackBerry Limited,CA09228F1036,BB CN Equity,42353,0.03
DENSO CORPORATION,JP3551500006,6902 JP Equity,42353,0.05
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42353,0
Autoliv Inc.,US0528001094,ALV US Equity,42353,0.03
Visteon Corporation,US92839U2069,VC US Equity,42353,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42353,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42353,0
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42353,0.03
Cray Inc.,US2252233042,CRAY US Equity,42353,0.03
ISRA VISION AG,DE0005488100,ISR GR Equity,42353,0
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42353,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,42353,0.05
SK hynix Inc,KR7000660001,000660 KS Equity,42353,0
STMicroelectronics NV,NL0000226223,STM FP Equity,42353,0.03
ams AG,AT0000A18XM4,AMS SW Equity,42353,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42353,0
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42353,0.03
Kopin Corporation,US5006001011,KOPN US Equity,42353,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42353,0.03
ARM Holding,GB0000595859,ARM LN Equity,42353,0.05
Qualcomm,US7475251036,QCOM US Equity,42353,0
MobileEye,NL0010831061,MBBYF US Equity,42353,0.05
Teradyne,US8807701029,TER US Equity,42353,0.03
Omron,JP3197800000,6645 JP Equity,42353,0.03
Facebook,US30303M1027,FB US Equity,42353,0.03
Lumentum,US55024U1097,LITE US Equity,42353,0
Finisar,US31787A5074,FNSR US Equity,42353,0
II-VI,US9021041085,IIVI US Equity,42353,0
Fabrinet,KYG3323L1005,FN US Equity,42353,0
iRobot Corporation,US4627261005,IRBT US Equity,42444,0
ABB Ltd.,CH0012221716,ABBN SW Equity,42444,0
Fanuc Corporation,JP3802400006,6954 JP Equity,42444,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42444,0
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42444,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42444,0.05
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42444,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42444,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42444,0
Cognex Corporation,US1924221039,CGNX US Equity,42444,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42444,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42444,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42444,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42444,0.03
Adept Technology,US0068542028,ADEP US Equity,42444,0
Renishaw plc,GB0007323586,RSW LN Equity,42444,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42444,0.03
BlackBerry Limited,CA09228F1036,BB CN Equity,42444,0.03
DENSO CORPORATION,JP3551500006,6902 JP Equity,42444,0.05
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42444,0
Autoliv Inc.,US0528001094,ALV US Equity,42444,0.03
Visteon Corporation,US92839U2069,VC US Equity,42444,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42444,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42444,0
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42444,0.05
Cray Inc.,US2252233042,CRAY US Equity,42444,0.03
ISRA VISION AG,DE0005488100,ISR GR Equity,42444,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42444,0.05
"Micron Technology, Inc.",US5951121038,MU US Equity,42444,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,42444,0.03
STMicroelectronics NV,NL0000226223,STM FP Equity,42444,0.03
ams AG,AT0000A18XM4,AMS SW Equity,42444,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42444,0
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42444,0.03
Kopin Corporation,US5006001011,KOPN US Equity,42444,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42444,0.03
ARM Holding,GB0000595859,ARM LN Equity,42444,0
Qualcomm,US7475251036,QCOM US Equity,42444,0
MobileEye,NL0010831061,MBBYF US Equity,42444,0.03
Teradyne,US8807701029,TER US Equity,42444,0.03
Omron,JP3197800000,6645 JP Equity,42444,0
Facebook,US30303M1027,FB US Equity,42444,0
Lumentum,US55024U1097,LITE US Equity,42444,0
Finisar,US31787A5074,FNSR US Equity,42444,0.05
II-VI,US9021041085,IIVI US Equity,42444,0.03
Fabrinet,KYG3323L1005,FN US Equity,42444,0
iRobot Corporation,US4627261005,IRBT US Equity,42536,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42536,0
Fanuc Corporation,JP3802400006,6954 JP Equity,42536,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42536,0
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42536,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42536,0.05
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42536,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42536,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42536,0
Cognex Corporation,US1924221039,CGNX US Equity,42536,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42536,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42536,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42536,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42536,0.03
Adept Technology,US0068542028,ADEP US Equity,42536,0
Renishaw plc,GB0007323586,RSW LN Equity,42536,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42536,0.03
BlackBerry Limited,CA09228F1036,BB CN Equity,42536,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,42536,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42536,0
Autoliv Inc.,US0528001094,ALV US Equity,42536,0.03
Visteon Corporation,US92839U2069,VC US Equity,42536,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42536,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42536,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42536,0.03
Cray Inc.,US2252233042,CRAY US Equity,42536,0
ISRA VISION AG,DE0005488100,ISR GR Equity,42536,0
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42536,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,42536,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,42536,0.03
STMicroelectronics NV,NL0000226223,STM FP Equity,42536,0.03
ams AG,AT0000A18XM4,AMS SW Equity,42536,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42536,0
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42536,0.05
Kopin Corporation,US5006001011,KOPN US Equity,42536,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42536,0.03
ARM Holding,GB0000595859,ARM LN Equity,42536,0
Qualcomm,US7475251036,QCOM US Equity,42536,0
MobileEye,NL0010831061,MBBYF US Equity,42536,0.03
Teradyne,US8807701029,TER US Equity,42536,0.03
Omron,JP3197800000,6645 JP Equity,42536,0
Facebook,US30303M1027,FB US Equity,42536,0
Lumentum,US55024U1097,LITE US Equity,42536,0
Finisar,US31787A5074,FNSR US Equity,42536,0.05
II-VI,US9021041085,IIVI US Equity,42536,0.05
Fabrinet,KYG3323L1005,FN US Equity,42536,0.05
iRobot Corporation,US4627261005,IRBT US Equity,42628,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42628,0
Fanuc Corporation,JP3802400006,6954 JP Equity,42628,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42628,0
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42628,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42628,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42628,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42628,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42628,0
Cognex Corporation,US1924221039,CGNX US Equity,42628,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42628,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42628,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42628,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42628,0.03
Adept Technology,US0068542028,ADEP US Equity,42628,0
Renishaw plc,GB0007323586,RSW LN Equity,42628,0.05
Tesla Inc,US88160R1014,TSLA US Equity,42628,0.03
BlackBerry Limited,CA09228F1036,BB CN Equity,42628,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,42628,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42628,0
Autoliv Inc.,US0528001094,ALV US Equity,42628,0.03
Visteon Corporation,US92839U2069,VC US Equity,42628,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42628,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42628,0
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42628,0
Cray Inc.,US2252233042,CRAY US Equity,42628,0.03
ISRA VISION AG,DE0005488100,ISR GR Equity,42628,0
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42628,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,42628,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,42628,0.03
STMicroelectronics NV,NL0000226223,STM FP Equity,42628,0.03
ams AG,AT0000A18XM4,AMS SW Equity,42628,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42628,0
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42628,0.03
Kopin Corporation,US5006001011,KOPN US Equity,42628,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42628,0.03
ARM Holding,GB0000595859,ARM LN Equity,42628,0
Qualcomm,US7475251036,QCOM US Equity,42628,0
MobileEye,NL0010831061,MBBYF US Equity,42628,0.03
Teradyne,US8807701029,TER US Equity,42628,0.03
Omron,JP3197800000,6645 JP Equity,42628,0
Facebook,US30303M1027,FB US Equity,42628,0
Lumentum,US55024U1097,LITE US Equity,42628,0.05
Finisar,US31787A5074,FNSR US Equity,42628,0.05
II-VI,US9021041085,IIVI US Equity,42628,0.05
Fabrinet,KYG3323L1005,FN US Equity,42628,0.05
iRobot Corporation,US4627261005,IRBT US Equity,42719,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42719,0
Fanuc Corporation,JP3802400006,6954 JP Equity,42719,0
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42719,0
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42719,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42719,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42719,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42719,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42719,0
Cognex Corporation,US1924221039,CGNX US Equity,42719,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42719,0
Keyence Corporation,JP3236200006,6861 JP Equity,42719,0
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42719,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42719,0.03
Adept Technology,US0068542028,ADEP US Equity,42719,0
Renishaw plc,GB0007323586,RSW LN Equity,42719,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42719,0
BlackBerry Limited,CA09228F1036,BB CN Equity,42719,0.03
DENSO CORPORATION,JP3551500006,6902 JP Equity,42719,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42719,0
Autoliv Inc.,US0528001094,ALV US Equity,42719,0.03
Visteon Corporation,US92839U2069,VC US Equity,42719,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42719,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42719,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42719,0.03
Cray Inc.,US2252233042,CRAY US Equity,42719,0.03
ISRA VISION AG,DE0005488100,ISR GR Equity,42719,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42719,0.05
"Micron Technology, Inc.",US5951121038,MU US Equity,42719,0.05
SK hynix Inc,KR7000660001,000660 KS Equity,42719,0.03
STMicroelectronics NV,NL0000226223,STM FP Equity,42719,0.03
ams AG,AT0000A18XM4,AMS SW Equity,42719,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42719,0
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42719,0.03
Kopin Corporation,US5006001011,KOPN US Equity,42719,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42719,0.03
ARM Holding,GB0000595859,ARM LN Equity,42719,0
Qualcomm,US7475251036,QCOM US Equity,42719,0
MobileEye,NL0010831061,MBBYF US Equity,42719,0.03
Teradyne,US8807701029,TER US Equity,42719,0.03
Omron,JP3197800000,6645 JP Equity,42719,0
Facebook,US30303M1027,FB US Equity,42719,0
Lumentum,US55024U1097,LITE US Equity,42719,0.05
Finisar,US31787A5074,FNSR US Equity,42719,0.05
II-VI,US9021041085,IIVI US Equity,42719,0.05
Fabrinet,KYG3323L1005,FN US Equity,42719,0.03
iRobot Corporation,US4627261005,IRBT US Equity,42809,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42809,0
Fanuc Corporation,JP3802400006,6954 JP Equity,42809,0
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42809,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42809,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42809,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42809,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42809,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42809,0
Cognex Corporation,US1924221039,CGNX US Equity,42809,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42809,0
Keyence Corporation,JP3236200006,6861 JP Equity,42809,0
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42809,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42809,0.03
Adept Technology,US0068542028,ADEP US Equity,42809,0
Renishaw plc,GB0007323586,RSW LN Equity,42809,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42809,0.03
BlackBerry Limited,CA09228F1036,BB CN Equity,42809,0.03
DENSO CORPORATION,JP3551500006,6902 JP Equity,42809,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42809,0
Autoliv Inc.,US0528001094,ALV US Equity,42809,0.03
Visteon Corporation,US92839U2069,VC US Equity,42809,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42809,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42809,0.05
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42809,0.03
Cray Inc.,US2252233042,CRAY US Equity,42809,0
ISRA VISION AG,DE0005488100,ISR GR Equity,42809,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42809,0.05
"Micron Technology, Inc.",US5951121038,MU US Equity,42809,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,42809,0.03
STMicroelectronics NV,NL0000226223,STM FP Equity,42809,0.03
ams AG,AT0000A18XM4,AMS SW Equity,42809,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42809,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42809,0.03
Kopin Corporation,US5006001011,KOPN US Equity,42809,0
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42809,0.03
ARM Holding,GB0000595859,ARM LN Equity,42809,0
Qualcomm,US7475251036,QCOM US Equity,42809,0
MobileEye,NL0010831061,MBBYF US Equity,42809,0
Teradyne,US8807701029,TER US Equity,42809,0.03
Omron,JP3197800000,6645 JP Equity,42809,0
Facebook,US30303M1027,FB US Equity,42809,0
Lumentum,US55024U1097,LITE US Equity,42809,0.05
Finisar,US31787A5074,FNSR US Equity,42809,0.05
II-VI,US9021041085,IIVI US Equity,42809,0.05
Fabrinet,KYG3323L1005,FN US Equity,42809,0.03
iRobot Corporation,US4627261005,IRBT US Equity,42901,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42901,0
Fanuc Corporation,JP3802400006,6954 JP Equity,42901,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42901,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42901,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42901,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42901,0
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42901,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42901,0
Cognex Corporation,US1924221039,CGNX US Equity,42901,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42901,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42901,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42901,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42901,0.03
Adept Technology,US0068542028,ADEP US Equity,42901,0
Renishaw plc,GB0007323586,RSW LN Equity,42901,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42901,0.03
BlackBerry Limited,CA09228F1036,BB CN Equity,42901,0.03
DENSO CORPORATION,JP3551500006,6902 JP Equity,42901,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42901,0
Autoliv Inc.,US0528001094,ALV US Equity,42901,0
Visteon Corporation,US92839U2069,VC US Equity,42901,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42901,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42901,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42901,0
Cray Inc.,US2252233042,CRAY US Equity,42901,0
ISRA VISION AG,DE0005488100,ISR GR Equity,42901,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42901,0.05
"Micron Technology, Inc.",US5951121038,MU US Equity,42901,0.05
SK hynix Inc,KR7000660001,000660 KS Equity,42901,0.05
STMicroelectronics NV,NL0000226223,STM FP Equity,42901,0.03
ams AG,AT0000A18XM4,AMS SW Equity,42901,0
HTC Corporation,TW0002498003,2498 TT Equity,42901,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42901,0
Kopin Corporation,US5006001011,KOPN US Equity,42901,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42901,0.03
ARM Holding,GB0000595859,ARM LN Equity,42901,0
Qualcomm,US7475251036,QCOM US Equity,42901,0
MobileEye,NL0010831061,MBBYF US Equity,42901,0
Teradyne,US8807701029,TER US Equity,42901,0.03
Omron,JP3197800000,6645 JP Equity,42901,0.03
Facebook,US30303M1027,FB US Equity,42901,0
Lumentum,US55024U1097,LITE US Equity,42901,0.05
Finisar,US31787A5074,FNSR US Equity,42901,0.03
II-VI,US9021041085,IIVI US Equity,42901,0.05
Fabrinet,KYG3323L1005,FN US Equity,42901,0.03
iRobot Corporation,US4627261005,IRBT US Equity,42993,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42993,0.03
Fanuc Corporation,JP3802400006,6954 JP Equity,42993,0.03
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42993,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42993,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42993,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42993,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42993,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42993,0
Cognex Corporation,US1924221039,CGNX US Equity,42993,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42993,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42993,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42993,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42993,0.03
Adept Technology,US0068542028,ADEP US Equity,42993,0
Renishaw plc,GB0007323586,RSW LN Equity,42993,0.05
Tesla Inc,US88160R1014,TSLA US Equity,42993,0.03
BlackBerry Limited,CA09228F1036,BB CN Equity,42993,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,42993,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42993,0
Autoliv Inc.,US0528001094,ALV US Equity,42993,0.03
Visteon Corporation,US92839U2069,VC US Equity,42993,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42993,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42993,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42993,0
Cray Inc.,US2252233042,CRAY US Equity,42993,0
ISRA VISION AG,DE0005488100,ISR GR Equity,42993,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42993,0.05
"Micron Technology, Inc.",US5951121038,MU US Equity,42993,0.05
SK hynix Inc,KR7000660001,000660 KS Equity,42993,0.05
STMicroelectronics NV,NL0000226223,STM FP Equity,42993,0.03
ams AG,AT0000A18XM4,AMS SW Equity,42993,0
HTC Corporation,TW0002498003,2498 TT Equity,42993,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42993,0
Kopin Corporation,US5006001011,KOPN US Equity,42993,0
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42993,0.03
ARM Holding,GB0000595859,ARM LN Equity,42993,0
