Index,id_in_session,participant.code,index_in_pages,current_app_name,time_started,session_code,id_in_group,choice_1,distance_1,time_1,price_1,rowA_1,rowB_1,colA_1,colB_1,priceA_1,priceB_1,legroomA_1,legroomB_1,distance_2,choice_2,time_2,price_2,rowA_2,rowB_2,colA_2,colB_2,priceA_2,priceB_2,legroomA_2,legroomB_2,choice_3,distance_3,time_3,price_3,rowA_3,rowB_3,colA_3,colB_3,priceA_3,priceB_3,legroomA_3,legroomB_3
233,210,estf1j5a,23,survey,2021-04-19 17:21:23.664333+00:00,s6qkz77s,210,Seat A,4.3,Red-eye,200,13,27,E,E,13,2,0,1,1.0,Seat B,Red-eye,52,10,10,E,F,3,6,0,0,Seat A,4.2,Daytime,294,13,13,A,C,0,7,0,0
234,211,6ohq7fdp,23,survey,2021-04-19 17:30:06.668653+00:00,s6qkz77s,211,Seat B,1.8,Red-eye,88,13,27,E,E,16,0,0,1,4.7,Seat B,Red-eye,317,10,10,E,F,4,5,1,1,Seat A,3.5,Red-eye,190,13,13,A,C,4,4,1,1
237,214,alawydcd,23,survey,2021-04-19 17:36:52.982290+00:00,s6qkz77s,214,Seat A,4.7,Red-eye,255,13,27,E,E,8,2,1,1,3.7,Seat B,Daytime,211,10,10,E,F,1,4,0,0,Seat A,3.2,Daytime,123,13,13,A,C,0,1,1,1
240,217,yp2s1c53,23,survey,2021-04-19 18:08:15.424281+00:00,s6qkz77s,217,Seat A,4.1,Daytime,190,13,27,E,E,1,0,0,1,2.1,Seat B,Daytime,136,10,10,E,F,4,5,1,1,Seat A,4.8,Red-eye,185,13,13,A,C,4,13,1,1
242,219,6h9j44sw,23,survey,2021-04-19 18:26:50.495316+00:00,s6qkz77s,219,Seat A,2.1,Daytime,109,13,27,E,E,9,0,0,1,2.4,Seat B,Daytime,124,10,10,E,F,2,5,0,0,Seat A,2.0,Red-eye,135,13,13,A,C,1,11,1,1
245,222,fu3m0c4p,23,survey,2021-04-19 19:28:04.604432+00:00,s6qkz77s,222,Seat B,1.3,Red-eye,64,13,27,E,E,21,3,0,1,3.1,Seat B,Daytime,177,10,10,E,F,3,5,0,0,Seat B,1.8,Daytime,65,13,13,A,C,3,6,1,1
248,225,mkvc97ry,23,survey,2021-04-19 20:49:15.576815+00:00,s6qkz77s,225,Seat A,4.2,Red-eye,283,13,27,E,E,11,2,1,1,1.7,Seat B,Red-eye,119,10,10,E,F,4,5,0,0,Seat A,3.1,Red-eye,152,13,13,A,C,3,17,0,0
252,229,k5chk03z,23,survey,2021-04-19 21:09:20.980906+00:00,s6qkz77s,229,Seat A,3.7,Daytime,250,13,27,E,E,18,1,1,1,1.0,Seat B,Daytime,60,10,10,E,F,2,6,1,1,Seat B,2.8,Red-eye,159,13,13,A,C,2,12,1,1
254,231,ouo6lzh3,23,survey,2021-04-19 21:20:21.224457+00:00,s6qkz77s,231,Seat A,3.1,Daytime,160,13,27,E,E,18,0,0,1,2.4,Seat B,Red-eye,137,10,10,E,F,4,6,1,1,Seat A,2.4,Red-eye,105,13,13,A,C,4,14,0,0
256,233,tyj911oc,23,survey,2021-04-19 22:03:12.651128+00:00,s6qkz77s,233,Seat A,2.7,Red-eye,175,13,27,E,E,14,1,0,1,5.2,Seat B,Red-eye,228,10,10,E,F,2,4,0,0,Seat A,1.6,Red-eye,104,13,13,A,C,2,6,0,0
258,235,o66m5xzp,23,survey,2021-04-19 22:14:34.641677+00:00,s6qkz77s,235,Seat A,1.6,Daytime,70,13,27,E,E,14,4,0,1,1.9,Seat B,Red-eye,93,10,10,E,F,1,2,1,1,Seat A,3.1,Daytime,144,13,13,A,C,4,12,1,1
260,237,be6g4zxd,23,survey,2021-04-19 22:31:53.668530+00:00,s6qkz77s,237,Seat A,5.4,Daytime,350,13,27,E,E,10,0,1,1,3.0,Seat B,Daytime,187,10,10,E,F,3,6,1,1,Seat B,1.1,Daytime,71,13,13,A,C,4,16,1,1
261,238,x6xv1b71,23,survey,2021-04-19 22:35:21.692711+00:00,s6qkz77s,238,Seat A,5.4,Red-eye,350,13,27,E,E,4,0,0,1,1.2,Seat B,Red-eye,81,10,10,E,F,1,2,0,0,Seat A,1.8,Daytime,103,13,13,A,C,1,12,1,1
262,239,e7wnjmvl,23,survey,2021-04-19 22:38:03.144116+00:00,s6qkz77s,239,Seat A,1.9,Daytime,113,13,27,E,E,10,0,1,1,1.8,Seat B,Daytime,84,10,10,E,F,2,3,1,1,Seat A,2.5,Daytime,96,13,13,A,C,4,13,0,0
268,245,cuozyjkk,23,survey,2021-04-19 23:58:49.823344+00:00,s6qkz77s,245,Seat B,2.4,Red-eye,105,13,27,E,E,17,0,1,1,1.0,Seat B,Red-eye,41,10,10,E,F,1,4,0,0,Seat B,2.4,Red-eye,99,13,13,A,C,0,14,1,1
269,246,m3q764a6,23,survey,2021-04-20 00:11:25.965353+00:00,s6qkz77s,246,Seat B,3.1,Red-eye,217,13,27,E,E,21,4,0,1,1.6,Seat A,Daytime,83,10,10,E,F,4,7,1,1,Seat A,3.1,Daytime,185,13,13,A,C,0,3,0,0
271,248,9kfgqri5,23,survey,2021-04-20 00:56:17.132959+00:00,s6qkz77s,248,Seat A,1.0,Daytime,52,13,27,E,E,12,1,0,1,5.0,Seat B,Daytime,272,10,10,E,F,4,7,1,1,Seat A,4.2,Daytime,239,13,13,A,C,4,18,1,1
273,250,1ehp35ck,23,survey,2021-04-20 01:06:02.079305+00:00,s6qkz77s,250,Seat B,3.9,Red-eye,140,13,27,E,E,3,0,0,1,0.9,Seat B,Red-eye,61,10,10,E,F,2,5,1,1,Seat A,0.9,Red-eye,35,13,13,A,C,2,16,1,1
275,252,g6p3kc0r,23,survey,2021-04-20 01:21:26.627186+00:00,s6qkz77s,252,Seat B,2.9,Red-eye,104,13,27,E,E,11,0,0,1,1.9,Seat B,Red-eye,103,10,10,E,F,3,4,1,1,Seat B,1.3,Red-eye,81,13,13,A,C,2,8,0,0
277,254,ptezpkkz,23,survey,2021-04-20 01:29:22.179444+00:00,s6qkz77s,254,Seat A,4.7,Red-eye,169,13,27,E,E,11,2,1,1,1.9,Seat B,Daytime,83,10,10,E,F,1,3,1,1,Seat A,4.6,Daytime,214,13,13,A,C,4,6,0,0
280,257,3mz39kn4,23,survey,2021-04-20 02:17:37.693080+00:00,s6qkz77s,257,Seat A,4.0,Red-eye,196,13,27,E,E,8,3,0,1,2.0,Seat B,Red-eye,130,10,10,E,F,3,5,1,1,Seat A,2.8,Red-eye,196,13,13,A,C,0,3,0,0
281,258,j0lq47r1,23,survey,2021-04-20 02:26:54.917192+00:00,s6qkz77s,258,Seat A,3.0,Red-eye,171,13,27,E,E,1,0,0,1,3.7,Seat B,Daytime,201,10,10,E,F,1,5,1,1,Seat A,4.6,Red-eye,226,13,13,A,C,0,13,1,1
282,259,y5sc7xo1,23,survey,2021-04-20 02:49:57.329563+00:00,s6qkz77s,259,Seat A,2.9,Daytime,119,13,27,E,E,20,4,0,1,2.3,Seat B,Daytime,119,10,10,E,F,1,2,1,1,Seat B,2.7,Daytime,189,13,13,A,C,0,0,1,1
284,261,j0o0axbr,23,survey,2021-04-20 03:14:50.097114+00:00,s6qkz77s,261,Seat A,2.3,Red-eye,89,13,27,E,E,12,2,0,1,3.1,Seat B,Red-eye,144,10,10,E,F,2,6,0,0,Seat A,3.6,Red-eye,233,13,13,A,C,0,4,1,1
285,262,u6z6jhho,23,survey,2021-04-20 03:29:47.575848+00:00,s6qkz77s,262,Seat A,4.3,Daytime,166,13,27,E,E,11,3,0,1,0.9,Seat B,Red-eye,54,10,10,E,F,1,5,1,1,Seat A,4.2,Daytime,283,13,13,A,C,3,7,0,0
286,263,vrda49zg,23,survey,2021-04-20 03:37:59.627273+00:00,s6qkz77s,263,Seat A,5.3,Red-eye,330,13,27,E,E,5,0,0,1,2.3,Seat B,Red-eye,89,10,10,E,F,4,6,0,0,Seat A,5.4,Daytime,279,13,13,A,C,1,8,1,1
287,264,r4c0go0u,23,survey,2021-04-20 03:53:29.214836+00:00,s6qkz77s,264,Seat A,4.5,Red-eye,173,13,27,E,E,4,1,1,1,1.6,Seat B,Red-eye,57,10,10,E,F,2,3,0,0,Seat A,2.3,Red-eye,125,13,13,A,C,3,13,0,0
288,265,itrvlxgc,23,survey,2021-04-20 03:54:55.529207+00:00,s6qkz77s,265,Seat B,4.9,Daytime,227,13,27,E,E,17,0,0,1,1.0,Seat A,Red-eye,65,10,10,E,F,2,6,0,0,Seat A,4.0,Daytime,154,13,13,A,C,3,14,1,1
289,266,lthazsu5,23,survey,2021-04-20 04:01:29.847908+00:00,s6qkz77s,266,Seat A,1.8,Daytime,112,13,27,E,E,13,0,0,1,3.8,Seat B,Red-eye,156,10,10,E,F,4,5,1,1,Seat A,4.7,Daytime,317,13,13,A,C,1,3,1,1
291,268,1mpln7yg,23,survey,2021-04-20 04:13:03.227995+00:00,s6qkz77s,268,Seat B,3.7,Red-eye,220,13,27,E,E,14,0,1,1,5.0,Seat B,Daytime,206,10,10,E,F,4,5,0,0,Seat A,3.3,Daytime,214,13,13,A,C,4,10,1,1
294,271,1ctk46qw,23,survey,2021-04-20 04:36:20.026355+00:00,s6qkz77s,271,Seat A,5.4,Red-eye,379,13,27,E,E,9,0,1,1,3.0,Seat B,Red-eye,131,10,10,E,F,2,4,1,1,Seat B,2.8,Red-eye,152,13,13,A,C,2,6,0,0
297,274,70c9fbmj,23,survey,2021-04-20 05:39:56.561273+00:00,s6qkz77s,274,Seat A,4.8,Daytime,324,13,27,E,E,21,4,0,1,4.2,Seat B,Red-eye,184,10,10,E,F,3,6,1,1,Seat A,4.5,Red-eye,221,13,13,A,C,1,9,1,1
299,276,vjpgskcu,23,survey,2021-04-20 07:47:17.307759+00:00,s6qkz77s,276,Seat A,4.7,Red-eye,218,13,27,E,E,10,3,0,1,1.8,Seat B,Red-eye,84,10,10,E,F,4,6,1,1,Seat B,1.7,Daytime,79,13,13,A,C,4,4,1,1
301,278,vx5oo434,23,survey,2021-04-20 09:04:36.443007+00:00,s6qkz77s,278,Seat A,3.5,Red-eye,199,13,27,E,E,16,0,0,1,4.0,Seat B,Red-eye,270,10,10,E,F,3,4,0,0,Seat A,1.6,Red-eye,70,13,13,A,C,0,14,0,0
304,281,77cpkrz2,23,survey,2021-04-20 13:21:54.687535+00:00,s6qkz77s,281,Seat A,4.0,Daytime,238,13,27,E,E,19,0,0,1,0.8,Seat B,Daytime,41,10,10,E,F,3,6,0,0,Seat B,3.5,Red-eye,227,13,13,A,C,1,11,0,0
305,282,ml9z0cnm,23,survey,2021-04-20 13:44:22.959552+00:00,s6qkz77s,282,Seat A,3.2,Daytime,140,13,27,E,E,7,0,1,1,3.2,Seat B,Red-eye,132,10,10,E,F,4,5,0,0,Seat A,4.4,Daytime,274,13,13,A,C,2,3,1,1
308,285,32ksjv56,23,survey,2021-04-20 17:31:10.649679+00:00,s6qkz77s,285,Seat B,4.1,Red-eye,169,13,27,E,E,22,3,1,1,1.2,Seat B,Daytime,78,10,10,E,F,4,6,0,0,Seat A,1.6,Daytime,78,13,13,A,C,1,5,1,1
314,291,65qsm5hv,23,survey,2021-04-20 23:40:09.294988+00:00,s6qkz77s,291,Seat A,2.5,Red-eye,162,13,27,E,E,10,3,0,1,1.8,Seat B,Daytime,98,10,10,E,F,2,3,1,1,Seat A,3.1,Daytime,177,13,13,A,C,0,10,0,0
315,292,nei1yhlz,23,survey,2021-04-20 23:47:01.206768+00:00,s6qkz77s,292,Seat B,1.6,Daytime,70,13,27,E,E,14,3,1,1,0.9,Seat B,Daytime,47,10,10,E,F,2,6,1,1,Seat A,3.5,Red-eye,126,13,13,A,C,3,11,0,0
318,295,y7ys7gfq,23,survey,2021-04-21 04:49:44.830792+00:00,s6qkz77s,295,Seat A,3.1,Red-eye,111,13,27,E,E,5,2,0,1,5.0,Seat B,Red-eye,311,10,10,E,F,1,3,1,1,Seat B,3.6,Red-eye,148,13,13,A,C,3,4,0,0
322,299,2qbqeeue,23,survey,2021-04-21 10:13:44.622729+00:00,s6qkz77s,299,Seat A,2.5,Red-eye,156,13,27,E,E,3,0,0,1,1.1,Seat B,Red-eye,57,10,10,E,F,4,6,1,1,Seat B,2.2,Red-eye,131,13,13,A,C,0,7,0,0
323,300,aykmap61,23,survey,2021-04-21 13:41:29.509177+00:00,s6qkz77s,300,Seat A,1.5,Red-eye,97,13,27,E,E,13,0,0,1,5.1,Seat B,Daytime,264,10,10,E,F,2,6,1,1,Seat B,2.4,Daytime,149,13,13,A,C,4,8,0,0
327,304,2s3cheld,23,survey,2021-04-21 15:22:46.013248+00:00,s6qkz77s,304,Seat A,0.8,Red-eye,33,13,27,E,E,10,0,0,1,5.0,Seat B,Daytime,298,10,10,E,F,3,7,0,0,Seat A,4.1,Daytime,180,13,13,A,C,2,13,0,0
328,305,cdadhwht,23,survey,2021-04-21 15:43:15.844716+00:00,s6qkz77s,305,Seat A,2.4,Daytime,156,13,27,E,E,16,1,0,1,1.8,Seat B,Daytime,121,10,10,E,F,2,6,1,1,Seat A,5.3,Daytime,246,13,13,A,C,4,11,1,1
