id,title,rating,year,duration,actor_1,actor_2,actor_3,actor_fb_likes_1,actor_fb_likes_2,actor_fb_likes_3
901,Lucky You,PG-13,2007.0,124.0,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,21000.0,3000.0,681.0
902,Catch Me If You Can,PG-13,2002.0,141.0,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,29000.0,15000.0,3000.0
903,Zero Dark Thirty,R,2012.0,157.0,Jennifer Ehle,Harold Perrineau,Parker Sawyers,1000.0,1000.0,304.0
904,The Break-Up,PG-13,2006.0,106.0,Jon Favreau,John Michael Higgins,Ann-Margret,4000.0,957.0,931.0
905,Mamma Mia!,PG-13,2008.0,108.0,Colin Firth,Meryl Streep,Julie Walters,14000.0,11000.0,838.0
906,Valentine's Day,PG-13,2010.0,125.0,Bradley Cooper,Taylor Lautner,Anne Hathaway,14000.0,12000.0,11000.0
907,The Dukes of Hazzard,PG-13,2005.0,107.0,Alice Greczyn,Jessica Simpson,Michael Weston,631.0,534.0,379.0
908,The Thin Red Line,R,1998.0,215.0,Nick Stahl,Miranda Otto,Dash Mihok,648.0,568.0,463.0
909,The Change-Up,R,2011.0,118.0,Ryan Reynolds,Olivia Wilde,Mircea Monroe,16000.0,10000.0,634.0
910,Man on the Moon,R,1999.0,118.0,Matt Price,Gerry Becker,Tom Dreesen,134.0,27.0,21.0
911,Casino,R,1995.0,178.0,Robert De Niro,Don Rickles,Kevin Pollak,22000.0,721.0,574.0
912,From Paris with Love,R,2010.0,92.0,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,211.0,135.0,75.0
913,Bulletproof Monk,PG-13,2003.0,104.0,Jaime King,Mako,Victoria Smurfit,961.0,691.0,343.0
914,"Me, Myself & Irene",R,2000.0,116.0,Robert Forster,Tony Cox,Rob Moran,889.0,624.0,79.0
915,Barnyard,PG,2006.0,90.0,Rob Paulsen,Wanda Sykes,Maurice LaMarche,677.0,560.0,523.0
916,Deck the Halls,PG,2006.0,93.0,Matthew Broderick,Jorge Garcia,Alia Shawkat,2000.0,1000.0,728.0
917,The Twilight Saga: New Moon,PG-13,2009.0,130.0,Robert Pattinson,Kristen Stewart,Taylor Lautner,21000.0,17000.0,12000.0
918,Shrek,PG,2001.0,90.0,Kathleen Freeman,Chris Miller,Bobby Block,145.0,50.0,21.0
919,The Adjustment Bureau,PG-13,2011.0,106.0,Matt Damon,Michael Kelly,Jon Stewart,13000.0,963.0,593.0
920,Robin Hood: Prince of Thieves,PG-13,1991.0,155.0,Alan Rickman,Morgan Freeman,Michael Wincott,25000.0,11000.0,721.0
921,Jerry Maguire,R,1996.0,139.0,Tom Cruise,Kelly Preston,Bonnie Hunt,10000.0,743.0,597.0
922,Ted,R,2012.0,112.0,Mila Kunis,Seth MacFarlane,Tom Skerritt,15000.0,3000.0,1000.0
923,As Good as It Gets,PG-13,1997.0,139.0,Lupe Ontiveros,Yeardley Smith,Shirley Knight,625.0,440.0,285.0
924,Patch Adams,PG-13,1998.0,115.0,Robin Williams,Philip Seymour Hoffman,Monica Potter,49000.0,22000.0,878.0
925,Anchorman 2: The Legend Continues,PG-13,2013.0,143.0,Harrison Ford,Will Ferrell,Steve Carell,11000.0,8000.0,7000.0
926,Mr. Deeds,PG-13,2002.0,96.0,Steve Buscemi,Adam Sandler,Peter Gallagher,12000.0,11000.0,828.0
927,Super 8,PG-13,2011.0,112.0,Joel Courtney,AJ Michalka,Zach Mills,1000.0,560.0,417.0
928,Erin Brockovich,R,2000.0,131.0,Julia Roberts,Albert Finney,Conchata Ferrell,8000.0,883.0,658.0
929,How to Lose a Guy in 10 Days,PG-13,2003.0,116.0,Matthew McConaughey,Adam Goldberg,Thomas Lennon,11000.0,1000.0,651.0
930,22 Jump Street,R,2014.0,112.0,Channing Tatum,Craig Roberts,Amber Stevens West,17000.0,920.0,584.0
931,Interview with the Vampire: The Vampire Chronicles,R,1994.0,123.0,Brad Pitt,Tom Cruise,Kirsten Dunst,11000.0,10000.0,4000.0
932,Yes Man,PG-13,2008.0,104.0,Bradley Cooper,Zooey Deschanel,Danny Masterson,14000.0,11000.0,1000.0
933,Central Intelligence,PG-13,2016.0,107.0,Dwayne Johnson,Thomas Kretschmann,Megan Park,12000.0,919.0,569.0
934,Stepmom,PG-13,1998.0,124.0,Julia Roberts,Liam Aiken,Herbert Russell,8000.0,818.0,701.0
935,Daddy's Home,PG-13,2015.0,96.0,Will Ferrell,Linda Cardellini,Mark L. Young,8000.0,2000.0,322.0
936,Into the Woods,PG,2014.0,125.0,Johnny Depp,Meryl Streep,Anna Kendrick,40000.0,11000.0,10000.0
937,Inside Man,R,2006.0,129.0,Denzel Washington,James Ransone,Peter Gerety,18000.0,412.0,277.0
938,Payback,R,1999.0,90.0,Bill Duke,Deborah Kara Unger,William Devane,1000.0,495.0,416.0
939,Congo,PG-13,1995.0,109.0,Dylan Walsh,Joe Don Baker,Grant Heslov,426.0,387.0,293.0
940,We Bought a Zoo,PG,2011.0,124.0,Scarlett Johansson,Matt Damon,Stephanie Szostak,19000.0,13000.0,1000.0
941,Knowing,PG-13,2009.0,121.0,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,12000.0,748.0,329.0
942,Failure to Launch,PG-13,2006.0,95.0,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,14000.0,11000.0,11000.0
943,The Ring Two,PG-13,2005.0,128.0,Naomi Watts,Gary Cole,Sissy Spacek,6000.0,989.0,874.0
944,"Crazy, Stupid, Love.",PG-13,2011.0,118.0,Ryan Gosling,Emma Stone,Steve Carell,33000.0,15000.0,7000.0
945,Garfield,PG,2004.0,80.0,Bill Murray,Mark Christopher Lawrence,Michael Monks,13000.0,258.0,58.0
946,Christmas with the Kranks,PG,2004.0,99.0,Jamie Lee Curtis,Cheech Marin,Jake Busey,2000.0,844.0,660.0
947,Moneyball,PG-13,2011.0,133.0,Philip Seymour Hoffman,Robin Wright,Brad Pitt,22000.0,18000.0,11000.0
948,Outbreak,R,1995.0,127.0,Kevin Spacey,Morgan Freeman,Rene Russo,18000.0,11000.0,808.0
949,Non-Stop,PG-13,2014.0,106.0,Liam Neeson,Nate Parker,Scoot McNairy,14000.0,664.0,660.0
950,Race to Witch Mountain,PG,2009.0,98.0,Dwayne Johnson,Billy Brown,Tom Everett Scott,12000.0,536.0,433.0
951,V for Vendetta,R,2005.0,132.0,Natalie Portman,Eddie Marsan,Rupert Graves,20000.0,979.0,443.0
952,Shanghai Knights,PG-13,2003.0,114.0,Fann Wong,Anna-Louise Plowman,Georgina Chapman,154.0,131.0,55.0
953,Unforgotten,,,45.0,Bernard Hill,Gemma Jones,Nicola Walker,416.0,171.0,132.0
954,Curious George,G,2006.0,78.0,Will Ferrell,Frank Welker,Alexander Gould,8000.0,2000.0,1000.0
955,Herbie Fully Loaded,G,2005.0,101.0,Scoot McNairy,Thomas Lennon,Cheryl Hines,660.0,651.0,541.0
956,Don't Say a Word,R,2001.0,113.0,Oliver Platt,Jennifer Esposito,Conrad Goode,1000.0,912.0,477.0
957,Hansel & Gretel: Witch Hunters,R,2013.0,98.0,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,10000.0,520.0,467.0
958,Unfaithful,R,2002.0,124.0,Olivier Martinez,Erik Per Sullivan,Chad Lowe,838.0,593.0,372.0
959,I Am Number Four,PG-13,2011.0,109.0,Alex Pettyfer,Emily Wickersham,Reuben Langdon,15000.0,348.0,144.0
960,Syriana,R,2005.0,128.0,Matt Damon,Amr Waked,Kayvan Novak,13000.0,903.0,414.0
961,13 Hours,R,2016.0,144.0,Toby Stephens,James Badge Dale,David Costabile,769.0,726.0,681.0
962,The Book of Life,PG,2014.0,95.0,Channing Tatum,Hector Elizondo,Ana de la Reguera,17000.0,995.0,679.0
963,Firewall,PG-13,2006.0,105.0,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,87000.0,11000.0,935.0
964,Absolute Power,R,1997.0,121.0,Clint Eastwood,Mark Margolis,Scott Glenn,16000.0,1000.0,826.0
965,G.I. Jane,R,1997.0,125.0,Viggo Mortensen,Demi Moore,John Michael Higgins,10000.0,2000.0,957.0
966,The Game,R,1997.0,129.0,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,495.0,294.0,283.0
967,Silent Hill,R,2006.0,132.0,Radha Mitchell,Deborah Kara Unger,Alice Krige,992.0,495.0,368.0
968,The Replacements,PG-13,2000.0,118.0,Keanu Reeves,Jon Favreau,Faizon Love,18000.0,4000.0,585.0
969,American Reunion,R,2012.0,113.0,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,3000.0,1000.0,1000.0
970,The Negotiator,R,1998.0,140.0,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,18000.0,822.0,294.0
971,Into the Storm,PG-13,2014.0,89.0,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,490.0,298.0,159.0
972,Beverly Hills Cop III,R,1994.0,104.0,Louis Lombardi,Jon Tenney,Gilbert R. Hill,437.0,289.0,174.0
973,Gremlins 2: The New Batch,PG-13,1990.0,106.0,Christopher Lee,Robert Picardo,Phoebe Cates,16000.0,823.0,767.0
974,The Judge,R,2014.0,141.0,Robert Downey Jr.,Robert Duvall,Leighton Meester,21000.0,3000.0,3000.0
975,The Peacemaker,R,1997.0,124.0,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,294.0,273.0,258.0
976,Resident Evil: Apocalypse,R,2004.0,98.0,Milla Jovovich,Thomas Kretschmann,Mike Epps,14000.0,919.0,706.0
977,Bridget Jones: The Edge of Reason,R,2004.0,108.0,Colin Firth,Jim Broadbent,Celia Imrie,14000.0,1000.0,186.0
978,Out of Time,R,2003.0,114.0,Denzel Washington,Sanaa Lathan,John Billingsley,18000.0,886.0,323.0
979,On Deadly Ground,R,1994.0,101.0,Mike Starr,Joan Chen,Sven-Ole Thorsen,854.0,643.0,158.0
980,The Adventures of Sharkboy and Lavagirl 3-D,PG,2005.0,93.0,Taylor Lautner,Kristin Davis,Taylor Dooley,12000.0,722.0,717.0
981,The Beach,R,2000.0,119.0,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,29000.0,414.0,39.0
982,Raising Helen,PG-13,2004.0,119.0,Amber Valletta,Felicity Huffman,Spencer Breslin,627.0,508.0,434.0
983,Ninja Assassin,R,2009.0,99.0,Shô Kosugi,Ben Miles,Rain,330.0,119.0,72.0
984,For Love of the Game,PG-13,1999.0,137.0,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,24000.0,743.0,432.0
985,A Touch of Frost,,,105.0,David Jason,Bruce Alexander,John Lyons,325.0,7.0,5.0
986,Striptease,R,1996.0,117.0,Demi Moore,Rumer Willis,Paul Guilfoyle,2000.0,472.0,210.0
987,Marmaduke,PG,2010.0,87.0,Emma Stone,Judy Greer,Steve Coogan,15000.0,2000.0,1000.0
988,Hereafter,PG-13,2010.0,129.0,Matt Damon,Jay Mohr,Cécile De France,13000.0,563.0,447.0
989,Murder by Numbers,R,2002.0,115.0,Ryan Gosling,Chris Penn,Agnes Bruckner,33000.0,455.0,401.0
990,Assassins,R,1995.0,132.0,Muse Watson,Sylvester Stallone,Kelly Rowan,45000.0,13000.0,282.0
991,Hannibal Rising,R,2007.0,131.0,Li Gong,Stephen Walters,Richard Brake,879.0,184.0,163.0
992,The Story of Us,R,1999.0,95.0,Bruce Willis,Tim Matheson,Rita Wilson,13000.0,559.0,323.0
993,The Host,PG-13,2013.0,125.0,J.D. Evermore,Chandler Canterbury,Rachel Roberts,430.0,329.0,201.0
994,Basic,R,2003.0,98.0,Connie Nielsen,Harry Connick Jr.,Tim Daly,933.0,631.0,511.0
995,Blood Work,R,2002.0,110.0,Clint Eastwood,Anjelica Huston,Rick Hoffman,16000.0,1000.0,581.0
996,The International,R,2009.0,118.0,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,6000.0,450.0,294.0
997,Escape from L.A.,R,1996.0,101.0,Steve Buscemi,Valeria Golino,Michelle Forbes,12000.0,898.0,764.0
998,Twisted,,,60.0,Grey Damon,Brittany Curran,Aaron Hill,629.0,512.0,398.0
999,The Iron Giant,PG,1999.0,90.0,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,14000.0,631.0,521.0
1000,The Life Aquatic with Steve Zissou,R,2004.0,119.0,Bill Murray,Anjelica Huston,Matthew Gray Gubler,13000.0,1000.0,639.0
1001,Free State of Jones,R,2016.0,139.0,Matthew McConaughey,Donald Watkins,Jessica Collins,11000.0,552.0,303.0
1002,The Life of David Gale,R,2003.0,130.0,Kevin Spacey,Kate Winslet,Matt Craven,18000.0,14000.0,256.0
1003,Man of the House,PG-13,2005.0,100.0,Christina Milian,Vanessa Ferlito,Kelli Garner,1000.0,923.0,730.0
1004,Run All Night,R,2015.0,114.0,Liam Neeson,Common,Bruce McGill,14000.0,989.0,655.0
1005,Eastern Promises,R,2007.0,96.0,Viggo Mortensen,Naomi Watts,Raza Jaffrey,10000.0,6000.0,509.0
1006,Into the Blue,PG-13,2005.0,110.0,Paul Walker,James Frain,Ashley Scott,23000.0,1000.0,795.0
1007,The Messenger: The Story of Joan of Arc,R,1999.0,158.0,Paul Brooke,David Bailie,Rab Affleck,51.0,40.0,15.0
1008,Your Highness,R,2011.0,102.0,Natalie Portman,Zooey Deschanel,James Franco,20000.0,11000.0,11000.0
1009,Dream House,PG-13,2011.0,84.0,Naomi Watts,Gregory Smith,Sarah Gadon,6000.0,694.0,692.0
1010,Mad City,PG-13,1997.0,115.0,Mia Kirshner,Blythe Danner,William Atherton,972.0,713.0,317.0
1011,Baby's Day Out,PG,1994.0,99.0,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,1000.0,619.0,479.0
1012,The Scarlet Letter,R,1995.0,135.0,Gary Oldman,Robert Duvall,Demi Moore,10000.0,3000.0,2000.0
1013,Fair Game,PG-13,2010.0,108.0,Naomi Watts,Ty Burrell,Brooke Smith,6000.0,3000.0,405.0
1014,Defiance,TV-MA,,43.0,Julie Benz,Tony Curran,Grant Bowler,3000.0,845.0,600.0
1015,Domino,R,2005.0,127.0,Ian Ziering,Mo'Nique,Edgar Ramírez,984.0,940.0,897.0
1016,Jade,R,1995.0,107.0,Michael Biehn,Chazz Palminteri,Linda Fiorentino,2000.0,979.0,602.0
1017,Gamer,R,2009.0,95.0,Gerard Butler,Logan Lerman,Alison Lohman,18000.0,8000.0,1000.0
1018,Beautiful Creatures,PG-13,2013.0,124.0,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,1000.0,852.0,592.0
1019,Death to Smoochy,R,2002.0,109.0,Robin Williams,Vincent Schiavelli,Danny Woodburn,49000.0,811.0,809.0
1020,Zoolander 2,PG-13,2016.0,102.0,Milla Jovovich,Will Ferrell,Justin Theroux,14000.0,8000.0,1000.0
1021,The Big Bounce,PG-13,2004.0,88.0,Morgan Freeman,Andrew Wilson,Willie Nelson,11000.0,387.0,338.0
1022,What Planet Are You From?,R,2000.0,87.0,Judy Greer,Linda Fiorentino,Garry Shandling,2000.0,602.0,591.0
1023,Drive Angry,R,2011.0,104.0,Nicolas Cage,Billy Burke,Katy Mixon,12000.0,2000.0,982.0
1024,Street Fighter: The Legend of Chun-Li,PG-13,2009.0,96.0,Chris Klein,Robin Shou,Josie Ho,841.0,342.0,77.0
1025,The One,PG-13,2001.0,85.0,Jason Statham,Jet Li,Delroy Lindo,26000.0,5000.0,848.0
1026,Outlander,TV-MA,,64.0,Tobias Menzies,Graham McTavish,Stephen Walters,1000.0,531.0,184.0
1027,The Adventures of Ford Fairlane,R,1990.0,104.0,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,879.0,560.0,380.0
1028,Pirate Radio,R,2009.0,135.0,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,22000.0,882.0,830.0
1029,Traffic,R,2000.0,190.0,Michael O'Neill,Jacob Vargas,James Lew,599.0,399.0,215.0
1030,Indiana Jones and the Last Crusade,PG-13,1989.0,127.0,Harrison Ford,Julian Glover,Alison Doody,11000.0,844.0,440.0
1031,Anna Karenina,R,2012.0,129.0,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,2000.0,35.0,0.0
1032,Chappie,R,2015.0,120.0,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,20000.0,2000.0,502.0
1033,The Bone Collector,R,1999.0,118.0,Denzel Washington,Angelina Jolie Pitt,Leland Orser,18000.0,11000.0,308.0
1034,Panic Room,R,2002.0,112.0,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,17000.0,324.0,237.0
1035,The Tooth Fairy,,2006.0,89.0,P.J. Soles,Lochlyn Munro,Steve Bacic,598.0,555.0,235.0
1036,Three Kings,R,1999.0,114.0,Judy Greer,Jamie Kennedy,Mykelti Williamson,2000.0,490.0,393.0
1037,Child 44,R,2015.0,137.0,Tom Hardy,Fares Fares,Michael Nardone,27000.0,254.0,194.0
1038,Rat Race,PG-13,2001.0,112.0,Corinna Harney,Douglas Haase,Vince Vieluf,779.0,629.0,261.0
1039,K-PAX,PG-13,2001.0,120.0,Kevin Spacey,Jeff Bridges,Alfre Woodard,18000.0,12000.0,1000.0
1040,Kate & Leopold,PG-13,2001.0,123.0,Hugh Jackman,Natasha Lyonne,Bradley Whitford,20000.0,1000.0,821.0
1041,Bedazzled,PG-13,2000.0,93.0,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,3000.0,575.0,484.0
1042,The Cotton Club,R,1984.0,123.0,Nicolas Cage,Bob Hoskins,Fred Gwynne,12000.0,5000.0,886.0
1043,3:10 to Yuma,R,2007.0,122.0,Christian Bale,Logan Lerman,Gretchen Mol,23000.0,8000.0,600.0
1044,Taken 3,PG-13,2014.0,115.0,Liam Neeson,Dougray Scott,Jon Gries,14000.0,794.0,482.0
1045,Out of Sight,R,1998.0,123.0,Don Cheadle,Albert Brooks,Keith Hudson,3000.0,745.0,23.0
1046,The Cable Guy,PG-13,1996.0,96.0,Matthew Broderick,Janeane Garofalo,Andy Dick,2000.0,1000.0,302.0
1047,Earth,Unrated,1998.0,110.0,Nandita Das,Gulshan Grover,Eric Peterson,113.0,102.0,59.0
1048,Dick Tracy,PG,1990.0,105.0,Charlie Korsmo,Warren Beatty,Seymour Cassel,678.0,631.0,327.0
1049,The Thomas Crown Affair,R,1999.0,113.0,Mark Margolis,Faye Dunaway,Denis Leary,1000.0,977.0,835.0
1050,Riding in Cars with Boys,PG-13,2001.0,132.0,Rosie Perez,Adam Garcia,Alissa Dean,919.0,811.0,807.0
1051,First Blood,R,1982.0,93.0,Sylvester Stallone,Brian Dennehy,Chris Mulkey,13000.0,954.0,535.0
1052,Solaris,PG,1972.0,115.0,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,29.0,29.0,12.0
1053,Happily N'Ever After,PG,2006.0,75.0,Sarah Michelle Gellar,George Carlin,Rob Paulsen,4000.0,769.0,677.0
1054,Mary Reilly,R,1996.0,108.0,Julia Roberts,Bronagh Gallagher,George Cole,8000.0,115.0,77.0
1055,My Best Friend's Wedding,PG-13,1997.0,105.0,Julia Roberts,Christopher Masterson,Rupert Everett,8000.0,1000.0,692.0
1056,America's Sweethearts,PG-13,2001.0,102.0,Julia Roberts,Rainn Wilson,Larry King,8000.0,973.0,135.0
1057,Insomnia,R,2002.0,118.0,Al Pacino,Maura Tierney,Crystal Lowe,14000.0,509.0,319.0
1058,Star Trek: First Contact,PG-13,1996.0,111.0,LeVar Burton,Alfre Woodard,Jonathan Frakes,1000.0,1000.0,906.0
1059,Jonah Hex,PG-13,2010.0,81.0,Michael Fassbender,Billy Blair,Julia Jones,13000.0,541.0,364.0
1060,Courage Under Fire,R,1996.0,116.0,Denzel Washington,Matt Damon,Scott Glenn,18000.0,13000.0,826.0
1061,Liar Liar,PG-13,1997.0,86.0,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,509.0,418.0,255.0
1062,The Infiltrator,R,2016.0,127.0,Joseph Gilgun,Amy Ryan,Olympia Dukakis,788.0,423.0,345.0
1063,Inchon,PG,1981.0,140.0,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,1000.0,623.0,522.0
1064,The Flintstones,PG,1994.0,91.0,Jonathan Winters,Elizabeth Perkins,Harvey Korman,924.0,664.0,628.0
1065,Taken 2,PG-13,2012.0,98.0,Liam Neeson,Luke Grimes,D.B. Sweeney,14000.0,935.0,558.0
1066,Scary Movie 3,PG-13,2003.0,84.0,Regina Hall,Pamela Anderson,Jenny McCarthy,807.0,780.0,750.0
1067,Miss Congeniality,PG-13,2000.0,109.0,Candice Bergen,Wendy Raquel Robinson,Heather Burns,545.0,337.0,213.0
1068,Journey to the Center of the Earth,PG,2008.0,93.0,Josh Hutcherson,Brendan Fraser,Anita Briem,14000.0,3000.0,311.0
1069,The Princess Diaries 2: Royal Engagement,G,2004.0,113.0,Anne Hathaway,Raven-Symoné,Hector Elizondo,11000.0,1000.0,995.0
1070,The Pelican Brief,PG-13,1993.0,141.0,Denzel Washington,Julia Roberts,Tony Goldwyn,18000.0,8000.0,956.0
1071,The Client,PG-13,1994.0,119.0,Bradley Whitford,Anthony LaPaglia,Brad Renfro,821.0,577.0,551.0
1072,The Bucket List,PG-13,2007.0,97.0,Morgan Freeman,Noel Gugliemi,Sean Hayes,11000.0,2000.0,760.0
1073,Patriot Games,R,1992.0,117.0,Harrison Ford,Polly Walker,Patrick Bergin,11000.0,530.0,308.0
1074,Monster-in-Law,PG-13,2005.0,101.0,Adam Scott,Jane Fonda,Elaine Stritch,3000.0,949.0,586.0
1075,Prisoners,R,2013.0,153.0,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,20000.0,15000.0,1000.0
1076,Training Day,R,2001.0,122.0,Denzel Washington,Snoop Dogg,Tom Berenger,18000.0,881.0,854.0
1077,Galaxy Quest,PG,1999.0,102.0,Alan Rickman,Enrico Colantoni,Robin Sachs,25000.0,724.0,436.0
1078,Scary Movie 2,R,2001.0,83.0,Natasha Lyonne,Veronica Cartwright,Andy Richter,1000.0,422.0,179.0
1079,The Muppets,PG,2011.0,103.0,Bill Cobbs,Eric Jacobson,Steve Whitmire,970.0,91.0,84.0
1080,Blade,R,1998.0,110.0,Sanaa Lathan,Traci Lords,Udo Kier,886.0,650.0,595.0
1081,Coach Carter,PG-13,2005.0,136.0,Channing Tatum,Rick Gonzalez,Robert Ri'chard,17000.0,807.0,730.0
1082,Changing Lanes,R,2002.0,91.0,Sydney Pollack,Matt Malloy,Bruce Altman,521.0,108.0,67.0
1083,Anaconda,PG-13,1997.0,89.0,Frank Welker,Eric Stoltz,Kari Wuhrer,2000.0,902.0,514.0
1084,Coyote Ugly,PG-13,2000.0,107.0,Adam Garcia,Tyra Banks,Izabella Miko,811.0,625.0,560.0
1085,Love Actually,R,2003.0,129.0,Colin Firth,Liam Neeson,Kris Marshall,14000.0,14000.0,548.0
1086,A Bug's Life,G,1998.0,95.0,Kevin Spacey,Madeline Kahn,John Ratzenberger,18000.0,1000.0,1000.0
1087,From Hell,R,2001.0,122.0,Johnny Depp,Jason Flemyng,Ian Richardson,40000.0,1000.0,140.0
1088,The Specialist,R,1994.0,110.0,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,13000.0,279.0,20.0
1089,Tin Cup,R,1996.0,135.0,Don Johnson,Cheech Marin,Rene Russo,982.0,844.0,808.0
1090,"Yours, Mine and Ours",Unrated,1968.0,111.0,Lucille Ball,Tom Bosley,Tim Matheson,6000.0,584.0,559.0
1091,Kicking & Screaming,PG,2005.0,95.0,Josh Hutcherson,Will Ferrell,Robert Duvall,14000.0,8000.0,3000.0
1092,The Hitchhiker's Guide to the Galaxy,PG,2005.0,109.0,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,11000.0,2000.0,651.0
1093,Fat Albert,PG,2004.0,93.0,Dania Ramirez,Nick Zano,Alice Greczyn,1000.0,641.0,631.0
1094,Resident Evil: Extinction,R,2007.0,94.0,Milla Jovovich,Mike Epps,James Tumminia,14000.0,706.0,443.0
1095,Blended,PG-13,2014.0,117.0,Bella Thorne,Adam Sandler,Joel McHale,35000.0,11000.0,734.0
1096,Last Holiday,PG-13,2006.0,112.0,LL Cool J,Alicia Witt,Timothy Hutton,1000.0,976.0,501.0
1097,The River Wild,PG-13,1994.0,111.0,Meryl Streep,Glenn Morshower,William Lucking,11000.0,894.0,132.0
1098,The Indian in the Cupboard,PG,1995.0,96.0,Steve Coogan,Vincent Kartheiser,David Keith,1000.0,845.0,563.0
1099,Savages,R,2012.0,141.0,Demián Bichir,Shea Whigham,Gary Stretch,749.0,463.0,404.0
1100,Cellular,PG-13,2004.0,94.0,Richard Burgi,Valerie Cruz,Will Beinbrink,550.0,216.0,167.0
1101,Johnny English,PG,2003.0,87.0,Kevin McNally,Natalie Imbruglia,Ben Miller,427.0,304.0,252.0
1102,The Ant Bully,PG,2006.0,88.0,Nicolas Cage,Meryl Streep,Julia Roberts,12000.0,11000.0,8000.0
1103,Dune,PG-13,1984.0,177.0,Virginia Madsen,Jürgen Prochnow,José Ferrer,913.0,362.0,202.0
1104,Across the Universe,PG-13,2007.0,133.0,Jim Sturgess,T.V. Carpio,Robert Clohessy,5000.0,117.0,107.0
1105,Revolutionary Road,R,2008.0,119.0,Leonardo DiCaprio,Kate Winslet,Joe Komara,29000.0,14000.0,10000.0
1106,16 Blocks,PG-13,2006.0,102.0,Bruce Willis,David Zayas,Sasha Roiz,13000.0,929.0,795.0
1107,Babylon A.D.,PG-13,2008.0,101.0,Vin Diesel,Charlotte Rampling,David Belle,14000.0,844.0,510.0
1108,The Glimmer Man,R,1996.0,91.0,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,2000.0,461.0,322.0
1109,Multiplicity,PG-13,1996.0,117.0,John de Lancie,Brian Doyle-Murray,Obba Babatundé,905.0,484.0,451.0
1110,Aliens in the Attic,PG,2009.0,86.0,Malese Jow,Carter Jenkins,Tim Meadows,1000.0,701.0,553.0
1111,The Pledge,R,2001.0,124.0,Costas Mandylor,Adrien Dorval,Nels Lennarson,723.0,44.0,19.0
1112,The Producers,PG-13,2005.0,134.0,Jon Lovitz,Will Ferrell,Matthew Broderick,11000.0,8000.0,2000.0
1113,The Phantom,PG,1996.0,100.0,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,1000.0,642.0,579.0
1114,All the Pretty Horses,PG-13,2000.0,220.0,Matt Damon,Henry Thomas,Sam Shepard,13000.0,861.0,820.0
1115,Nixon,R,1995.0,212.0,Anthony Hopkins,Bob Hoskins,Joan Allen,12000.0,5000.0,805.0
1116,The Ghost Writer,PG-13,2010.0,128.0,Jim Belushi,Olivia Williams,Timothy Hutton,854.0,766.0,501.0
1117,Deep Rising,R,1998.0,106.0,Djimon Hounsou,Jason Flemyng,Wes Studi,3000.0,1000.0,855.0
1118,Miracle at St. Anna,R,2008.0,160.0,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,23000.0,1000.0,826.0
1119,Curse of the Golden Flower,R,2006.0,114.0,Li Gong,Ye Liu,Man Li,879.0,52.0,10.0
1120,Bangkok Dangerous,R,2008.0,99.0,Nicolas Cage,Charlie Yeung,James With,12000.0,68.0,61.0
1121,Big Trouble,PG-13,2002.0,74.0,Zooey Deschanel,Janeane Garofalo,Omar Epps,11000.0,1000.0,865.0
1122,Love in the Time of Cholera,R,2007.0,139.0,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,267.0,202.0,50.0
1123,The Returned,TV-MA,,52.0,Pierre Perrier,Clotilde Hesme,Céline Sallette,164.0,116.0,114.0
1124,Shadow Conspiracy,R,1997.0,103.0,Sam Waterston,Ben Gazzara,Nicholas Turturro,849.0,623.0,269.0
