Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
,55,4.0,,105,11
,56,4.0,,105,11
,Biological Sciences,4.0,,105,11
,Agricultural Science,4.0,Master of Science,105,11
"Texas A&M University, Kingsville",,,,,
,55,4.0,,Kingsville,11
Texas Christian University,,,,,
,Neely School of Business,5.0,,106,11
Trine University,,,,,
,Master of Engineering,6.0,,Angola,3
Tufts University,,,,,
,57,5.0,,107,7
,Fletcher School of Law and Diplomacy,5.0,,107,7
,Cummings School of Veterinary Medicine,,2,107,7
,"Graduate Arts, Sciences and Engineering",12.0,,107,7
,58,7.0,,107,7
Tulane University,,,,,
,School of Public Health and Tropical Medicine,,2,108,42
,Freeman School of Business,,2,108,42
Union Graduate College,,,,,
,1,6.0,,Schenectady,0
"University of Alabama, Birmingham",,,,,
,13,6.0,,109,8
"University of Alabama, Tuscaloosa",,,,,
,Manderson Graduate School of Business,12.0,,Tuscaloosa,8
"University of Alaska, Anchorage",,,,,
,"College of Business, Public Policy",12.0,2,Anchorage,43
"University of Alaska, Fairbanks",,,,,
,Fairbanks School of Management,12.0,,Fairbanks,43
University of Arizona,,,,,
,Eller College of Management,2.0,2,110,5
,59,2.0,,110,5
"University of Arkansas, Fayetteville",,,,,
,Sam Walton College of Business,12.0,(contact school for subscore minimums),Fayetteville,6
University of Arkansas For Medical Sciences,,,,,
,59,5.0,,111,6
University of Baltimore,,,,,
,International MS in Health Systems,,2,79,30
,International MS in Applied Psychology,,2,79,30
,International Master of Public Administration,,2,79,30
"University of California, Berkeley",,,,,
,Haas School of Business,5.0,,Berkeley,9
"University of California, Davis",,,,,
,25,5.0,,Davis,9
"University of California, Irvine",,,,,
,The Paul Merage School of Business,5.0,,Irvine,9
"University of California, San Diego",,,,,
,Rady School of Management,5.0,Master of Business Administration and Ph.D programs,112,9
,Graduate School of International Relations & Pacific Studies,5.0,,112,9
University of Central Arkansas,,,,,
,6,12.0,Master of Accountancy,Conway,5
University of Central Oklahoma,,,,,
,39,,2,113,35
,Jackson College of Graduate Studies,6.0,,113,35
University of Chicago,,,,,
,33,5.0,,31,27
University of Cincinnati,,,,,
,6,12.0,,38,10
"University of Colorado, Boulder",,,,,
,Journalism (Master's),5.0,,114,24
,Business (doctoral),7.0,,114,24
,Business (master's in accounting),12.0,,114,24
,47,5.0,,114,24
,"Technology, Media and Society (ATLAS)",5.0,,114,24
,60,3.0,,114,24
,Journalism (Doctoral),5.0,,114,24
,Ecology and Evolutionary Biology,6.0,,114,24
,Mechanical Engineering (Doctoral),5.0,,114,24
,54,6.0,,114,24
,Civil Engineering,5.0,,114,24
,"Molecular, Cellular, and Developmental Biology (MCDB)",5.0,,114,24
,Aerospace Engineering,12.0,,114,24
,Theater,12.0,,114,24
,56,12.0,,114,24
,Dance,12.0,,114,24
,Telecommunications,5.0,,114,24
,46,5.0,,114,24
,Environmental Studies,5.0,,114,24
,Electrical Engineering,5.0,,114,24
,Linguistics,12.0,,114,24
,Mechanical Engineering (Master's),12.0,,114,24
,53,5.0,,114,24
,Spanish,12.0,,114,24
,Engineering Management,7.0,,114,24
,MBA,5.0,,114,24
,Integrative Physiology,5.0,,114,24
,Communications (master's and doctoral),12.0,,114,24
"University of Colorado, Denver",,,,,
,33,6.0,,25,24
University of Connecticut,,,,,
,27,7.0,,115,38
,33,12.0,,115,38
,57,15.0,depending on program (contact department),115,38
University of Dallas,,,,,
,1,12.0,,47,11
,MS/Master of Business Administration dual degree program,12.0,,47,11
,24,6.0,(Pre-Master of Business Administration),47,11
University of Delaware,,,,,
,16,,2,99,26
,3,,2,99,26
,College of Health Sciences,,2,99,26
,College of Education and Human Development,,2,99,26
,"College of Earth, Ocean and Environment",,2,99,26
,College of Agriculture and Natural Resources,,2,99,26
,Alfred Lerner College of Business and Economics,7.0,,99,26
,"Department of Health, Nutrition, and Exercise Sciences",7.0,Master's Degree (MS) Program In Human Nutrition,99,26
,MS Accounting,5.0,Alfred Lerner College of Business and Economics,99,26
University of Denver,,,,,
,University College,6.0,,25,24
,Morgridge College of Education,,2,25,24
,Graduate Tax Program,,2,25,24
,Korbel School of International Studies,,2,25,24
,School of Professional Psychology,5.0,,25,24
,Arts Humanities and Social Sciences,5.0,,25,24
,Daniels College of Business,5.0,,25,24
,Master of Taxation,6.0,,25,24
University of Findlay,,,,,
,6,,2,116,10
,20,6.0,,116,10
University of Florida,,,,,
,Warrington College of Business Administration,6.0,,117,32
,Hough Graduate School of Business,6.0,,117,32
University of Georgia,,,,,
,J.M. Tull School of of Accounting,12.0,,19,28
,Terry College of Business,12.0,9,19,28
University of Hartford,,,,,
,Excellence in Engineering and Management,12.0,,West Hartford,38
"University of Hawaii, Hilo",,,,,
,61,5.0,,Hilo,44
"University of Hawaii, Manoa",,,,,
,1,5.0,10,118,44
,U.S. International Master of Business Administration,4.0,10,118,44
University of Houston,,,,,
,UH Law Center,5.0,,7,11
,College of Hotel Management,,2,7,11
,55,,2,7,11
,37,,2,7,11
,28,,2,7,11
,Cullen College of Engineering,,2,7,11
,College of Social Work,,2,7,11
,62,,2,7,11
,College of Natural Sciences,,2,7,11
,51,,2,7,11
,62,12.0,,7,11
,C.T. Bauer College of Business,12.0,,7,11
"University of Houston, Victoria",,,,,
,50,,2,22,11
,30,12.0,,22,11
University of Indianapolis,,,,,
,0,12.0,,46,3
University of Iowa,,,,,
,College of Dentistry,5.0,,119,45
,Henry B. Tippie School of Management,5.0,,119,45
University of Kansas,,,,,
,0,6.0,no subscore below 5.5; provisional admissions (ESL required): 5.5 (no subsocre below 5.0),120,46
,Graduate Teaching Assistant,3.0,Speaking,120,46
University of Kentucky,,,,,
,Gatton College of Business and Economics,12.0,Ph.D.,Lexington,12
University of Louisville,,,,,
,Doctor of Philosophy in Interdisciplinary Studies,12.0,,"Louisville, KY 40292",12
"University of Maryland, Baltimore",,,,,
,7,5.0,MS,79,30
"University of Maryland, Baltimore County",,,,,
,Continuing & Professional Studies,,Master of Science in Engineering Management: Contact school for score,79,30
"University of Maryland, College Park",,,,,
,Robert H. Smith School of Business,5.0,,College Park,30
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,,
,Graduate School of Management and Technology,12.0,,Adelphi,30
"University of Massachusetts, Amherst",,,,,
,15,6.0,,121,7
,7,,2,121,7
,Isenberg School of Management,6.0,,121,7
"University of Massachusetts, Boston",,,,,
,63,12.0,,11,7
,M.Ed. School of Counseling,,2,11,7
,Master of Arts in Applied Linguistics,,2,11,7
University of Memphis,,,,,
,Master of Science and Ph.D. in Computer Science,12.0,,51,18
University of Miami,,,,,
,30,12.0,,Coral Gables,32
"University of Michigan, Ann Arbor",,,,,
,14,5.0,,122,4
,Ross School of Business,5.0,,122,4
,Krieger Graduate School of Arts and Sciences and Whiting School of Engineering,5.0,Chemical Engineering,122,4
,64,6.0,,122,4
,Rackham School of Graduate Studies,12.0,,122,4
,School of Information,5.0,,122,4
,42,12.0,,122,4
,Public Health,12.0,,122,4
,Taubman School - Architecture,5.0,,122,4
,Public Policy,12.0,,122,4
,7,12.0,,122,4
"University of Michigan, Dearborn",,,,,
,6,12.0,,123,4
,"College of Arts, Sciences and Letters",6.0,,123,4
,College of Engineering and Computer Science,12.0,,123,4
,15,12.0,,123,4
"University of Minnesota, Twin Cities",,,,,
,School of Journalism and Mass Communication,,2,15,17
,64,12.0,,15,17
,13,5.0,,15,17
,Carlson School of Management,5.0,,15,17
"University of Missouri, Kansas City",,,,,
,Henry W. Bloch School of Management,,PhD in Entrepreneurship and Innovation: contact school for score,49,34
"University of Nevada, Las Vegas",,,,,
,William F. Harrah College of Hotel Administration,5.0,,124,33
"University of Nevada, Reno",,,,,
,39,5.0,9,125,33
University of New Hampshire,,,,,
,Whitmore School of Business and Economics,12.0,,71,25
University of New Haven,,,,,
,M.S. Industrial Engineering,6.0,,126,38
,M.S. Engineering and Operations Management,6.0,,126,38
,Ph.D. Criminal Justice,7.0,,126,38
,M.S. Network Systems,6.0,,126,38
,M.S. Mechanical Engineering,6.0,,126,38
,M.S. in Cellular Molecular Biology,5.0,,126,38
,M.S. Electrical Engineering,6.0,,126,38
,M.S. Environmental Engineering,6.0,,126,38
,M.S. Computer Engineering,6.0,,126,38
,MS. in Professional Education,5.0,,126,38
"University of North Carolina, Chapel Hill",,,,,
,Kenan-Flagler Business School,5.0,,Chapel Hill,31
"University of North Carolina, Charlotte",,,,,
,Belk College of Business,12.0,,37,31
"University of North Carolina, Wilmington",,,,,
,Cameron School of Business,12.0,,127,31
University of North Texas,,,,,
,Business School,12.0,,Denton,11
University of North Texas Health Science Center,,,,,
,9,12.0,,106,11
University of Notre Dame,,,,,
,Mendoza School of Business,,11,Notre Dame,3
University of Oklahoma,,,,,
,Michael F. Price College of Business,5.0,,Norman,35
University of Oregon,,,,,
,Lundquist College of Business,7.0,9,128,36
,28,,2,128,36
,3,,2,128,36
,School of Architecture and Allied Arts,,2,128,36
,School of Journalism and Education,,2,128,36
,School of Music and Dance,,2,128,36
University of Pennsylvania,,,,,
,Master of Biotechnology,7.0,,58,16
,Graduate School of Education,5.0,,58,16
,Annenberg School of Communications,,2,58,16
,Fels School of Government,,2,58,16
,Graduate Division of Arts & Sciences,12.0,,58,16
,Graduate School of Design,5.0,,58,16
,School of Social Policy and Practice,5.0,,58,16
,7,5.0,,58,16
,36,,7.5 suggested,58,16
,School of Engineering & Applied Science,,2,58,16
,Computer and Information Science Graduate Programs,7.0,,58,16
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,,
,0,12.0,,122,4
"University of Phoenix, Arlington Learning Center, Arlington",,,,,
,0,12.0,,32,23
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,,
,0,12.0,,32,23
"University of Phoenix, Asheville Learning Center, Asheville",,,,,
,0,12.0,,Asheville,31
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,,
,0,12.0,,Sandy Springs,28
"University of Phoenix, Augusta Campus, Augusta",,,,,
,0,12.0,,Augusta,28
"University of Phoenix, Austin Campus, Austin",,,,,
,0,12.0,,34,11
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,,
,0,12.0,,35,9
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,,
,0,12.0,,Baton Rouge,42
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,,
,0,12.0,,63,9
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,,
,0,12.0,,Beachwood,10
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,,
,0,12.0,,Beale AFB,9
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,,
,0,12.0,,36,29
"University of Phoenix, Birmingham Campus, Birmingham",,,,,
,0,12.0,,109,8
"University of Phoenix, Boston Campus, Braintree",,,,,
,0,12.0,,Braintree,7
"University of Phoenix, Brookstone Learning Center, Columbus",,,,,
,0,12.0,,16,28
"University of Phoenix, Burlington Learning Center, Burlington",,,,,
,0,12.0,,Burlington,7
"University of Phoenix, Cascades Learning Center, Portland",,,,,
,0,12.0,,59,36
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,,
,0,12.0,,91,11
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,,
,0,12.0,,Cedar Rapids,45
"University of Phoenix, Central Florida Campus, Maitland",,,,,
,0,12.0,,Maitland,32
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,,
,0,12.0,,Westborough,7
"University of Phoenix, Central Valley Campus, Fresno",,,,,
,0,12.0,,42,9
"University of Phoenix, Chandler Learning Center, Chandler",,,,,
,0,12.0,,Chandler,5
"University of Phoenix, Charlotte Campus, Charlotte",,,,,
,0,12.0,,37,31
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,,
,0,12.0,,37,31
"University of Phoenix, Charlotte North Learning Center, Charlotte",,,,,
,0,12.0,,37,31
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,,
,0,12.0,,Chattanooga,18
"University of Phoenix, Chicago Campus, Schaumburg",,,,,
,0,12.0,,Schuamburg,27
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,,
,0,12.0,,Chula Vista,9
"University of Phoenix, Cincinnati Campus, Westchester",,,,,
,0,12.0,,Westchester,10
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,,
,0,12.0,,Clarkesville,18
"University of Phoenix, Clear Lake Learning Center, Houston",,,,,
,0,12.0,,7,11
"University of Phoenix, Cleveland Campus, Independence",,,,,
,0,12.0,,129,10
"University of Phoenix, Colorado Campus, Lone Tree",,,,,
,0,12.0,,Lone Tree,24
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,,
,0,12.0,,39,24
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,,
,0,12.0,,130,22
"University of Phoenix, Columbus-GA Campus, Columbus",,,,,
,0,12.0,,16,28
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,,
,0,12.0,,16,10
"University of Phoenix, Concord Learning Center, Concord",,,,,
,0,12.0,,Concord,9
"University of Phoenix, Corona Student Resource Center, Corona",,,,,
,0,12.0,,Corona,9
"University of Phoenix, Covington Learning Center, Covington",,,,,
,0,12.0,,Covington,42
"University of Phoenix, Culver City Learning Center, Culver City",,,,,
,0,12.0,,Culver City,9
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,,
,0,12.0,,43,32
"University of Phoenix, Dallas Campus, Dallas",,,,,
,0,12.0,,Dallas,11
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,,
,0,12.0,,Daytona Beach,32
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,,
,0,12.0,,33,28
"University of Phoenix, Deleware Campus, Wilmington",,,,,
,0,12.0,,127,26
"University of Phoenix, Des Moines Campus, West Des Moines",,,,,
,0,12.0,,West Des Moines,45
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,,
,0,12.0,,Des Peres,34
"University of Phoenix, Detroit Campus, Troy",,,,,
,0,12.0,,Troy,4
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,,
,0,12.0,,Diamond Bar,9
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,,
,0,12.0,,31,27
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,,
,0,12.0,,Detroit,4
"University of Phoenix, Downtown Minneapolis Learning Center, Minneapolis",,,,,
,0,12.0,,15,17
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,,
,0,12.0,,62,9
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,,
,0,12.0,,65,34
"University of Phoenix, East El Paso Learning Center, El Paso",,,,,
,0,12.0,,El Paso,11
"University of Phoenix, Eastern Washington Campus, Spokane",,,,,
,0,12.0,,76,29
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,,
,0,12.0,,48,32
"University of Phoenix, East Orlando Learning Center, Orlando",,,,,
,0,12.0,,57,32
"University of Phoenix, El Centro Learning Center, Imperial",,,,,
,0,12.0,,131,9
"University of Phoenix, El Centro Learning Center II, Imperial",,,,,
,0,12.0,,131,9
"University of Phoenix, El Centro Learning Center III, El Centro",,,,,
,0,12.0,,El Centro,9
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,,
,0,12.0,,Elk Grove,9
"University of Phoenix, Escorial Learning Center, Carolina",,,,,
,0,12.0,,Carolina,47
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,,
,0,12.0,,Fairfax,23
"University of Phoenix, Fairfield County Campus, Norwalk",,,,,
,0,12.0,,Norwalk,38
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,,
,0,12.0,,73,9
"University of Phoenix, Flint Learning Center, Flint",,,,,
,0,12.0,,Flint,4
"University of Phoenix, Florence KY Learning Center, Florence",,,,,
,0,12.0,,Florence,12
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,,
,0,12.0,,26,24
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,,
,0,12.0,,Grand Chute,1
"University of Phoenix, Franklin Learning Center, Franklin",,,,,
,0,12.0,,Franklin,18
"University of Phoenix, Gardena Learning Center, Gardena",,,,,
,0,12.0,,Gardena,9
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,,
,0,12.0,,Greenbelt,30
"University of Phoenix, Greensboro Learning Center, Greensboro",,,,,
,0,12.0,,Greensboro,31
"University of Phoenix, Greenville Learning Center, Greenville",,,,,
,0,12.0,,Greenville,22
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,,
,0,12.0,,40,28
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,,
,0,12.0,,95,16
"University of Phoenix, Hawaii Campus, Honolulu",,,,,
,0,12.0,,118,44
"University of Phoenix, HEAT Center, Aberdeen",,,,,
,0,12.0,,Aberdeen,30
"University of Phoenix, Henderson Learning Center, Henderson",,,,,
,0,12.0,,45,33
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,,,,
,0,12.0,,Hillsboro,36
"University of Phoenix, Houston Campus, Houston",,,,,
,0,12.0,,7,11
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,,
,0,12.0,,7,11
"University of Phoenix, Idaho Campus, Meridian",,,,,
,0,12.0,,132,14
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,,
,0,12.0,,Idaho Falls,14
"University of Phoenix, Independence Learning Center, Independence",,,,,
,0,12.0,,129,34
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,,
,0,12.0,,46,3
"University of Phoenix, Jackson Campus, Flowood",,,,,
,0,12.0,,Flowood,40
"University of Phoenix, Jersey City Campus, Jersey City",,,,,
,0,12.0,,Jersey City,13
"University of Phoenix, Kansas City Campus, Kansas City",,,,,
,0,12.0,,49,34
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,,
,0,12.0,,Kapolei,44
"University of Phoenix, Killeen Learning Center, Killeen",,,,,
,0,12.0,,Killeen,11
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,,
,0,12.0,,133,48
"University of Phoenix, Knoxville Campus, Knoxville",,,,,
,0,12.0,,Knoxville,18
"University of Phoenix, Lafayette, LA Campus, LaFayette",,,,,
,0,12.0,,LaFayette,42
"University of Phoenix, Lancaster Learning Center, Lancaster",,,,,
,0,12.0,,Lancaster,9
"University of Phoenix, Lansing Learning Center, Lansing",,,,,
,0,12.0,,Lansing,4
"University of Phoenix, La Palma Learning Center, La Palma",,,,,
,0,12.0,,La Palma,9
"University of Phoenix, Las Colinas Learning Center, Irving",,,,,
,0,12.0,,47,11
"University of Phoenix, Las Vegas Campus, Las Vegas",,,,,
,0,12.0,,124,33
"University of Phoenix, Lathrop Learning Center, Lathrop",,,,,
,0,12.0,,Lathrop,9
"University of Phoenix, Lenexa Learning Center, Lenexa",,,,,
,0,12.0,,Lenexa,46
"University of Phoenix, Little Rock Campus, Little Rock",,,,,
,0,12.0,,111,6
"University of Phoenix, Livermore Learning Center, Livermore",,,,,
,0,12.0,,Livermore,9
"University of Phoenix, Livonia Learning Center, Livonia",,,,,
,0,12.0,,Livonia,4
"University of Phoenix, Louisiana Campus, Metairie",,,,,
,0,12.0,,Metairie,42
"University of Phoenix, Louisville Learning Center, Louisville",,,,,
,0,12.0,,8,12
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,,,,
,0,12.0,,Levittown,16
"University of Phoenix, Lynnwood Learning Center, Seattle",,,,,
,0,12.0,,101,29
"University of Phoenix, Macomb Learning Center, Clinton Township",,,,,
,0,12.0,,Clinton Township,4
"University of Phoenix, Macon Learning Center, Macon",,,,,
,0,12.0,,86,28
"University of Phoenix, Madison Campus, Madison",,,,,
,0,12.0,,70,1
"University of Phoenix, Magic View learning Center, Meridian",,,,,
,0,12.0,,132,14
"University of Phoenix, Manassas Learning Center, Manassas",,,,,
,0,12.0,,50,23
"University of Phoenix, Marietta Learning Center, Marietta",,,,,
,0,12.0,,Marietta,28
"University of Phoenix, Maryland Campus, Columbia",,,,,
,0,12.0,,130,30
"University of Phoenix, McAllen Campus, Allen",,,,,
,0,12.0,,Allen,11
"University of Phoenix, McDonough Learning Center, McDonough",,,,,
,0,12.0,,McDonough,28
"University of Phoenix, Memphis Campus, Cordova",,,,,
,0,12.0,,Cordova,18
"University of Phoenix, Mesa Learning Center, Mesa",,,,,
,0,12.0,,2,5
"University of Phoenix, Miami Learning Center, Miami",,,,,
,0,12.0,,52,32
"University of Phoenix, Mid Cities Learning Center, Hurst",,,,,
,0,12.0,,Hurst,11
"University of Phoenix, Mililani Learning Center, Mililani",,,,,
,0,12.0,,Mililani,44
"University of Phoenix, Milwaukee Campus, Brookville",,,,,
,0,12.0,,82,1
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,,,,
,0,12.0,,St. Louis Park,17
"University of Phoenix, Miramar Learning Center, Miramar",,,,,
,0,12.0,,53,32
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,,,,
,0,12.0,,Modesto,9
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,,,,
,0,12.0,,17,16
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,,,,
,0,12.0,,Murfreesboro,18
"University of Phoenix, Murrietta Learning Center, Murrietta",,,,,
,0,12.0,,Murrietta,9
"University of Phoenix, Nashville Campus, Nashville",,,,,
,0,12.0,,54,18
"University of Phoenix, New Mexico Campus, Albuquerque",,,,,
,0,12.0,,133,48
"University of Phoenix, Nogales Learning Center, Nogales",,,,,
,0,12.0,,Nogales,5
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,,,,
,0,12.0,,Alpharetta,28
"University of Phoenix, North Davis Learning Center, Clearfield",,,,,
,0,12.0,,Clearfield,15
"University of Phoenix, Northern Nevada Campus, Reno",,,,,
,0,12.0,,125,33
"University of Phoenix, Northern Virginia Campus, Reston",,,,,
,0,12.0,,Reston,23
"University of Phoenix, North Florida Learning Center, Jacksonville",,,,,
,0,12.0,,48,32
"University of Phoenix, Northland Learning Center, Kansas City",,,,,
,0,12.0,,49,34
"University of Phoenix, North Milwaukee Learning Center, Milwaukee",,,,,
,0,12.0,,0,1
"University of Phoenix, North Milwaukee Student Resource Center, Glendale",,,,,
,0,12.0,,44,1
"University of Phoenix, North Valley Learning Center - Chico, Chico",,,,,
,0,12.0,,Chico,9
"University of Phoenix, Northwest Arkansas Campus, Rogers",,,,,
,0,12.0,,134,6
"University of Phoenix, Northwest Indiana Campus, Merrilville",,,,,
,0,12.0,,Merrilville,3
"University of Phoenix, Northwest Learning Center, Las Vegas",,,,,
,0,12.0,,124,33
"University of Phoenix, Northwest Learning Center, Phoenix",,,,,
,0,12.0,,3,5
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,,,,
,0,12.0,,O'Fallon,34
"University of Phoenix, Oakland Learning Center, Oakland",,,,,
,0,12.0,,55,9
"University of Phoenix, Oakleaf Learning Center, Jacksonville",,,,,
,0,12.0,,48,32
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,,,,
,0,12.0,,56,35
"University of Phoenix, Omaha Campus, Omaha",,,,,
,0,12.0,,135,39
"University of Phoenix, Ontario Learning Center, Ontario",,,,,
,0,12.0,,Ontario,9
"University of Phoenix, Oregon Campus, Tigard",,,,,
,0,12.0,,Tigard,36
"University of Phoenix, Owasso Learning Center, Owasso",,,,,
,0,12.0,,Owasso,35
"University of Phoenix, Palm Beach Gardens Learning Center",,,,,
,0,12.0,,Palm Beach Gardens,32
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,,,,
,0,12.0,,Palm Desert,9
"University of Phoenix, Pasadena Learning Center, Pasadena",,,,,
,0,12.0,,74,9
"University of Phoenix, Philadelphia Campus, Wayne",,,,,
,0,12.0,,Wayne,16
"University of Phoenix, Philadelphia Financial District Learning Center",,,,,
,0,12.0,,58,16
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,,,,
,0,12.0,,3,5
"University of Phoenix, Pinnacle Hills Learning Center, Rogers",,,,,
,0,12.0,,134,6
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,,,,
,0,12.0,,17,16
"University of Phoenix, Plainfield Learning Center, Plainfield",,,,,
,0,12.0,,Plainfield,3
"University of Phoenix, Plano Student Resource Center, Plano",,,,,
,0,12.0,,Plano,11
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,,,,
,0,12.0,,Pleasant Grove,15
"University of Phoenix, Portage Learning Center, Portage",,,,,
,0,12.0,,Portage,4
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,,,,
,0,12.0,,27,24
"University of Phoenix, Puerto Rico Campus, Guaynabo",,,,,
,0,12.0,,Guaynabo,47
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,,,,
,0,12.0,,Rancho Cordova,9
"University of Phoenix, Richmond Campus, Richmond",,,,,
,0,12.0,,78,23
"University of Phoenix, River Road Learning Center, Tucson",,,,,
,0,12.0,,110,5
"University of Phoenix, Rockville Learning Center, Rockville",,,,,
,0,12.0,,Rockville,30
"University of Phoenix, Roseville Learning Center, Roseville",,,,,
,0,12.0,,Roseville,9
"University of Phoenix, Sacramento Valley Campus, Sacramento",,,,,
,0,12.0,,60,9
"University of Phoenix, Salem Learning Center, Salem",,,,,
,0,12.0,,136,36
"University of Phoenix, San Antonio Campus, San Antonio",,,,,
,0,12.0,,61,11
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,,,,
,0,12.0,,San Bernadino,9
"University of Phoenix, San Diego Campus, San Diego",,,,,
,0,12.0,,62,9
"University of Phoenix, San Francisco Learning Center, San Francisco",,,,,
,0,12.0,,75,9
"University of Phoenix, San Marcos Learning Center, San Marcos",,,,,
,0,12.0,,San Marcos,9
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,,,,
,0,12.0,,Santa Fe,48
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,,,,
,0,12.0,,Santa Teresa,48
"University of Phoenix, Sarasota Learning Center, Sarasota",,,,,
,0,12.0,,Sarasota,32
"University of Phoenix, Sarpy Student Resource Center, Omaha",,,,,
,0,12.0,,135,39
"University of Phoenix, Savannah Campus, Savannah",,,,,
,0,12.0,,Savannah,28
"University of Phoenix, Shreveport-Bossier Campus, Bossier City",,,,,
,0,12.0,,Bossier City,42
"University of Phoenix, Snellville Learning Center, Snellville",,,,,
,0,12.0,,Snellville,28
"University of Phoenix, South Austin Student Resource Center, Austin",,,,,
,0,12.0,,34,11
"University of Phoenix, Southern Arizona Center",,,,,
,0,12.0,,110,5
"University of Phoenix, Southern California Campus, Costa Mesa",,,,,
,0,12.0,,Costa Mesa,9
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,,,,
,0,12.0,,39,24
"University of Phoenix, Southfield Learning Center, Southfield",,,,,
,0,12.0,,64,4
"University of Phoenix, South Florida Campus, Plantation",,,,,
,0,12.0,,Plantation,32
"University of Phoenix, Southglen Learning Center, Centennial",,,,,
,0,12.0,,Centennial,24
"University of Phoenix, South Jordan Learning Center, South Jordan",,,,,
,0,12.0,,South Jordan,15
"University of Phoenix, Southlands Learning Center, Aurora",,,,,
,0,12.0,,Aurora,24
"University of Phoenix, South Orlando Learning Center, Orlando",,,,,
,0,12.0,,57,32
"University of Phoenix, Southwest Learning Center, Las Vegas",,,,,
,0,12.0,,124,33
"University of Phoenix, Springfield Campus, Springfield",,,,,
,0,12.0,,Springfield,34
"University of Phoenix, St. George Learning Center, St. George",,,,,
,0,12.0,,St. George,15
"University of Phoenix, St. Louis Campus, St. Louis",,,,,
,0,12.0,,65,34
"University of Phoenix, St. Paul Learning Center, Woodbury",,,,,
,0,12.0,,Woodbury,17
"University of Phoenix, St. Petersburg/ Clearwater Learning Center, Clearwater",,,,,
,0,12.0,,Clearwater,32
"University of Phoenix, Stonecrest Learning Center, San Diego",,,,,
,0,12.0,,62,9
